kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0323638,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2025,6042d,Výškovice - štola Jeskyně Inků,15537615,5177049,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0323639,Barbastella barbastellus,POP_PRESENCE,ano,2022,6047c,EVL Liblín - lihovar,12967789,1215110,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0323639,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2022,6047c,EVL Liblín - lihovar,12967789,1215110,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0323645,Barbastella barbastellus,POP_PRESENCE,ano,2022,6042d,EVL Štola Věra,12496974,1215134,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0323645,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2022,6042d,EVL Štola Věra,12496974,1215134,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0323646,Barbastella barbastellus,POP_PRESENCE,ano,"2024, 2018",6244a,"EVL Stříbro - štoly Dlouhý tah, Stříbro - štola Dlouhý tah","12967772, 10730119","9901103, 5064290",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0323646,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2024, 2018",6244a,"EVL Stříbro - štoly Dlouhý tah, Stříbro - štola Dlouhý tah","12967772, 10730119","9901103, 5064290",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0324026,Barbastella barbastellus,POP_PRESENCE,ano,2015,6542c,"Bývalá Lučina, Bývalá Mýtnice","10074231, 10074232","6317302, 6317303",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0324026,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2015,6542c,"Bývalá Lučina, Bývalá Mýtnice","10074231, 10074232","6317302, 6317303",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0410001,Barbastella barbastellus,POP_PRESENCE,ano,2017,5641a,Kraslice - Tisová - štola,10073246,6316260,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0410001,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2017,5641a,Kraslice - Tisová - štola,10073246,6316260,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0410150,Barbastella barbastellus,POP_PRESENCE,ano,2013,5840c,NPR Soos,8913606,5383172,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0410150,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,5840c,NPR Soos,8913606,5383172,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0410414,Barbastella barbastellus,POP_PRESENCE,ano,2022,5941d,"Mar. Lázně, Hřebenová cesta",12728755,9534931,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0410414,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2022,5941d,"Mar. Lázně, Hřebenová cesta",12728755,9534931,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0413177,Barbastella barbastellus,POP_PRESENCE,ano,2013,"31,""5738b""",NPP Lužní potok 1167,8914179,5383542,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0413177,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,"31,""5738b""",NPP Lužní potok 1167,8914179,5383542,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0413195,Barbastella barbastellus,POP_PRESENCE,ano,2015,5942b,Tisová u Otročína - řeka Teplá,9644368,5912928,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0413195,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2015,5942b,Tisová u Otročína - řeka Teplá,9644368,5912928,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0414110,Barbastella barbastellus,POP_PRESENCE,ano,"2025, 2013","5643a, 5642b, 63,""5643a"", 5641b","Božídarské rašeliniště – Mrtvý rybník – výpustní štola, Božídarské rašeliniště – Seidlův rybník – výpustní štola, Hřebečná - Bludná - Wildbahner, NPR Božídarské rašeliniště, NPR Velký močál - severní okraj","15620613, 15620612, 15537555, 8931604, 8931605, 8912763","6062818, 6062817, 5177130, 5387934, 5382840",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0414110,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2025, 2013","5643a, 5642b, 63,""5643a"", 5641b","Božídarské rašeliniště – Mrtvý rybník – výpustní štola, Božídarské rašeliniště – Seidlův rybník – výpustní štola, Hřebečná - Bludná - Wildbahner, NPR Božídarské rašeliniště, NPR Velký močál - severní okraj","15620613, 15620612, 15537555, 8931604, 8931605, 8912763","6062818, 6062817, 5177130, 5387934, 5382840",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0414127,Barbastella barbastellus,POP_PRESENCE,ano,"2015, 2019, 2014, 2025, 2016, 2018, 2017, 2020, 2024, 2022, 2021, 2023, 2013, 2012","5845a, 5744c, 5743d, 5645c, 5745c, 5644d, 5744a, 5644c, 5744d, 5844a, 5745a, 5744b, 12,""5644d"", 5845b","Albeřice - lom, Albeřice, Albeřické rybníky, jih, Bražec u Hradiště, Bražec u Hradiště - Mlýnská - sklepy u silnice, Bražec u Hradiště - Stichlův mlýn - štola, Bražec u Hradiště - Svatobor - sklep fary, Bražec u Hradiště - Činov - sklep, Bražec u Hradiště - Činov - sklep IV, Dolní Halže -  štola 2, Dolní Halže - štola 1, Donín, Doupov - Jeseň - rybník, Doupov - Korunní - Hluboký žlab, Doupov - Svěrák, Doupov - nad Mlýnskou, Doupov - pod Havraněm - Mýtina, Doupov - rybníček pod Tokem, Doupov - údolí Petrovského potoka, Doupov u Hradiště - Korunní - štola Perlová, Doupov u Hradiště - Tocov - sklep u lýkovců, Doupov, Donín - Donínský potok, Doupov, Hluboký žlab, Doupov, Kojetín, Ratiboř, Doupov, Kyselka, cesta k rozhledně, Doupov, Lochotín, u kostela, Doupov, Lopota, Doupov, Ovčárna, Doupov, Petrovský potok - Mlýn u Kyselky, Doupov, Petrovský potok - horní úsek, Doupov, Petrovský potok - k vodopádu, Doupov, Pod Havraněm - dolní, Doupov, Pod Havraněm - horní, Doupov, Radošov, rybníček pod Uhlířským vrchem, Doupov, Sedlec, Dubá, Doupov, Velichov - u Petrovského potoka, Doupov, cesta pod Lopotou, Doupov, pod Pustým zámkem, Doupov, pod Svěrákem, Doupov, serpentina nad kruštíky, Doupov, západně od Pustého zámku, Doupov, Čertova rokle, Doupov, Činov, rybník, Doupov, Žebletín - u potoka Liboce, Doupov, Žďár - potok Liboc, Doupov, Žďár - u Hrázského mlýna, Doupov, Žďár, Liboc, Doupov, Žďár, cesta, Jindřichov - sklep, Kotvina, Malá Lesná - sklep, PP Valeč - pod kopcem Číhaná, Radošov u Hradiště - Lochotín - Zlatý vrch (Goldberg), Skalky skřítků, Stichlův mlýn - štola, Valeč, Sklárna, rybníky na potoce Blšanka, Valeč, cesta na Jedliny, Vlkaň - Dubina, Vlkáň, Zlatý vrch - štola, Žďár u Hradiště - býv. Hora - sklep, Žďár u Hradiště, zaniklá obec","9536547, 10857358, 8998053, 15537733, 15537532, 15537533, 15537528, 9792743, 15620617, 15620616, 10362563, 9792485, 9791105, 9791853, 9791855, 9792465, 10085936, 11257667, 11257668, 15537518, 12830148, 10086026, 11257376, 11257377, 13126705, 10808634, 10853408, 10808622, 12063701, 10086010, 10086009, 10086011, 11257661, 11257662, 11715891, 10808638, 10086008, 10808624, 12063700, 10808610, 10808606, 10808603, 10853419, 10853410, 10086001, 10085999, 10085998, 10623571, 10853756, 12957306, 11201836, 9545204, 10086017, 13394973, 10143417, 8917362, 10808628, 10853404, 10552744, 10364360, 8534627, 9391496, 12729080","5827992, 7171273, 5395745, 5177277, 5177060, 5177159, 5177276, 6051012, 9238872, 9238871, 6635269, 6050668, 6049415, 6050072, 6050074, 6050649, 6328740, 7629971, 5177160, 9674195, 6328836, 7629638, 10226760, 7161351, 7166576, 7161339, 8783244, 6328820, 6328819, 6328821, 7629967, 7629968, 8232770, 7161356, 6328818, 7161342, 8783241, 7161328, 7161324, 7161321, 7166587, 7166578, 6328811, 6328809, 6328808, 6923622, 7166975, 9874638, 6073795, 5399614, 6328826, 5177061, 6375782, 5385514, 7161346, 7166572, 6840823, 6638407, 5069325, 5679492, 9535559",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0414127,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2015, 2019, 2014, 2025, 2016, 2018, 2017, 2020, 2024, 2022, 2021, 2023, 2013, 2012","5845a, 5744c, 5743d, 5645c, 5745c, 5644d, 5744a, 5644c, 5744d, 5844a, 5745a, 5744b, 12,""5644d"", 5845b","Albeřice - lom, Albeřice, Albeřické rybníky, jih, Bražec u Hradiště, Bražec u Hradiště - Mlýnská - sklepy u silnice, Bražec u Hradiště - Stichlův mlýn - štola, Bražec u Hradiště - Svatobor - sklep fary, Bražec u Hradiště - Činov - sklep, Bražec u Hradiště - Činov - sklep IV, Dolní Halže -  štola 2, Dolní Halže - štola 1, Donín, Doupov - Jeseň - rybník, Doupov - Korunní - Hluboký žlab, Doupov - Svěrák, Doupov - nad Mlýnskou, Doupov - pod Havraněm - Mýtina, Doupov - rybníček pod Tokem, Doupov - údolí Petrovského potoka, Doupov u Hradiště - Korunní - štola Perlová, Doupov u Hradiště - Tocov - sklep u lýkovců, Doupov, Donín - Donínský potok, Doupov, Hluboký žlab, Doupov, Kojetín, Ratiboř, Doupov, Kyselka, cesta k rozhledně, Doupov, Lochotín, u kostela, Doupov, Lopota, Doupov, Ovčárna, Doupov, Petrovský potok - Mlýn u Kyselky, Doupov, Petrovský potok - horní úsek, Doupov, Petrovský potok - k vodopádu, Doupov, Pod Havraněm - dolní, Doupov, Pod Havraněm - horní, Doupov, Radošov, rybníček pod Uhlířským vrchem, Doupov, Sedlec, Dubá, Doupov, Velichov - u Petrovského potoka, Doupov, cesta pod Lopotou, Doupov, pod Pustým zámkem, Doupov, pod Svěrákem, Doupov, serpentina nad kruštíky, Doupov, západně od Pustého zámku, Doupov, Čertova rokle, Doupov, Činov, rybník, Doupov, Žebletín - u potoka Liboce, Doupov, Žďár - potok Liboc, Doupov, Žďár - u Hrázského mlýna, Doupov, Žďár, Liboc, Doupov, Žďár, cesta, Jindřichov - sklep, Kotvina, Malá Lesná - sklep, PP Valeč - pod kopcem Číhaná, Radošov u Hradiště - Lochotín - Zlatý vrch (Goldberg), Skalky skřítků, Stichlův mlýn - štola, Valeč, Sklárna, rybníky na potoce Blšanka, Valeč, cesta na Jedliny, Vlkaň - Dubina, Vlkáň, Zlatý vrch - štola, Žďár u Hradiště - býv. Hora - sklep, Žďár u Hradiště, zaniklá obec","9536547, 10857358, 8998053, 15537733, 15537532, 15537533, 15537528, 9792743, 15620617, 15620616, 10362563, 9792485, 9791105, 9791853, 9791855, 9792465, 10085936, 11257667, 11257668, 15537518, 12830148, 10086026, 11257376, 11257377, 13126705, 10808634, 10853408, 10808622, 12063701, 10086010, 10086009, 10086011, 11257661, 11257662, 11715891, 10808638, 10086008, 10808624, 12063700, 10808610, 10808606, 10808603, 10853419, 10853410, 10086001, 10085999, 10085998, 10623571, 10853756, 12957306, 11201836, 9545204, 10086017, 13394973, 10143417, 8917362, 10808628, 10853404, 10552744, 10364360, 8534627, 9391496, 12729080","5827992, 7171273, 5395745, 5177277, 5177060, 5177159, 5177276, 6051012, 9238872, 9238871, 6635269, 6050668, 6049415, 6050072, 6050074, 6050649, 6328740, 7629971, 5177160, 9674195, 6328836, 7629638, 10226760, 7161351, 7166576, 7161339, 8783244, 6328820, 6328819, 6328821, 7629967, 7629968, 8232770, 7161356, 6328818, 7161342, 8783241, 7161328, 7161324, 7161321, 7166587, 7166578, 6328811, 6328809, 6328808, 6923622, 7166975, 9874638, 6073795, 5399614, 6328826, 5177061, 6375782, 5385514, 7161346, 7166572, 6840823, 6638407, 5069325, 5679492, 9535559",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420012,Barbastella barbastellus,POP_PRESENCE,ano,"2013, 2014, 2025",5645b,"Rokle - Želina - štola, Želina, Želina - štola","8799506, 9005276, 15620343","5177311, 1270681, 5382146",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420012,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2013, 2014, 2025",5645b,"Rokle - Želina - štola, Želina, Želina - štola","8799506, 9005276, 15620343","5177311, 1270681, 5382146",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420015,Barbastella barbastellus,POP_PRESENCE,ano,2023,"01,""5650a"", 5650a","PR Myslivna - transekt č. 1, PR Myslivna - transekt č. 2, PR Myslivna - transekt č. 3, PR Myslivna - transekt č. 4","12559700, 12542702, 12559702, 12542703, 12559703, 12559705","9358785, 9358787, 9358789, 9358791",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420015,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2023,"01,""5650a"", 5650a","PR Myslivna - transekt č. 1, PR Myslivna - transekt č. 2, PR Myslivna - transekt č. 3, PR Myslivna - transekt č. 4","12559700, 12542702, 12559702, 12542703, 12559703, 12559705","9358785, 9358787, 9358789, 9358791",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420021,Barbastella barbastellus,POP_PRESENCE,ano,"2015, 2016, 2025, 2012, 2013","5545c, 5545d","EVL Kokrháč - Hasištejn, Hasištejn, Hasištejn - sklepení hradu, Hasištejn - štola 1, SZ od zříceniny hradu, Hasištejn - štola 2, SZ od zříceniny hradu, Hasištejn - štola 4, SZ od zříceniny hradu, Hasištejn - štoly, Hasištejn - štoly 1, 2, 3, 4, 5,, Hasištejnský komplex, štola č. 2, Hasištejnský komplex, štola č. 4, krátká na spodní cestě, Místo - Hasištejn - sklepení hradu, Místo - Hasištejn - štoly, Prunéřovské údolí - štola","9653067, 9820999, 15620341, 5610898, 5610900, 5610904, 15620342, 8533983, 5610246, 5610252, 8799509, 8799508, 15620344","5918287, 6075656, 5068724, 1227549, 1227546, 1227543, 5377318, 5068722, 4947980, 4947984, 5177314, 5177313, 5382147",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420021,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2015, 2016, 2025, 2012, 2013","5545c, 5545d","EVL Kokrháč - Hasištejn, Hasištejn, Hasištejn - sklepení hradu, Hasištejn - štola 1, SZ od zříceniny hradu, Hasištejn - štola 2, SZ od zříceniny hradu, Hasištejn - štola 4, SZ od zříceniny hradu, Hasištejn - štoly, Hasištejn - štoly 1, 2, 3, 4, 5,, Hasištejnský komplex, štola č. 2, Hasištejnský komplex, štola č. 4, krátká na spodní cestě, Místo - Hasištejn - sklepení hradu, Místo - Hasištejn - štoly, Prunéřovské údolí - štola","9653067, 9820999, 15620341, 5610898, 5610900, 5610904, 15620342, 8533983, 5610246, 5610252, 8799509, 8799508, 15620344","5918287, 6075656, 5068724, 1227549, 1227546, 1227543, 5377318, 5068722, 4947980, 4947984, 5177314, 5177313, 5382147",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420026,Barbastella barbastellus,POP_PRESENCE,ano,2013,5448d,NPR Bořeň,"9003709, 9003714, 9003726, 9003733, 9003737, 9003740",1011443,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420026,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,5448d,NPR Bořeň,"9003709, 9003714, 9003726, 9003733, 9003737, 9003740",1011443,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420082,Barbastella barbastellus,POP_PRESENCE,ano,2015,"14,""5152d""",EVL Studenec,9823380,6079060,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420082,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2015,"14,""5152d""",EVL Studenec,9823380,6079060,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420144,Barbastella barbastellus,POP_PRESENCE,ano,"2013, 2021","5445d, 95,""5445d"", 5445d","NPR Novodomské rašeliniště, Nový rybník","8998017, 11603458","5395728, 8101452",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420144,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2013, 2021","5445d, 95,""5445d"", 5445d","NPR Novodomské rašeliniště, Nový rybník","8998017, 11603458","5395728, 8101452",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420171,Barbastella barbastellus,POP_PRESENCE,ano,2015,5546a,EVL Údolí Hačky,9826740,6082510,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420171,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2015,5546a,EVL Údolí Hačky,9826740,6082510,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420416,Barbastella barbastellus,POP_PRESENCE,ano,2013,5449b,NPR Milešovka,9005312,1011441,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420416,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,5449b,NPR Milešovka,9005312,1011441,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420449,Barbastella barbastellus,POP_PRESENCE,ano,2013,"86,""5451b""",NPR Sedlo,"9005402, 9005435, 9005436",1011440,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420449,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,"86,""5451b""",NPR Sedlo,"9005402, 9005435, 9005436",1011440,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420500,Barbastella barbastellus,POP_PRESENCE,ano,2019,5250a,"PR Libouchecké rybníčky, k. ú. Libouchec",10983585,7282160,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420500,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2019,5250a,"PR Libouchecké rybníčky, k. ú. Libouchec",10983585,7282160,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420501,Barbastella barbastellus,POP_PRESENCE,ano,2019,"18,""5150c""","PR Niva Olšového potoka, k. ú. Petrovice u Chabařovic",10983573,7282162,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420501,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2019,"18,""5150c""","PR Niva Olšového potoka, k. ú. Petrovice u Chabařovic",10983573,7282162,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420507,Barbastella barbastellus,POP_PRESENCE,ano,2012,5153c,Rybniště - jeskyně Komora,8532984,5067779,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420507,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2012,5153c,Rybniště - jeskyně Komora,8532984,5067779,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420520,Barbastella barbastellus,POP_PRESENCE,ano,2015,"86,""5153b""",EVL Lužickohorské bučiny,9823272,6078870,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420520,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2015,"86,""5153b""",EVL Lužickohorské bučiny,9823272,6078870,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0420528,Barbastella barbastellus,POP_PRESENCE,ano,2025,5544d,Měděnec - Štola Marie Pomocná,15620619,11876456,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0420528,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2025,5544d,Měděnec - Štola Marie Pomocná,15620619,11876456,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0422075,Barbastella barbastellus,POP_PRESENCE,ano,2012,5449d,NPP Borečský vrch,"9003500, 9003583, 9003587",1005604,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0422075,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2012,5449d,NPP Borečský vrch,"9003500, 9003583, 9003587",1005604,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0423202,Barbastella barbastellus,POP_PRESENCE,ano,2025,5449c,Březina – sklep bývalé vojenské ubytovny,15620716,11876453,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0423202,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2025,5449c,Březina – sklep bývalé vojenské ubytovny,15620716,11876453,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0423217,Barbastella barbastellus,POP_PRESENCE,ano,"2024, 2020, 2018, 2016",5746c,"Krásný Dvůr, Krásný Dvůr - jeskyně poustevna, Krásný Dvůr, zámecký park - u Obelisku, PP Krásný Dvůr - střed","13022217, 11103082, 10552758, 9791999","10036296, 7423080, 6840839, 6050240",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0423217,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2024, 2020, 2018, 2016",5746c,"Krásný Dvůr, Krásný Dvůr - jeskyně poustevna, Krásný Dvůr, zámecký park - u Obelisku, PP Krásný Dvůr - střed","13022217, 11103082, 10552758, 9791999","10036296, 7423080, 6840839, 6050240",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0424031,Barbastella barbastellus,POP_PRESENCE,ano,"2012, 2025, 2018, 2023","5152b, 5052d, 5151b","Dolní Chřibská, Dolní Chřibská, Na Potoce - náhon, Doubice - Konírny, NP České Švýcarsko","5605782, 5605783, 15620438, 10599895, 13112653, 13112655, 13112662, 13112664, 13112666, 13112674, 13112683, 13112690, 13112692, 13112698, 13112706, 13112714, 13112728, 13112734, 13112749, 13112757, 13112764, 13112771, 13112778, 13112785, 13112787, 13112794, 13112796, 13112802, 13112808, 13112815, 13112828, 13112834, 13112841","4944402, 5061987, 6879923, 10200087",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0424031,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2012, 2025, 2018, 2023","5152b, 5052d, 5151b","Dolní Chřibská, Dolní Chřibská, Na Potoce - náhon, Doubice - Konírny, NP České Švýcarsko","5605782, 5605783, 15620438, 10599895, 13112653, 13112655, 13112662, 13112664, 13112666, 13112674, 13112683, 13112690, 13112692, 13112698, 13112706, 13112714, 13112728, 13112734, 13112749, 13112757, 13112764, 13112771, 13112778, 13112785, 13112787, 13112794, 13112796, 13112802, 13112808, 13112815, 13112828, 13112834, 13112841","4944402, 5061987, 6879923, 10200087",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0424037,Barbastella barbastellus,POP_PRESENCE,ano,2013,5450c,NPR Lovoš,"9005467, 9005475",1818401,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0424037,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,2013,5450c,NPR Lovoš,"9005467, 9005475",1818401,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0424111,Barbastella barbastellus,POP_PRESENCE,ano,"2024, 2023, 2017","25,""5151c"", 5151a, 5151c","Hřensko, Pytlačka, Skalní štěrbina u Suché Kamenice, Suchá Kamenice - skalní štěrbina, kaňon Labe","12824447, 12243656, 10069519, 10087446, 12956732","9661425, 8976263, 6311134, 5374512, 5061293",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0424111,Barbastella barbastellus,CELKOVE_HODNOCENI,NA,"2024, 2023, 2017","25,""5151c"", 5151a, 5151c","Hřensko, Pytlačka, Skalní štěrbina u Suché Kamenice, Suchá Kamenice - skalní štěrbina, kaňon Labe","12824447, 12243656, 10069519, 10087446, 12956732","9661425, 8976263, 6311134, 5374512, 5061293",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0424125,Barbastella barbastellus,POP_PRESENCE,ano,"2024, 2025, 2016, 2017, 2020, 2013, 2022, 2018, 2023, 2015, 2019, 2021, 2012","5644b, 5645a, 5644c, 5745b, 5645b, 5745c, 5743b, 5744a, 5645c, 5644a, 12,""5644b"", 7,""5644b"", 5845a, 5845b, 33,""5645c"", 5645d, 5743d","Boč – propustek, Brodce - štola, Damice, Údolí vlků - propustek pod tratí, Doupov - u Rašovických skal, Doupov, Lestkov - SV svahy Černého vrchu, Doupov, Mašťov - pod Radechovskými skalami, Doupov, Mašťov - u potoka Dubá, Doupov, Radonice - údolí Dubé, Horní Hrad, Horní Hrad - Nebesa, Horní Hrad - sklepy hradu, Jakubov, most přes Ohři, Kadaňská Jeseň - sklep, Klášterec nad Ohří - Šumburk - zřícenina hradu, Klášterec nad Ohří, Šumburk, Konice u Mašťova - Dobřenec, Krásný Les - Horní hrad - sklepy hradu, Krásný Les, Horní hrad - lesní rybníček, Krásný Les, u Hornohradského potoka, Krásný les - Horní Hrad - sklep u potoka, Kyselka - Mattoniho vila, Kyselka - sklep za spodní budovou, Kyselka - sklípek ve svahu za lázněmi 1, Kyselka - sklípek ve svahu za lázněmi 2, Kyselka - štolka za Ottovým pavilónem, Lestkov - sklep hradu, Lestkov u Klášterce - sklepení hradu, Lipová  ´rašeliniště ´, Malý Hrzín - Mufloní rokle, Malý Hrzín, cesta u Bočského potoka, Mašťov, Pyškovo jezírko, Mašťov, vrch Houština, Meziříčí, Nebesa, Nedíl - štola, Nová Kyselka, Nová Kyselka, cesta lesem podél Ohře, Nová Kyselka, cesta lesem u Ohře, Osvinov, Vrch, Pastviny - Brodce - štola, Peklo - Nebesa - zřícenina hradu, Peklo – zřícenina hradu Himlštejn (Nebesa), Pod Šumnou, Radošov u Kyselky, u Ohře, Rašovice, Rašovické skály, Smilov, svážnice nad Bočským potokem, Suchý Důl, Suchý důl u Klášterce - Nedíl - štola, Valeč, Valeč - sklepy v zámeckém parku, Valeč - Šibeniční vrch - štola, Valeč v Čechách - bučina v zámeckém parku, Vintířov, Vojkovice nad Ohří - propustek pod tratí, Vojkovice nad Ohří - propustek pod tratí II, Vrbička, rybník pod Linou, Zvoníčkov - sklep, Úhošť - sklepy, Úhošťany, Úhošťany - Kadaňská Jeseň - sklep, Úhošťany - Zvoníčkov, sklep stavení, Černýš - Lužný, Šemnice, Dubina - chata","14118929, 14119456, 15532847, 9791866, 10086022, 10086003, 10086004, 10086002, 9806287, 9806290, 11257378, 11257654, 8915796, 12062678, 8911258, 10261249, 12730176, 9644078, 15537525, 10085938, 10085984, 15537527, 15537716, 15537717, 15537715, 15537718, 15537714, 11223145, 8799510, 14980273, 9806258, 12729085, 10750664, 10853758, 12537248, 11198283, 15620665, 11954524, 12062681, 12062682, 12728752, 11101842, 8799454, 15620607, 13049656, 10853757, 11196675, 11205764, 12729084, 15259758, 15537526, 11642604, 11642606, 15537642, 10261132, 9655215, 11231977, 15537541, 15537542, 10853425, 10087465, 8195514, 8573775, 8799512, 8799486, 15537523, 10553334","5834885, 11876457, 12881438, 6050085, 6328832, 6328813, 6328814, 6328812, 6062187, 7629639, 5384707, 8781269, 5382149, 5177300, 9537008, 5912604, 5177156, 6328741, 6328791, 5177265, 5177290, 5177291, 5177163, 5177292, 5177162, 5384794, 5177315, 12136974, 6062178, 9535569, 7067120, 7166977, 9340705, 6635637, 5384797, 8614749, 8781276, 8781277, 9534923, 5177284, 5177280, 5384621, 10065389, 7166976, 7541299, 7053536, 9535567, 12604199, 5177158, 8157439, 5177172, 5177171, 5918892, 7591010, 5177161, 5679497, 7166595, 5382150, 1270690, 5091352, 5177317, 5177301, 5176981, 6841408",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
