kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0214012,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2021, 2015, 2016, 2019, 2025",5456c,"Branžež, Dneboh, EVL Příhrazské skála - B5 Krtola, EVL Příhrazské skály - A6 Hynšta, Hynšta, Jenčova sluj, Krtola, Krtola u Příhraz - jeskyně, Mužský, jeskyně Racák, Žďár u Mnichova Hradiště","11747977, 11748677, 11746061, 11747954, 9547035, 9547075, 9547060, 9807673, 11222903, 9789933, 15620351, 11748676, 9547082, 11746090","8277711, 8273607, 5835685, 5835146, 5375454, 5375455, 4929536, 5062270, 8278616, 5835706, 8273673",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0214013,Rhinolophus hipposideros,POP_PRESENCE,ano,"2012, 2019, 2025, 2023, 2026, 2017, 2016, 2021, 2015, 2018","96,""5453a"", 5453c, 5553b, 5553c, 5552b, 5553a","5453, Dražejov u Dubé, Houska, sklepy zámku Houska, Klemperka, Kokořín, Pivovarské sklepy ve Vojtěchově, Pivovarské sklepy, Vojtěchov, Truskavna – jeskyně Klemperka, Tupadly - hotel Sv. Kryštof, Vidim, Vidim - pivovarský sklep, Vidim - sklep bývalého pivovaru, Vidim, pivovarský sklep, Vojtěchov - pivovarské sklepy, Vojtěchov pivovar, Vojtěchov – pivovarský sklep, pivovarské sklepy Vojtěchov, spodní místnost jeskyně Klemperka","9010824, 10857097, 13455987, 13732460, 12226915, 15547416, 15547418, 10085859, 15620514, 9790171, 9791172, 11725578, 9173198, 15620513, 13455988, 15447654, 9173191, 10395510, 15620481, 9801492, 15532838","1790809, 7171072, 1009098, 10769517, 8951298, 968549, 969331, 9874649, 6048218, 8242908, 5517795, 9874648, 6337930, 4951646, 6666193, 7050237, 968347, 968546",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0214013,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2012, 2019, 2025, 2023, 2026, 2017, 2016, 2021, 2015, 2018","96,""5453a"", 5453c, 5553b, 5553c, 5552b, 5553a","5453, Dražejov u Dubé, Houska, sklepy zámku Houska, Klemperka, Kokořín, Pivovarské sklepy ve Vojtěchově, Pivovarské sklepy, Vojtěchov, Truskavna – jeskyně Klemperka, Tupadly - hotel Sv. Kryštof, Vidim, Vidim - pivovarský sklep, Vidim - sklep bývalého pivovaru, Vidim, pivovarský sklep, Vojtěchov - pivovarské sklepy, Vojtěchov pivovar, Vojtěchov – pivovarský sklep, pivovarské sklepy Vojtěchov, spodní místnost jeskyně Klemperka","9010824, 10857097, 13455987, 13732460, 12226915, 15547416, 15547418, 10085859, 15620514, 9790171, 9791172, 11725578, 9173198, 15620513, 13455988, 15447654, 9173191, 10395510, 15620481, 9801492, 15532838","1790809, 7171072, 1009098, 10769517, 8951298, 968549, 969331, 9874649, 6048218, 8242908, 5517795, 9874648, 6337930, 4951646, 6666193, 7050237, 968347, 968546",dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0214017,Rhinolophus hipposideros,POP_PRESENCE,ano,"2022, 2012, 2016, 2013, 2015, 2014, 2023, 2026, 2021, 2025, 2024, 2017, 2019","6050d, 96,""6050b"", 6050b, 6051a, 6051c, 9,""6050b""","3. štola u trati, 6050, Alkazar, Alkazar - Kozel, Amerika II., Aragonitová jeskyně, Barrandova jeskyně, Beranův lom - štola, Budňany - Rudolfka, Budňany - sklep pod konírnou na hradě Karlštejn, Chlumské jeskyně, Devítikorunová jeskyně, Gaislerova štola, Gaislerova štola, Liščí lom, Hostim u Berouna - lom Alkazar, Hostim u Berouna - lom Alkazar prostřední štola (štola B), Hostim, štola Alkazar západ, Houmelesí štola, Houmelesí štoly, Jeskyně Arnoldka, Jeskyně Dynamitka, Jeskyně Marie, Jeskyně Nad Kačákem, Jeskyně Oblézačka, Korno - Podtraťová jeskyně, Krápníková jeskyně v Šanově koutě, Krápníková v Pšanově koutě, Loděnice, Lom Alkazar, Malá Amerika, Marie, Metro, Na Jarnici, Na Jarnici - štola, Oblézačka, Palachova propast, Podtraťová jeskyně - Korno, Propast Čeřinka, Průtahová štola, Romanovského štola, Rudolfova jeskyně, Sedmisálová jeskyně, Srbsko u Karlštejna, Srbsko u Karlštejna - Chlumské jeskyně, Srbsko-Karlštejn, Silnice Bez Názvu, Srbské jeskyně, Srbské jeskyně a jeskyně Netopýrka, Stará Aragonitka, Stará aragonitová jeskyně, Sv.Jan p.Skalou, půda kláštera, Svatý Jan pod Skalou - jeskyně V kostele, Svatý Jan pod Skalou - klášter půda, Svatý Jan pod Skalou - půda kostela, Svatý Jan pod skalou - sklepy v klášteře, Svážná Rešna, Terasová jeskyně, Tetínská chodba, Tetínská propástka II, Tomáškova propast, V Kodském polesí, Velikonoční štola, jeskyně Arnoldka, jeskyně Dynamitka, jeskyně Kádelnice, jeskyně Metro, jeskyně Na Jarnici, jeskyně Nad Kačákem, jeskyně Oblézačka, jeskyně V Kodském polesí, propast Amerika II., propast Čeřinka, Štola v rokli, štola Alkazar západ, štola Modlitebna, štola v Beranově lomu, štoly v lomu Kozel - Alkazar","11740875, 9010860, 9777683, 9777684, 9777686, 9778120, 8903286, 9371163, 9544962, 9371175, 9371179, 8902940, 9371182, 12226840, 15534170, 9371225, 15546243, 9371215, 11309016, 12036136, 15314217, 13772047, 9371221, 12800252, 15555330, 9544980, 11298162, 9544989, 9544919, 15547125, 15546216, 9371271, 9649164, 12983493, 12983909, 12983912, 12246778, 9371285, 9371289, 9371294, 9544996, 9371307, 9371312, 13455658, 9544884, 9371325, 9371329, 9371333, 9371343, 12983494, 15546612, 14998457, 10087398, 11740712, 15555328, 9544878, 9371353, 9371354, 15544269, 15013282, 15013283, 15544270, 15540575, 15543128, 9371388, 15547139, 9371395, 8903421, 9371409, 8522391, 9371415, 9371156, 9371238, 9172179, 11297359, 15546242, 9371242, 15541446, 12800851, 15540583, 15555329, 15546615, 15532022, 10753196, 15540588, 15543125","998672, 998160, 5902481, 5062706, 5062343, 5668018, 5668019, 5062322, 6839204, 6063083, 5668034, 5517096, 5668030, 7778940, 1848161, 12696213, 10809081, 5668033, 998568, 998515, 5062320, 1257843, 5068732, 5068737, 5496625, 998605, 5668049, 5382356, 9945131, 5901649, 5668053, 5668054, 5668056, 5062333, 5668060, 5668062, 10693594, 5068730, 5668066, 5668067, 5668068, 5668072, 9945134, 5496630, 12172454, 5062686, 998567, 998583, 5062695, 5668076, 4944347, 1003763, 5466818, 5517561, 5517399, 998662, 5668087, 998660, 5668089, 5062718, 5062654, 5668013, 5668038, 998674, 998666, 998536, 5668039, 998659, 998624, 998544, 998527, 998569, 12879952, 5517594, 998532, 998603",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0214017,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2022, 2012, 2016, 2013, 2015, 2014, 2023, 2026, 2021, 2025, 2024, 2017, 2019","6050d, 96,""6050b"", 6050b, 6051a, 6051c, 9,""6050b""","3. štola u trati, 6050, Alkazar, Alkazar - Kozel, Amerika II., Aragonitová jeskyně, Barrandova jeskyně, Beranův lom - štola, Budňany - Rudolfka, Budňany - sklep pod konírnou na hradě Karlštejn, Chlumské jeskyně, Devítikorunová jeskyně, Gaislerova štola, Gaislerova štola, Liščí lom, Hostim u Berouna - lom Alkazar, Hostim u Berouna - lom Alkazar prostřední štola (štola B), Hostim, štola Alkazar západ, Houmelesí štola, Houmelesí štoly, Jeskyně Arnoldka, Jeskyně Dynamitka, Jeskyně Marie, Jeskyně Nad Kačákem, Jeskyně Oblézačka, Korno - Podtraťová jeskyně, Krápníková jeskyně v Šanově koutě, Krápníková v Pšanově koutě, Loděnice, Lom Alkazar, Malá Amerika, Marie, Metro, Na Jarnici, Na Jarnici - štola, Oblézačka, Palachova propast, Podtraťová jeskyně - Korno, Propast Čeřinka, Průtahová štola, Romanovského štola, Rudolfova jeskyně, Sedmisálová jeskyně, Srbsko u Karlštejna, Srbsko u Karlštejna - Chlumské jeskyně, Srbsko-Karlštejn, Silnice Bez Názvu, Srbské jeskyně, Srbské jeskyně a jeskyně Netopýrka, Stará Aragonitka, Stará aragonitová jeskyně, Sv.Jan p.Skalou, půda kláštera, Svatý Jan pod Skalou - jeskyně V kostele, Svatý Jan pod Skalou - klášter půda, Svatý Jan pod Skalou - půda kostela, Svatý Jan pod skalou - sklepy v klášteře, Svážná Rešna, Terasová jeskyně, Tetínská chodba, Tetínská propástka II, Tomáškova propast, V Kodském polesí, Velikonoční štola, jeskyně Arnoldka, jeskyně Dynamitka, jeskyně Kádelnice, jeskyně Metro, jeskyně Na Jarnici, jeskyně Nad Kačákem, jeskyně Oblézačka, jeskyně V Kodském polesí, propast Amerika II., propast Čeřinka, Štola v rokli, štola Alkazar západ, štola Modlitebna, štola v Beranově lomu, štoly v lomu Kozel - Alkazar","11740875, 9010860, 9777683, 9777684, 9777686, 9778120, 8903286, 9371163, 9544962, 9371175, 9371179, 8902940, 9371182, 12226840, 15534170, 9371225, 15546243, 9371215, 11309016, 12036136, 15314217, 13772047, 9371221, 12800252, 15555330, 9544980, 11298162, 9544989, 9544919, 15547125, 15546216, 9371271, 9649164, 12983493, 12983909, 12983912, 12246778, 9371285, 9371289, 9371294, 9544996, 9371307, 9371312, 13455658, 9544884, 9371325, 9371329, 9371333, 9371343, 12983494, 15546612, 14998457, 10087398, 11740712, 15555328, 9544878, 9371353, 9371354, 15544269, 15013282, 15013283, 15544270, 15540575, 15543128, 9371388, 15547139, 9371395, 8903421, 9371409, 8522391, 9371415, 9371156, 9371238, 9172179, 11297359, 15546242, 9371242, 15541446, 12800851, 15540583, 15555329, 15546615, 15532022, 10753196, 15540588, 15543125","998672, 998160, 5902481, 5062706, 5062343, 5668018, 5668019, 5062322, 6839204, 6063083, 5668034, 5517096, 5668030, 7778940, 1848161, 12696213, 10809081, 5668033, 998568, 998515, 5062320, 1257843, 5068732, 5068737, 5496625, 998605, 5668049, 5382356, 9945131, 5901649, 5668053, 5668054, 5668056, 5062333, 5668060, 5668062, 10693594, 5068730, 5668066, 5668067, 5668068, 5668072, 9945134, 5496630, 12172454, 5062686, 998567, 998583, 5062695, 5668076, 4944347, 1003763, 5466818, 5517561, 5517399, 998662, 5668087, 998660, 5668089, 5062718, 5062654, 5668013, 5668038, 998674, 998666, 998536, 5668039, 998659, 998624, 998544, 998527, 998569, 12879952, 5517594, 998532, 998603",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0214037,Rhinolophus hipposideros,POP_PRESENCE,ano,2012,6050c,NPP Kotýz,8800448,5177822,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0214037,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2012,6050c,NPP Kotýz,8800448,5177822,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0214042,Rhinolophus hipposideros,POP_PRESENCE,ano,2021,6348b,EVL Padrťsko,11777177,5061994,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0214042,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2021,6348b,EVL Padrťsko,11777177,5061994,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0314024,Rhinolophus hipposideros,POP_PRESENCE,ano,"2017, 2012, 2022, 2018, 2025, 2024","6847c, 96,""6746d"", 96,""6846d"", 96,""6847d"", 6847d, 6947b","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ, 6746, 6846, 6847, 6847-344, 6847-433, Amálino údolí, Amálino údolí - štola A, Amálino údolí - štola Bedřich, Amálino údolí - štola Kristýna, Amálino údolí - štola Myší díra, Chalupa v osadě Jirkalov (k. ú. Stachy)., Kašperské Hory, Klatovy, Krkonošská národní park, CZ-PK, CZ, Rejštejn, Stachy, Stachy (Jirkalov), Červená 18, 341 92 Kašperské Hory, Česko","10285381, 9010936, 9010949, 9010950, 12515101, 12515119, 12515094, 8917824, 8524729, 8524730, 8524731, 8524794, 8524797, 8524814, 10587594, 14892142, 10287543, 11788209, 14090376, 10075694, 10287541","6557015, 1850846, 1349738, 1350058, 7038450, 8155972, 5385666, 5063962, 5063963, 5064005, 5064019, 6866490, 12010179, 6559045, 8350291, 11147319, 6318859, 6559043",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
