kod_chu,DRUH,POSLEDNI_NALEZ
CZ0313115,Lutra lutra,2013-04-24
CZ0313115,Sanguisorba officinalis,2014-07-01
CZ0313115,Triturus cristatus,2018-05-03
CZ0313116,Bombina bombina,2025-06-10
CZ0313116,Lemna trisulca,2025-07-10
CZ0313116,Lutra lutra,2014-02-06
CZ0313116,Lycaena dispar,2013-05-01
CZ0313116,Misgurnus fossilis,2011-09-02
CZ0313116,Sanguisorba officinalis,2025-09-09
CZ0313116,Succisa pratensis,2025-09-09
CZ0313116,Triturus cristatus,2018-04-10
CZ0313116,Vertigo angustior,2011-01-01
CZ0313119,Leucorrhinia pectoralis,2021-07-29
CZ0313119,Triturus cristatus,2025-07-06
CZ0313122,Cerambyx cerdo,2025-08-10
CZ0313123,Abramis brama,2019-09-28
CZ0313123,Anodonta sp.,2011-05-24
CZ0313123,Blicca bjoerkna,2015-09-20
CZ0313123,Bombina bombina,2022-07-13
CZ0313123,Cobitis sp.,2009-09-27
CZ0313123,Cottus gobio,2004-01-01
CZ0313123,Hamatocaulis vernicosus,2024-08-31
CZ0313123,Lampetra planeri,2004-01-01
CZ0313123,Lutra lutra,2025-02-18
CZ0313123,Lycaena dispar,2009-08-01
CZ0313123,Misgurnus fossilis,2019-09-28
CZ0313123,Ophiogomphus cecilia,2022-05-24
CZ0313123,Phengaris nausithous,2022-05-24
CZ0313123,Phengaris teleius,2025-07-15
CZ0313123,Rumex sp.,2014-08-10
CZ0313123,Salmo trutta,2004-01-01
CZ0313123,Sanguisorba officinalis,2024-08-24
CZ0313123,Scardinius erythrophthalmus,2019-09-28
CZ0313123,Succisa pratensis,2025-05-29
CZ0313125,Ameiurus nebulosus,2011-03-01
CZ0313125,Bombina bombina,2025-08-08
CZ0313125,Lemna trisulca,2024-05-20
CZ0313125,Lutra lutra,2011-03-01
CZ0313125,Lycaena dispar,2021-08-25
CZ0313125,Sanguisorba officinalis,2022-08-16
CZ0313125,Scardinius erythrophthalmus,2011-01-01
CZ0313125,Triturus cristatus,2015-04-25
CZ0313128,Abramis brama,2019-11-15
CZ0313128,Ameiurus melas,2010-01-01
CZ0313128,Blicca bjoerkna,2019-11-15
CZ0313128,Bombina bombina,2025-08-13
CZ0313128,Cerambyx cerdo,2016-10-20
CZ0313128,Coleanthus subtilis,2024-04-30
CZ0313128,Cucujus cinnaberinus,2019-05-15
CZ0313128,Lemna trisulca,2024-08-07
CZ0313128,Lutra lutra,2025-10-15
CZ0313128,Misgurnus fossilis,2024-07-05
CZ0313128,Osmoderma barnabita,2024-07-06
CZ0313128,Phengaris teleius,2022-07-17
CZ0313128,Sanguisorba officinalis,2025-06-26
CZ0313128,Scardinius erythrophthalmus,2022-11-16
CZ0313128,Succisa pratensis,2012-06-18
CZ0313128,Vertigo angustior,2022-08-11
CZ0313131,Cerambyx cerdo,2021-12-07
CZ0313131,Lutra lutra,2019-10-22
CZ0313131,Lycaena dispar,2008-06-18
CZ0313131,Osmoderma barnabita,2021-12-07
CZ0313131,Sanguisorba officinalis,2014-06-04
CZ0313134,Bombina bombina,2025-07-29
CZ0313134,Bombina variegata,2025-04-20
CZ0313134,Canis lupus,2024-09-17
CZ0313134,Lutra lutra,2011-03-30
CZ0313134,Sanguisorba officinalis,2022-07-30
CZ0313134,Succisa pratensis,2022-07-30
CZ0313134,Triturus cristatus,2024-08-08
CZ0313137,Barbastella barbastellus,2015-04-28
CZ0313137,Lampetra planeri,2023-10-08
CZ0313137,Lutra lutra,2015-04-28
CZ0313137,Salmo trutta,2001-07-07
CZ0313138,Bombina bombina,2024-06-12
CZ0313138,Bombina variegata,2011-04-20
CZ0313138,Cerambyx cerdo,2025-06-05
CZ0313138,Cucujus cinnaberinus,2024-01-19
CZ0313138,Lemna trisulca,2013-05-28
CZ0313138,Lucanus cervus,2020-01-08
CZ0313138,Lutra lutra,2025-10-17
CZ0313138,Lycaena dispar,2025-06-28
CZ0313138,Osmoderma barnabita,2020-04-19
CZ0313138,Phengaris nausithous,2021-08-11
CZ0313138,Sanguisorba officinalis,2024-08-24
CZ0313138,Scardinius erythrophthalmus,2011-01-01
CZ0313138,Succisa pratensis,2023-05-12
CZ0313138,Triturus cristatus,2021-07-15
CZ0313140,Cottus gobio,2022-11-12
CZ0313140,Lampetra planeri,2012-09-20
CZ0313140,Lutra lutra,2011-06-26
CZ0313140,Salmo trutta,2012-09-20
CZ0313140,Sanguisorba officinalis,2015-07-10
CZ0313140,Scardinius erythrophthalmus,2011-06-25
CZ0313141,Lycaena dispar,2018-08-17
CZ0313141,Ophiogomphus cecilia,2013-07-16
CZ0313141,Phengaris nausithous,2023-07-23
CZ0313141,Phengaris teleius,2023-07-23
CZ0313141,Sanguisorba officinalis,2014-08-19
CZ0313141,Succisa pratensis,2014-08-19
CZ0313513,Carabus menetriesi pacholei,2019-06-09
CZ0313513,Castor fiber,2023-05-18
CZ0313513,Lutra lutra,2019-03-17
CZ0313513,Lynx lynx,2020-03-01
CZ0313513,Phengaris nausithous,2020-07-29
CZ0313513,Phengaris teleius,2020-07-29
CZ0313513,Sanguisorba officinalis,2013-07-26
CZ0313513,Succisa pratensis,2013-05-12
CZ0313635,Myotis myotis,2024-08-06
CZ0313805,Cottus gobio,2024-11-18
CZ0313805,Lampetra planeri,2022-10-26
CZ0313805,Lutra lutra,2024-11-05
CZ0313805,Margaritifera margaritifera,2024-08-03
CZ0313805,Salmo trutta,2024-11-18
CZ0313805,Sanguisorba officinalis,2011-01-01
CZ0313815,Bombina bombina,2025-05-16
CZ0313815,Leucorrhinia pectoralis,2009-05-24
CZ0313815,Lutra lutra,2011-01-01
CZ0313815,Sanguisorba officinalis,2021-07-30
CZ0313815,Triturus cristatus,2025-07-06
CZ0313820,Myotis myotis,2011-07-01
CZ0313822,Abramis brama,2019-11-17
CZ0313822,Blicca bjoerkna,2004-01-01
CZ0313822,Cobitis sp.,2019-11-17
CZ0313822,Lampetra planeri,2019-11-17
CZ0313822,Lutra lutra,2014-11-01
CZ0313822,Lycaena dispar,2019-08-14
CZ0313822,Ophiogomphus cecilia,2025-06-12
CZ0313822,Salmo trutta,2004-01-01
CZ0313822,Scardinius erythrophthalmus,2019-11-17
CZ0313824,Anodonta sp.,2001-05-01
CZ0313824,Lemna trisulca,2003-06-05
CZ0313824,Leucorrhinia pectoralis,2019-05-30
CZ0313824,Lutra lutra,2009-01-07
CZ0313824,Triturus cristatus,2021-05-09
CZ0314019,Abramis brama,2018-10-18
CZ0314019,Barbastella barbastellus,2022-09-08
CZ0314019,Blicca bjoerkna,2020-03-17
CZ0314019,Bombina bombina,2024-05-20
CZ0314019,Castor fiber,2025-04-04
CZ0314019,Cerambyx cerdo,2024-07-28
CZ0314019,Cobitis elongatoides,2019-09-07
CZ0314019,Cobitis sp.,2013-09-24
CZ0314019,Coleanthus subtilis,2024-04-30
CZ0314019,Graphoderus bilineatus,2020-05-29
CZ0314019,Lemna trisulca,2010-05-15
CZ0314019,Leucorrhinia pectoralis,2025-05-21
CZ0314019,Lucanus cervus,2018-07-17
CZ0314019,Lutra lutra,2024-02-21
CZ0314019,Lycaena dispar,2019-09-03
CZ0314019,Misgurnus fossilis,2022-11-15
CZ0314019,Osmoderma barnabita,2025-08-13
CZ0314019,Rhodeus amarus,2009-10-03
CZ0314019,Sanguisorba officinalis,2024-04-13
CZ0314019,Scardinius erythrophthalmus,2022-06-23
CZ0314019,Succisa pratensis,2015-06-28
CZ0314019,Triturus cristatus,2020-05-29
CZ0314019,Vertigo angustior,2022-08-10
CZ0314021,Ameiurus nebulosus,2020-08-08
CZ0314021,Bombina bombina,2009-05-01
CZ0314021,Lemna trisulca,2024-09-11
CZ0314021,Leucorrhinia pectoralis,2022-06-30
CZ0314021,Lutra lutra,2015-02-11
CZ0314021,Lycaena dispar,2014-06-21
CZ0314021,Phengaris teleius,2007-01-01
CZ0314021,Rumex sp.,2024-05-23
CZ0314021,Sanguisorba officinalis,2024-08-13
CZ0314021,Scardinius erythrophthalmus,2011-01-01
CZ0314021,Succisa pratensis,2024-05-27
CZ0314021,Triturus cristatus,2020-08-08
CZ0314022,Abramis brama,2023-09-26
CZ0314022,Bombina bombina,2023-08-08
CZ0314022,Canis lupus,2025-04-26
CZ0314022,Castor fiber,2026-02-14
CZ0314022,Cottus gobio,2025-06-03
CZ0314022,Dicranum viride,2021-11-03
CZ0314022,Euplagia quadripunctaria,2020-07-15
CZ0314022,Lampetra planeri,2024-04-24
CZ0314022,Lutra lutra,2025-04-12
CZ0314022,Lycaena dispar,2024-08-12
CZ0314022,Lynx lynx,2025-04-07
CZ0314022,Margaritifera margaritifera,2025-07-25
CZ0314022,Myotis myotis,2012-06-21
CZ0314022,Ophiogomphus cecilia,2025-08-22
CZ0314022,Phengaris nausithous,2024-07-31
CZ0314022,Phengaris teleius,2024-07-31
CZ0314022,Rumex sp.,2009-08-26
CZ0314022,Salmo trutta,2024-04-24
CZ0314022,Sanguisorba officinalis,2025-05-24
CZ0314022,Scardinius erythrophthalmus,2023-09-26
CZ0314022,Succisa pratensis,2025-05-24
CZ0314022,Triturus cristatus,2009-07-12
CZ0314023,Abramis brama,2021-11-01
CZ0314023,Aldrovanda vesiculosa,2022-07-06
CZ0314023,Ameiurus melas,2019-09-22
CZ0314023,Ameiurus nebulosus,2025-09-03
CZ0314023,Barbastella barbastellus,2023-08-04
CZ0314023,Blicca bjoerkna,2023-08-16
CZ0314023,Bombina bombina,2025-06-27
CZ0314023,Bombina variegata,2024-04-06
CZ0314023,Canis lupus,2023-06-19
CZ0314023,Castor fiber,2025-04-01
CZ0314023,Cerambyx cerdo,2023-06-23
CZ0314023,Cobitis elongatoides,2023-08-16
CZ0314023,Cobitis sp.,2023-08-11
CZ0314023,Coleanthus subtilis,2006-06-26
CZ0314023,Cottus gobio,2019-09-22
CZ0314023,Dicranum viride,2022-09-21
CZ0314023,Epidalea calamita,2020-08-24
CZ0314023,Graphoderus bilineatus,2025-09-03
CZ0314023,Hamatocaulis vernicosus,2023-09-18
CZ0314023,Lampetra planeri,2021-10-13
CZ0314023,Lemna trisulca,2022-07-06
CZ0314023,Leuciscus aspius,2022-08-22
CZ0314023,Leucorrhinia pectoralis,2018-05-12
CZ0314023,Lucanus cervus,2019-06-03
CZ0314023,Lutra lutra,2025-03-25
CZ0314023,Lycaena dispar,2022-08-16
CZ0314023,Lynx lynx,2005-12-01
CZ0314023,Misgurnus fossilis,2023-08-16
CZ0314023,Myotis myotis,2012-06-21
CZ0314023,Ophiogomphus cecilia,2024-08-21
CZ0314023,Osmoderma barnabita,2024-02-06
CZ0314023,Phengaris nausithous,2022-07-19
CZ0314023,Phengaris teleius,2022-07-24
CZ0314023,Salmo trutta,2019-09-05
CZ0314023,Sanguisorba officinalis,2024-10-25
CZ0314023,Scardinius erythrophthalmus,2024-11-15
CZ0314023,Succisa pratensis,2024-04-08
CZ0314023,Triturus cristatus,2025-05-15
CZ0314024,Abramis brama,2025-05-06
CZ0314024,Ameiurus nebulosus,2013-10-28
CZ0314024,Anodonta sp.,2024-08-24
CZ0314024,Austropotamobius torrentium,2008-05-12
CZ0314024,Barbastella barbastellus,2024-07-09
CZ0314024,Blicca bjoerkna,2025-05-06
CZ0314024,Bombina bombina,2025-04-17
CZ0314024,Bombina variegata,2014-06-13
CZ0314024,Boros schneideri,2005-11-17
CZ0314024,Buxbaumia viridis,2025-07-15
CZ0314024,Canis lupus,2026-03-16
CZ0314024,Carabus menetriesi pacholei,2025-07-10
CZ0314024,Castor fiber,2026-03-16
CZ0314024,Chamaecytisus sp.,2012-06-16
CZ0314024,Cottus gobio,2025-11-04
CZ0314024,Dicranum viride,2020-05-09
CZ0314024,Emys orbicularis,2006-08-04
CZ0314024,Euplagia quadripunctaria,2025-09-01
CZ0314024,Gentianella praecox subsp. bohemica,2025-09-17
CZ0314024,Hamatocaulis vernicosus,2025-05-01
CZ0314024,Lampetra planeri,2025-09-13
CZ0314024,Lemna trisulca,2024-06-17
CZ0314024,Leuciscus aspius,2025-04-07
CZ0314024,Lutra lutra,2026-03-09
CZ0314024,Lycaena dispar,2025-08-31
CZ0314024,Lycaena helle,2025-06-15
CZ0314024,Lynx lynx,2026-03-12
CZ0314024,Margaritifera margaritifera,2025-05-11
CZ0314024,Misgurnus fossilis,2009-10-24
CZ0314024,Mustela eversmanii,2022-05-18
CZ0314024,Myotis bechsteinii,2021-07-06
CZ0314024,Myotis emarginatus,2011-12-21
CZ0314024,Myotis myotis,2023-07-11
CZ0314024,Myotis sp.,2021-10-04
CZ0314024,Ophiogomphus cecilia,2023-07-27
CZ0314024,Orthotrichum rogeri,2025-06-29
CZ0314024,Phengaris nausithous,2025-08-28
CZ0314024,Phengaris teleius,2025-07-23
CZ0314024,Rhinolophus hipposideros,2025-05-29
CZ0314024,Rumex sp.,2025-06-18
CZ0314024,Salmo trutta,2026-01-14
CZ0314024,Sanguisorba officinalis,2025-11-07
CZ0314024,Scardinius erythrophthalmus,2019-10-03
CZ0314024,Succisa pratensis,2025-10-02
CZ0314024,Triturus cristatus,2018-04-20
CZ0314024,Unio crassus,2024-08-24
CZ0314024,Vertigo angustior,2023-10-28
CZ0314044,Barbastella barbastellus,2001-01-03
CZ0314044,Gentianella praecox subsp. bohemica,2025-10-25
CZ0314044,Myotis myotis,2008-01-11
CZ0314109,Bombina bombina,2020-05-20
CZ0314109,Hamatocaulis vernicosus,2023-10-10
CZ0314109,Lemna trisulca,2025-06-20
CZ0314109,Liparis loeselii,2025-09-10
CZ0314109,Lycaena dispar,2022-08-12
CZ0314109,Sanguisorba officinalis,2025-06-15
CZ0314109,Succisa pratensis,2025-06-15
CZ0314109,Unio crassus,2008-03-10
CZ0314123,Barbastella barbastellus,2011-12-21
CZ0314123,Bombina bombina,2025-05-18
CZ0314123,Bombina variegata,2025-07-17
CZ0314123,Buxbaumia viridis,2014-04-26
CZ0314123,Canis lupus,2025-09-11
CZ0314123,Carabus menetriesi pacholei,2022-06-01
CZ0314123,Castor fiber,2025-12-20
CZ0314123,Cottus gobio,2023-10-13
CZ0314123,Emys orbicularis,2006-07-23
CZ0314123,Euplagia quadripunctaria,2024-08-11
CZ0314123,Gentianella praecox subsp. bohemica,2023-10-13
CZ0314123,Lampetra planeri,2022-06-02
CZ0314123,Ligularia sibirica,2025-07-05
CZ0314123,Lutra lutra,2026-01-08
CZ0314123,Lycaena dispar,2023-07-14
CZ0314123,Lynx lynx,2025-08-10
CZ0314123,Margaritifera margaritifera,2023-05-20
CZ0314123,Myotis bechsteinii,2011-12-21
CZ0314123,Myotis myotis,2022-08-10
CZ0314123,Phengaris nausithous,2021-07-22
CZ0314123,Phengaris teleius,2025-07-22
CZ0314123,Rhinolophus hipposideros,2011-12-21
CZ0314123,Rumex sp.,2008-08-11
CZ0314123,Salmo trutta,2023-10-13
CZ0314123,Sanguisorba officinalis,2025-10-15
CZ0314123,Scardinius erythrophthalmus,2020-10-04
CZ0314123,Succisa pratensis,2025-10-15
CZ0314123,Triturus cristatus,2025-07-17
CZ0314123,Vertigo angustior,2023-10-26
CZ0314124,Abramis brama,2004-01-01
CZ0314124,Barbastella barbastellus,2025-01-25
CZ0314124,Blicca bjoerkna,2004-01-01
CZ0314124,Bombina bombina,2025-06-22
CZ0314124,Bombina variegata,2016-05-31
CZ0314124,Canis lupus,2025-01-04
CZ0314124,Castor fiber,2026-02-21
CZ0314124,Coleanthus subtilis,2024-05-02
CZ0314124,Cottus gobio,2024-03-25
CZ0314124,Dicranum viride,2019-10-31
CZ0314124,Euplagia quadripunctaria,2025-08-28
CZ0314124,Gentianella praecox subsp. bohemica,2023-09-19
CZ0314124,Hamatocaulis vernicosus,2011-08-19
CZ0314124,Lampetra planeri,2024-03-25
CZ0314124,Lemna trisulca,2015-07-31
CZ0314124,Leuciscus aspius,2002-01-01
CZ0314124,Leucorrhinia pectoralis,2025-05-27
CZ0314124,Lucanus cervus,2018-06-16
CZ0314124,Lutra lutra,2026-02-13
CZ0314124,Lycaena dispar,2025-08-13
CZ0314124,Lynx lynx,2025-12-29
CZ0314124,Margaritifera margaritifera,2022-03-25
CZ0314124,Morimus funereus,2022-05-10
CZ0314124,Myotis bechsteinii,2024-09-14
CZ0314124,Myotis emarginatus,2020-01-20
CZ0314124,Myotis myotis,2025-01-25
CZ0314124,Ophiogomphus cecilia,2023-08-21
CZ0314124,Phengaris nausithous,2025-07-23
CZ0314124,Phengaris teleius,2025-07-23
CZ0314124,Rhinolophus hipposideros,2013-01-01
CZ0314124,Rumex sp.,2007-06-28
CZ0314124,Salmo trutta,2025-09-03
CZ0314124,Sanguisorba officinalis,2025-06-04
CZ0314124,Scardinius erythrophthalmus,2023-10-06
CZ0314124,Succisa pratensis,2025-05-30
CZ0314124,Triturus cristatus,2025-05-27
CZ0314124,Vertigo angustior,2025-07-12
CZ0314126,Abramis brama,2025-06-18
CZ0314126,Barbastella barbastellus,2011-12-21
CZ0314126,Bombina bombina,2025-04-30
CZ0314126,Cerambyx cerdo,2020-07-20
CZ0314126,Cottus gobio,2012-09-26
CZ0314126,Dicranum viride,2024-06-26
CZ0314126,Euplagia quadripunctaria,2020-08-06
CZ0314126,Lampetra planeri,2012-09-26
CZ0314126,Limoniscus violaceus,2011-04-01
CZ0314126,Lucanus cervus,2024-06-18
CZ0314126,Lutra lutra,2016-11-15
CZ0314126,Lynx lynx,2003-02-15
CZ0314126,Myotis bechsteinii,2011-12-21
CZ0314126,Myotis myotis,2012-06-21
CZ0314126,Osmoderma barnabita,2020-07-20
CZ0314126,Phengaris nausithous,1995-01-01
CZ0314126,Rhinolophus hipposideros,2011-12-21
CZ0314126,Rhysodes sulcatus,2023-05-05
CZ0314126,Salmo trutta,2015-08-27
CZ0314126,Sanguisorba officinalis,2001-07-01
CZ0314126,Triturus cristatus,2021-05-07
CZ0314634,Barbastella barbastellus,2025-02-07
CZ0314634,Myotis bechsteinii,2024-12-15
CZ0314634,Myotis emarginatus,2006-02-07
CZ0314634,Myotis myotis,2025-02-07
CZ0314635,Coleanthus subtilis,2023-06-06
CZ0314636,Gentianella praecox subsp. bohemica,2023-09-19
CZ0314636,Hamatocaulis vernicosus,2001-01-01
CZ0314636,Phengaris nausithous,2019-08-01
CZ0314636,Sanguisorba officinalis,2024-05-06
CZ0314636,Succisa pratensis,2024-05-28
CZ0314637,Hamatocaulis vernicosus,2023-09-24
CZ0314637,Sanguisorba officinalis,2019-04-26
CZ0314637,Succisa pratensis,2019-04-26
CZ0314638,Bombina bombina,2020-05-31
CZ0314638,Coleanthus subtilis,2024-05-16
CZ0314638,Lutra lutra,2015-04-14
CZ0314639,Bombina bombina,2025-06-08
CZ0314639,Hamatocaulis vernicosus,2001-01-01
CZ0314639,Leucorrhinia pectoralis,2025-05-17
CZ0314639,Lutra lutra,2011-03-29
CZ0314639,Succisa pratensis,2013-09-03
CZ0314639,Triturus cristatus,2025-07-05
CZ0314640,Coleanthus subtilis,2024-05-16
CZ0314640,Leucorrhinia pectoralis,2015-07-05
CZ0314640,Lutra lutra,2015-05-23
CZ0314640,Triturus cristatus,2015-06-12
CZ0314641,Cottus gobio,2024-08-12
CZ0314641,Gentianella praecox subsp. bohemica,2023-09-21
CZ0314641,Hamatocaulis vernicosus,2001-01-01
CZ0314641,Lampetra planeri,2024-08-12
CZ0314641,Lutra lutra,2026-02-07
CZ0314641,Margaritifera margaritifera,2023-09-18
CZ0314641,Phengaris nausithous,2019-07-24
CZ0314641,Phengaris teleius,2024-06-24
CZ0314641,Salmo trutta,2024-08-12
CZ0314641,Sanguisorba officinalis,2025-08-17
CZ0314641,Succisa pratensis,2025-06-28
CZ0314641,Vertigo angustior,2014-09-06
CZ0314642,Phengaris teleius,2016-07-06
CZ0314642,Sanguisorba officinalis,2019-05-23
CZ0314642,Succisa pratensis,2019-05-23
CZ0314648,Bombina bombina,2025-04-11
CZ0314648,Phengaris teleius,2021-07-20
CZ0314648,Sanguisorba officinalis,2025-10-04
CZ0314648,Succisa pratensis,2025-10-04
CZ0315002,Bombina bombina,2011-04-01
CZ0315002,Hamatocaulis vernicosus,2024-01-01
CZ0315002,Sanguisorba officinalis,2013-06-16
CZ0315002,Vertigo angustior,2006-09-09
CZ0315005,Hamatocaulis vernicosus,2023-06-15
CZ0320005,Austropotamobius torrentium,2016-10-09
CZ0320005,Lutra lutra,2024-05-09
CZ0320005,Phengaris nausithous,2021-07-26
CZ0320005,Phengaris teleius,2025-07-01
CZ0320005,Sanguisorba officinalis,2021-06-20
CZ0320005,Succisa pratensis,2018-06-21
CZ0320005,Triturus cristatus,2022-05-11
CZ0320013,Sanguisorba officinalis,2022-05-18
CZ0320022,Castor fiber,2004-06-05
CZ0320022,Cucujus cinnaberinus,2013-08-25
CZ0320022,Lynx lynx,2000-03-12
CZ0320022,Sanguisorba officinalis,2014-06-24
CZ0320023,Barbastella barbastellus,2002-01-01
CZ0320023,Euplagia quadripunctaria,2000-05-01
CZ0320023,Lutra lutra,2005-10-01
CZ0320023,Lynx lynx,2014-04-01
CZ0320023,Myotis myotis,2019-01-17
CZ0320023,Rhinolophus hipposideros,2019-01-17
CZ0320023,Sanguisorba officinalis,2022-05-03
CZ0320023,Succisa pratensis,2025-06-28
CZ0320030,Barbastella barbastellus,2018-09-15
CZ0320030,Canis lupus,2025-03-29
CZ0320030,Castor fiber,2006-05-06
CZ0320030,Lutra lutra,2006-03-31
CZ0320030,Lynx lynx,2018-11-10
CZ0320030,Myotis bechsteinii,2018-09-15
CZ0320030,Myotis myotis,2018-09-15
CZ0320030,Sanguisorba officinalis,2020-07-01
CZ0320030,Succisa pratensis,2015-06-10
CZ0320037,Carabus menetriesi pacholei,2021-06-13
CZ0320037,Castor fiber,2022-06-15
CZ0320037,Lutra lutra,2011-09-29
CZ0320037,Myotis myotis,2012-06-30
CZ0320037,Sanguisorba officinalis,2004-08-20
CZ0320037,Succisa pratensis,2021-07-05
CZ0320043,Barbastella barbastellus,2019-04-25
CZ0320053,Austropotamobius torrentium,2017-10-02
CZ0320053,Barbastella barbastellus,2015-07-02
CZ0320053,Bombina variegata,2010-04-08
CZ0320053,Canis lupus,2024-05-11
CZ0320053,Castor fiber,2021-05-16
CZ0320053,Cottus gobio,2023-09-02
CZ0320053,Dicranum viride,2023-09-15
CZ0320053,Euplagia quadripunctaria,2019-08-20
CZ0320053,Lampetra planeri,2001-01-01
CZ0320053,Lucanus cervus,2024-07-05
CZ0320053,Lutra lutra,2021-01-19
CZ0320053,Myotis bechsteinii,2015-07-02
CZ0320053,Myotis myotis,2015-07-02
CZ0320053,Ophiogomphus cecilia,2017-06-25
CZ0320053,Osmoderma barnabita,2013-10-29
CZ0320053,Phengaris nausithous,2018-07-23
CZ0320053,Salmo trutta,2024-09-06
CZ0320053,Sanguisorba officinalis,2024-09-06
CZ0320053,Triturus cristatus,2010-04-08
CZ0320140,Barbastella barbastellus,2015-10-05
CZ0320140,Bombina variegata,2014-04-24
CZ0320140,Euplagia quadripunctaria,2025-08-18
CZ0320140,Lynx lynx,2000-08-22
CZ0320140,Myotis bechsteinii,2015-08-30
CZ0320140,Myotis emarginatus,2015-08-29
CZ0320140,Myotis myotis,2015-08-30
CZ0320140,Rumex sp.,2015-06-19
CZ0320140,Sanguisorba officinalis,2023-08-12
CZ0320180,Barbastella barbastellus,2018-10-13
CZ0320180,Canis lupus,2025-05-08
CZ0320180,Castor fiber,2023-11-14
CZ0320180,Cottus gobio,2023-06-28
CZ0320180,Lutra lutra,2006-09-18
CZ0320180,Lynx lynx,2025-12-11
CZ0320180,Myotis bechsteinii,2018-06-23
CZ0320180,Myotis myotis,2018-10-13
CZ0320180,Ophiogomphus cecilia,2019-07-10
CZ0320180,Phengaris nausithous,2019-08-14
CZ0320180,Phengaris teleius,2019-08-14
CZ0320180,Salmo trutta,2015-11-15
CZ0320180,Sanguisorba officinalis,2022-08-17
CZ0322055,Asplenium adulterinum,2024-07-03
CZ0322055,Bombina variegata,2021-09-21
CZ0322057,Bombina bombina,2014-05-14
CZ0322057,Coleanthus subtilis,2023-05-30
CZ0322057,Sanguisorba officinalis,2007-04-19
CZ0322057,Succisa pratensis,2007-04-19
CZ0322058,Gentianella praecox subsp. bohemica,2023-09-09
CZ0322058,Sanguisorba officinalis,2024-09-01
CZ0322058,Succisa pratensis,2025-10-11
CZ0322058,Vertigo angustior,2012-03-10
CZ0322059,Gentianella praecox subsp. bohemica,2025-10-11
CZ0322060,Gentianella praecox subsp. bohemica,2023-10-03
CZ0322060,Sanguisorba officinalis,2001-10-07
CZ0323142,Abramis brama,2014-10-08
CZ0323142,Blicca bjoerkna,2004-01-01
CZ0323142,Castor fiber,2016-01-01
CZ0323142,Cottus gobio,2011-06-15
CZ0323142,Leuciscus aspius,2022-11-01
CZ0323142,Lutra lutra,2017-08-21
CZ0323142,Rhodeus amarus,2014-10-08
CZ0323142,Salmo trutta,2011-06-15
CZ0323142,Sanguisorba officinalis,2008-08-14
CZ0323142,Scardinius erythrophthalmus,2004-01-01
CZ0323143,Bombina variegata,2025-09-21
CZ0323143,Myotis myotis,2015-05-01
CZ0323144,Triturus cristatus,2025-06-25
CZ0323145,Austropotamobius torrentium,2025-10-13
CZ0323145,Cottus gobio,2020-06-18
CZ0323145,Lampetra planeri,2016-07-08
CZ0323145,Lutra lutra,2019-11-25
CZ0323145,Salmo trutta,2016-07-08
CZ0323145,Sanguisorba officinalis,2021-07-12
CZ0323147,Scardinius erythrophthalmus,2015-08-06
CZ0323147,Triturus cristatus,2025-08-30
CZ0323149,Sanguisorba officinalis,2008-06-07
CZ0323149,Triturus cristatus,2025-07-13
CZ0323150,Chazara briseis,1995-01-01
CZ0323150,Hipparchia semele,1995-01-01
CZ0323150,Phengaris nausithous,2021-07-26
CZ0323150,Phengaris teleius,2018-07-12
CZ0323150,Sanguisorba officinalis,2010-05-08
CZ0323151,Barbastella barbastellus,2019-07-03
CZ0323151,Canis lupus,2023-12-31
CZ0323151,Castor fiber,2024-04-03
CZ0323151,Cottus gobio,2023-06-29
CZ0323151,Hamatocaulis vernicosus,2001-01-01
CZ0323151,Lampetra planeri,2020-11-16
CZ0323151,Lutra lutra,2020-02-09
CZ0323151,Lynx lynx,2003-01-01
CZ0323151,Myotis myotis,2019-07-03
CZ0323151,Ophiogomphus cecilia,2023-09-16
CZ0323151,Salmo trutta,2019-04-06
CZ0323151,Sanguisorba officinalis,2019-05-06
CZ0323151,Scardinius erythrophthalmus,2020-11-16
CZ0323151,Succisa pratensis,2019-05-06
CZ0323155,Osmoderma barnabita,2023-06-19
CZ0323156,Austropotamobius torrentium,2003-01-01
CZ0323158,Bombina bombina,2025-06-05
CZ0323158,Bombina variegata,2006-06-23
CZ0323158,Castor fiber,2024-05-23
CZ0323158,Lutra lutra,2024-11-09
CZ0323158,Phengaris nausithous,2022-07-30
CZ0323158,Sanguisorba officinalis,2008-06-06
CZ0323159,Castor fiber,2020-11-18
CZ0323159,Cottus gobio,2013-09-10
CZ0323159,Euplagia quadripunctaria,2018-08-03
CZ0323159,Leuciscus aspius,2010-08-15
CZ0323159,Ophiogomphus cecilia,2022-08-14
CZ0323159,Osmoderma barnabita,2013-11-06
CZ0323159,Rumex sp.,2024-04-28
CZ0323159,Sanguisorba officinalis,2024-10-06
CZ0323160,Bombina variegata,2024-06-07
CZ0323160,Triturus cristatus,2025-08-30
CZ0323161,Austropotamobius torrentium,2012-09-05
CZ0323162,Bombina variegata,2025-08-17
CZ0323162,Triturus cristatus,2025-04-10
CZ0323163,Vertigo angustior,2025-06-04
CZ0323164,Myotis myotis,2015-09-10
CZ0323164,Vertigo angustior,2025-06-03
CZ0323165,Abramis brama,2004-01-01
CZ0323165,Ameiurus nebulosus,2004-01-01
CZ0323165,Blicca bjoerkna,2004-01-01
