kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0214010,Euphydryas maturna,EVL Dománovický les - 13,5858c,2018-05-25,2018-05-30
CZ0214010,Euphydryas maturna,EVL Dománovický les - 2,5858c,2018-05-27,2018-06-03
CZ0214010,Euphydryas maturna,EVL Dománovický les - 3,5858c,2018-05-30,2018-05-30
CZ0214010,Euphydryas maturna,EVL Dománovický les - 4,5858c,2018-05-25,2018-06-03
CZ0214010,Euphydryas maturna,EVL Dománovický les - 5,5858c,2018-05-27,2018-05-27
CZ0214010,Euphydryas maturna,EVL Dománovický les - 6,5858c,2018-05-27,2018-05-27
CZ0214010,Euphydryas maturna,EVL Dománovický les - 7,5858c,2018-05-25,2018-05-25
CZ0214010,Euphydryas maturna,EVL Dománovický les - 9,5858c,2018-05-25,2018-05-30
CZ0214010,Euphydryas maturna,MOTYLI2148,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2149,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2150,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2151,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2152,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2153,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2154,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2155,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2156,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2157,5858c,2023-07-25,2023-07-25
CZ0214010,Euphydryas maturna,MOTYLI2158,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2159,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2160,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2161,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2162,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2163,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2164,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2165,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2166,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2167,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2168,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2169,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2170,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2171,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2172,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2173,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2174,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2176,5858c,2023-06-09,2023-06-09
CZ0214010,Euphydryas maturna,MOTYLI2177,5858c,2023-06-13,2023-06-13
CZ0214010,Euphydryas maturna,MOTYLI2178,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2179,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2180,5858c,2023-06-11,2023-06-11
CZ0214010,Euphydryas maturna,MOTYLI2182,5858c,2023-06-11,2023-06-11
CZ0214010,Euphydryas maturna,MOTYLI2183,5858c,2023-06-12,2023-06-12
CZ0214010,Euphydryas maturna,MOTYLI2184,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2185,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2186,5858c,2023-06-23,2023-06-23
CZ0214010,Euphydryas maturna,MOTYLI2187,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2188,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2191,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2192,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2193,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI2194,5858c,2023-06-15,2023-06-15
CZ0214010,Euphydryas maturna,MOTYLI281_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI282_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI283_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI284_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI285_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI286_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI287_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI288_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI289,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI290_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI291_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI292_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI293_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI294_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI295_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI296_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI297_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI298_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI299_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI300_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI301_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI302,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI303_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI304_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI305_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI306_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI307_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI308_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI309_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI310_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI311_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI312_,5858c,2022-07-25,2022-07-25
CZ0214010,Euphydryas maturna,MOTYLI37_3,5858c,2022-06-08,2022-06-08
CZ0214010,Euphydryas maturna,MOTYLI586_,5858c,2022-08-11,2022-08-11
CZ0214010,Euphydryas maturna,MOTYLI587_,5858c,2022-08-11,2022-08-11
CZ0214010,Euphydryas maturna,MOTYLI588_,5858c,2022-07-31,2022-07-31
CZ0214010,Euphydryas maturna,MOTYLI590_,5858c,2022-07-31,2022-07-31
CZ0214010,Euphydryas maturna,MOTYLI591_,5858c,2022-07-31,2022-07-31
CZ0214010,Euphydryas maturna,MOTYLI592_,5858c,2022-07-31,2022-07-31
CZ0214010,Euphydryas maturna,MOTYLI593_,5858c,2022-07-31,2022-07-31
CZ0214010,Euphydryas maturna,NPR Dománovický les a okolí,"23,""5858c""",2023-05-20,2023-06-23
CZ0214010,Euphydryas maturna,PP Žiželický les,5858c,2021-08-23,2022-03-21
CZ0214010,Euphydryas maturna,PR Dománovický les,5858c,2017-06-11,2023-07-26
CZ0214010,Euphydryas maturna,PR Dománovický les - za hájovnou,5858c,2025-06-03,2025-06-12
CZ0214010,Euphydryas maturna,"PR Dománovický les, ´u závory´",5858c,2018-05-21,2018-05-21
CZ0214010,Euphydryas maturna,Radovesnice II,5858c,2014-04-29,2017-07-07
CZ0214010,Euphydryas maturna,"Radovesnice II., Dománovický les",5858c,2015-06-02,2015-06-10
CZ0214010,Euphydryas maturna,Týnec nad Labem,5858c,2014-05-25,2016-06-18
CZ0214010,Euphydryas maturna,XCOA1,5858c,2005-06-06,2006-01-01
CZ0214010,Euphydryas maturna,XCOA2,5858c,2005-06-06,2006-01-01
CZ0214010,Euphydryas maturna,"paseka ""U hájenky""",5858c,2018-05-29,2018-05-29
CZ0214010,Euphydryas maturna,Žiželický les,"01,""5858c""",2009-06-02,2009-06-02
CZ0214010,Euphydryas maturna,Žíželický les,5858c,2017-08-17,2017-08-17
CZ0214010,Lucanus cervus,1085,5858c,2013-06-16,2013-06-16
CZ0214010,Lucanus cervus,BROUCI352_284,5857d,2023-06-21,2023-06-21
CZ0214010,Lucanus cervus,BROUCI354_285,5858c,2023-06-21,2023-06-21
CZ0214010,Lucanus cervus,BROUCI359_286,5858c,2023-06-21,2023-06-21
CZ0214010,Lucanus cervus,CZ0214010,"35,""5857d""",2001-07-01,2001-07-01
CZ0214010,Lucanus cervus,CZ0214010,"36,""5858c""",2001-01-01,2001-01-01
CZ0214010,Lucanus cervus,CZ0214010,5857d,2010-07-08,2025-06-12
CZ0214010,Lucanus cervus,CZ0214010,5858c,2013-06-12,2025-08-27
CZ0214010,Lycaena dispar,Choťovice,5858c,2024-05-26,2024-05-26
CZ0214010,Lycaena dispar,Dománovice,5858c,2018-05-27,2018-05-27
CZ0214010,Phengaris teleius,Velký Osek,"81,""5857d""",2000-01-01,2000-01-01
CZ0214010,Sanguisorba officinalis,3320,5858c,2019-06-08,2019-06-08
CZ0214010,Sanguisorba officinalis,3321,5858c,2019-06-08,2019-06-08
CZ0214010,Sanguisorba officinalis,3495,5858c,2019-07-16,2019-07-16
CZ0214010,Sanguisorba officinalis,DP8_Ouhora,5858c,2019-04-25,2019-04-25
CZ0214010,Sanguisorba officinalis,"Dománovický les ""U Tůně"" - paseka",5858c,2018-07-20,2018-07-20
CZ0214010,Sanguisorba officinalis,L1_Ouhora_,5858c,2019-04-25,2019-04-25
CZ0214010,Succisa pratensis,3491,5858c,2019-07-16,2019-07-16
CZ0214010,Succisa pratensis,3493,5858c,2019-05-21,2019-05-21
CZ0214010,Succisa pratensis,3495,5858c,2019-07-16,2019-07-16
CZ0214010,Succisa pratensis,DP15_Plače,5858c,2019-04-25,2019-04-25
CZ0214010,Succisa pratensis,Dománovický les,5858c,2015-05-21,2015-05-21
CZ0214010,Succisa pratensis,"Dománovický les ""U Tůně"" - tůň",5858c,2018-07-20,2018-07-20
CZ0214010,Succisa pratensis,Dománovický les - U tůně,5858c,2015-05-25,2015-05-25
CZ0214010,Succisa pratensis,L4b_Plaček,5858c,2019-04-25,2019-04-25
CZ0214010,Succisa pratensis,a0073_132316_47_X9B,5858c,2002-05-21,2002-05-21
CZ0214011,Austropotamobius torrentium,CZ0214011,6048b,2001-07-26,2022-08-13
CZ0214011,Austropotamobius torrentium,CZ0214011,6048d,2001-07-26,2025-10-01
CZ0214011,Austropotamobius torrentium,CZ0214011,6049a,2001-07-26,2025-10-01
CZ0214011,Austropotamobius torrentium,Raci10,6048b,2006-09-28,2006-09-28
CZ0214011,Austropotamobius torrentium,Raci11,6049a,2006-09-21,2006-09-21
CZ0214011,Austropotamobius torrentium,Raci12,6049a,2006-10-19,2006-10-19
CZ0214011,Barbastella barbastellus,6048b08,6048b,2016-04-02,2016-04-02
CZ0214011,Barbastella barbastellus,Branov - 5948,5948d,2006-08-14,2006-08-14
CZ0214011,Barbastella barbastellus,Bránov,5948d,2003-02-02,2003-02-02
CZ0214011,Barbastella barbastellus,Bránov (PR V. Pleš),5948d,2003-02-02,2005-02-06
CZ0214011,Barbastella barbastellus,Bránov - štola,5948d,2011-01-29,2011-01-29
CZ0214011,Barbastella barbastellus,Bránov - štola v PR Velká Pleš,5948d,2006-01-29,2015-02-07
CZ0214011,Barbastella barbastellus,NPR Týřov,"41,""6048b""",2008-07-31,2009-05-15
CZ0214011,Barbastella barbastellus,NPR Velká Pleš,"78,""6048b""",2009-05-15,2009-05-15
CZ0214011,Barbastella barbastellus,"NPR Velká Pleš, trvalá monitorovací plocha VÚKOZ v.v.i.",6048b,2015-07-01,2015-07-01
CZ0214011,Barbastella barbastellus,Skryje nad Berounkou - 6048,"1,""6048b""",2006-09-22,2006-09-22
CZ0214011,Barbastella barbastellus,Týřov - sklep hradu,6048b,2012-12-29,2024-12-30
CZ0214011,Barbastella barbastellus,Týřov - zřícený sklep,6048b,2009-01-16,2010-02-03
CZ0214011,Bombina variegata,2414,6048b,2001-09-08,2001-09-08
CZ0214011,Bombina variegata,2415,6048b,2002-06-29,2002-06-29
CZ0214011,Bombina variegata,2419,6048b,2001-09-08,2001-09-08
CZ0214011,Bombina variegata,2420,6048b,2001-09-08,2001-09-08
CZ0214011,Bombina variegata,2421,6048b,2001-05-05,2002-06-29
CZ0214011,Bombina variegata,2422,6048b,2001-05-05,2002-06-29
CZ0214011,Bombina variegata,2424,6048b,2002-06-29,2002-06-29
CZ0214011,Bombina variegata,2429,6048b,2002-06-29,2002-06-29
CZ0214011,Bombina variegata,2438,6048b,2000-08-03,2000-08-03
CZ0214011,Bombina variegata,2442,6048b,2002-07-17,2002-07-17
CZ0214011,Bombina variegata,2446,6048b,2000-08-03,2000-08-03
CZ0214011,Bombina variegata,2473,6048b,2001-08-03,2001-08-03
CZ0214011,Bombina variegata,2478,6048b,2000-05-04,2002-07-02
CZ0214011,Bombina variegata,2840,6049a,2001-08-03,2001-08-03
CZ0214011,Bombina variegata,840,"41,""6048b""",2010-04-08,2010-04-08
CZ0214011,Bombina variegata,CZ0214011,6048b,2011-06-15,2021-08-03
CZ0214011,Buxbaumia viridis,CZ0214011,6048b,2005-04-22,2024-10-19
CZ0214011,Castor fiber,CZ0214011,"01,""6048b""",2024-02-08,2024-02-08
CZ0214011,Castor fiber,CZ0214011,"23,""6048b""",2020-11-11,2020-11-11
CZ0214011,Castor fiber,CZ0214011,6048b,2022-05-27,2026-01-15
CZ0214011,Castor fiber,CZ0214011,"92,""6048b""",2021-02-19,2021-02-19
CZ0214011,Cerambyx cerdo,CZ0214011,6048b,2025-09-07,2025-09-07
CZ0214011,Cottus gobio,CZ0214011,"41,""6048b""",2001-01-01,2001-01-01
CZ0214011,Cottus gobio,CZ0214011,6048b,2006-01-01,2022-11-05
CZ0214011,Cottus gobio,CZ0214011,6049a,2008-09-04,2016-08-23
CZ0214011,Cottus gobio,Úpořský potok,6048b,2019-08-21,2022-08-09
CZ0214011,Cottus gobio,Úpořský potok,6049a,2019-08-21,2022-08-09
CZ0214011,Dicranum viride,CZ0214011,6048b,2005-04-22,2021-11-23
CZ0214011,Dicranum viride,CZ0214011,"67,""6048b""",2021-11-23,2021-11-23
CZ0214011,Euplagia quadripunctaria,6048b09,6048b,2009-08-08,2014-07-26
CZ0214011,Euplagia quadripunctaria,6048b14,6048b,2019-07-27,2019-07-27
CZ0214011,Euplagia quadripunctaria,Lokace00501,6048b,2019-07-27,2019-07-27
CZ0214011,Euplagia quadripunctaria,NPR Týřov,6048b,2018-08-08,2024-07-15
CZ0214011,Limoniscus violaceus,840,"41,""6048b""",2009-04-25,2010-03-25
CZ0214011,Limoniscus violaceus,CZ0214011,6048b,2009-05-02,2025-11-22
CZ0214011,Limoniscus violaceus,CZ0214011,"62,""6049a""",2020-05-01,2020-05-01
CZ0214011,Lucanus cervus,840,"41,""6048b""",2008-04-01,2010-03-25
CZ0214011,Lucanus cervus,CZ0214011,6048b,2002-07-15,2025-11-22
CZ0214011,Lucanus cervus,CZ0214011,6049a,2010-06-15,2010-06-15
CZ0214011,Lutra lutra,CZ0214011,6048b,2021-02-18,2021-02-19
CZ0214011,Lynx lynx,CZ0214011,"1,""6048b""",2010-01-01,2010-01-01
CZ0214011,Myotis bechsteinii,Bránov (PR V. Pleš),5948d,2002-02-03,2002-02-03
CZ0214011,Myotis bechsteinii,NPR Velká Pleš 842,"73,""6048b""",2002-01-01,2002-01-01
CZ0214011,Myotis bechsteinii,"NPR Velká Pleš, trvalá monitorovací plocha VÚKOZ v.v.i.",6048b,2015-07-01,2015-07-01
CZ0214011,Myotis bechsteinii,štola Bránov,5948d,2010-02-06,2010-02-06
CZ0214011,Myotis myotis,NPR Týřov,"41,""6048b""",2008-07-31,2009-05-15
CZ0214011,Myotis myotis,NPR Velká Pleš,"78,""6048b""",2009-05-15,2009-05-15
CZ0214011,Myotis myotis,"NPR Velká Pleš, trvalá monitorovací plocha VÚKOZ v.v.i.",6048b,2015-07-01,2015-07-01
CZ0214011,Myotis sp.,Bránov - štola,5948d,2011-01-29,2011-01-29
CZ0214011,Myotis sp.,Bránov - štola v PR Velká Pleš,5948d,2012-01-29,2012-01-29
CZ0214011,Rumex sp.,Branov_1870476,6048b,2007-07-02,2007-07-02
CZ0214011,Salmo trutta,CZ0214011,6048b,2006-01-01,2022-11-05
CZ0214011,Salmo trutta,CZ0214011,6049a,2008-09-04,2009-10-08
CZ0214011,Sanguisorba officinalis,1860204,6048b,2024-10-11,2024-10-11
CZ0214011,Sanguisorba officinalis,1870476,6048b,2024-08-03,2024-08-03
CZ0214011,Sanguisorba officinalis,6510_1693,6048b,2012-05-30,2012-05-30
CZ0214011,Sanguisorba officinalis,Branov_1870476,6048b,2007-07-02,2007-07-02
CZ0214011,Sanguisorba officinalis,Kouřimecká rybárna 2,6048b,2020-06-08,2020-06-08
CZ0214011,Sanguisorba officinalis,orchideje,6048b,2012-05-30,2012-05-30
CZ0214011,Scardinius erythrophthalmus,CZ0214011,6048b,2006-01-01,2006-01-01
CZ0214012,Barbastella barbastellus,Branžež,5456c,2021-07-15,2021-09-09
CZ0214012,Barbastella barbastellus,EVL - Příhrazskév skály - B8,5456c,2015-07-06,2015-07-06
CZ0214012,Barbastella barbastellus,EVL -Příhrazské skály - B2,5456c,2015-07-06,2015-07-06
CZ0214012,Barbastella barbastellus,EVL Příhrazské skály - A11,5456c,2015-07-03,2015-07-03
CZ0214012,Barbastella barbastellus,EVL Příhrazské skály - A4,5456c,2015-07-03,2015-07-03
CZ0214012,Barbastella barbastellus,EVL Příhrazské skály - SK3,5456d,2015-07-01,2015-07-01
CZ0214012,Barbastella barbastellus,Hynšta,5456c,2010-08-20,2015-08-13
CZ0214012,Barbastella barbastellus,Jeskyně Racák,5456c,2019-01-03,2019-01-03
CZ0214012,Barbastella barbastellus,Krtola,5456c,2011-03-01,2016-09-10
CZ0214012,Barbastella barbastellus,Mužský,5456c,2021-07-15,2021-07-15
CZ0214012,Barbastella barbastellus,jeskyně Racák,5456c,2015-08-14,2015-08-14
CZ0214012,Barbastella barbastellus,Žďár u Mnichova Hradiště,5456c,2021-06-04,2021-07-15
CZ0214012,Canis lupus,CZ0214012,5456c,2022-10-20,2022-10-20
CZ0214012,Cucujus cinnaberinus,CZ0214012,5456c,2021-07-12,2021-07-12
CZ0214012,Myotis alcathoe/emarginatus,Branžež,5456c,2021-06-14,2021-06-14
CZ0214012,Myotis alcathoe/emarginatus,Mužský,5456c,2021-06-04,2021-06-04
CZ0214012,Myotis alcathoe/emarginatus,Žďár u Mnichova Hradiště,5456c,2021-06-04,2021-06-04
CZ0214012,Myotis bechsteinii,Hynšta,5456c,2011-08-31,2015-08-13
CZ0214012,Myotis bechsteinii,Krtola,5456c,2015-08-22,2015-08-22
CZ0214012,Myotis emarginatus,Krtola,5456c,2002-01-22,2016-09-10
CZ0214012,Myotis emarginatus,Krtola u Příhraz - jeskyně,5456c,2018-01-14,2018-01-14
CZ0214012,Myotis emarginatus,Mužský,"99,""5456c""",2002-01-22,2002-01-22
CZ0214012,Myotis myotis,Branžež,5456c,2021-07-21,2021-09-07
CZ0214012,Myotis myotis,Dneboh,5456c,2021-06-04,2021-10-07
CZ0214012,Myotis myotis,EVL - Příhrazskév skály - B8,5456c,2015-05-13,2015-07-06
CZ0214012,Myotis myotis,EVL Příhrazské skály - A10,5456c,2015-07-03,2015-07-03
CZ0214012,Myotis myotis,EVL Příhrazské skály - A4,5456c,2015-05-07,2015-05-07
CZ0214012,Myotis myotis,EVL Příhrazskév skály - B7,5456c,2015-07-06,2015-07-06
CZ0214012,Myotis myotis,Hynšta,5456c,2010-08-20,2018-01-14
CZ0214012,Myotis myotis,Krtola,5456c,2015-08-22,2016-09-10
CZ0214012,Myotis myotis,Krtola u Příhraz - jeskyně,5456c,2022-01-10,2023-01-06
CZ0214012,Myotis myotis,Mužský,5456c,2021-07-15,2021-10-07
CZ0214012,Myotis sp.,Branžež,5456c,2021-07-15,2021-07-21
CZ0214012,Myotis sp.,Horní Kohoutova jeskyně,5456c,2020-01-15,2020-01-15
CZ0214012,Myotis sp.,Hynšta,5456c,2017-01-11,2020-01-15
CZ0214012,Myotis sp.,Jenčova sluj,5456c,2020-01-15,2020-01-15
CZ0214012,Myotis sp.,Jeskyně Racák,5456c,2020-01-15,2020-01-15
CZ0214012,Myotis sp.,Krtola jeskyně,5456c,2003-01-08,2003-01-08
CZ0214012,Myotis sp.,Krtola u Příhraz - převis,5456c,2020-01-15,2025-01-16
CZ0214012,Rhinolophus hipposideros,Branžež,5456c,2021-09-07,2021-09-09
CZ0214012,Rhinolophus hipposideros,Dneboh,5456c,2021-07-15,2021-10-07
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skála - B5 Krtola,5456c,2015-05-13,2015-07-06
CZ0214012,Rhinolophus hipposideros,EVL Příhrazské skály - A6 Hynšta,5456c,2015-07-03,2015-07-03
CZ0214012,Rhinolophus hipposideros,Hynšta,5456c,2015-12-28,2016-01-08
CZ0214012,Rhinolophus hipposideros,Jenčova sluj,5456c,2006-01-06,2019-01-03
CZ0214012,Rhinolophus hipposideros,Krtola,5456c,2002-01-22,2016-09-10
CZ0214012,Rhinolophus hipposideros,Krtola jeskyně,5456c,2001-02-11,2011-01-07
CZ0214012,Rhinolophus hipposideros,Krtola u Příhraz,5456c,2006-01-06,2006-01-06
CZ0214012,Rhinolophus hipposideros,Krtola u Příhraz - jeskyně,5456c,2012-01-08,2025-01-16
CZ0214012,Rhinolophus hipposideros,Mužský,5456c,2021-10-07,2021-10-07
CZ0214012,Rhinolophus hipposideros,Mužský,"99,""5456c""",2002-01-22,2002-01-22
CZ0214012,Rhinolophus hipposideros,"Mužský, Jenčova sluj",5456c,2008-01-07,2008-01-07
CZ0214012,Rhinolophus hipposideros,"Mužský, Krtola",5456c,2008-01-06,2008-01-06
CZ0214012,Rhinolophus hipposideros,Příhrazy - jeskyně Krtola,5456c,1984-01-01,1984-01-01
CZ0214012,Rhinolophus hipposideros,jeskyně Racák,5456c,2015-08-14,2015-08-14
CZ0214012,Rhinolophus hipposideros,Žďár u Mnichova Hradiště,5456c,2021-07-15,2021-07-15
CZ0214012,Trichomanes speciosum,5456-3,5456c,2001-11-04,2001-11-04
CZ0214012,Trichomanes speciosum,9587839_Příhrazy,5456c,2001-11-04,2001-11-04
CZ0214012,Trichomanes speciosum,Klamorna 1 (Tspe165),5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Klamorna 2 (Tspe166),5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,PR Příhrazské skály DP: 20 Trichomanes speciosum,5456c,2022-07-23,2022-07-23
CZ0214012,Trichomanes speciosum,PR Příhrazské skály DP: 22,5456c,2021-05-26,2021-05-26
CZ0214012,Trichomanes speciosum,Příhrazy (Tspe160),5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 1,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 2,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 3,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 4,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 5,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - Krtola - 6,5456c,2012-10-12,2012-10-12
CZ0214012,Trichomanes speciosum,Příhrazy - jih (Tspe156),5456d,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Příhrazy - sever (Tspe157,5456d,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Příhrazy 1 (Tspe137),5456c,2001-11-03,2001-11-03
CZ0214012,Trichomanes speciosum,Příhrazy 2 (Tspe138),5456c,2001-11-03,2001-11-03
CZ0214012,Trichomanes speciosum,"Příhrazy, rašeliniště 1 (",5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,"Příhrazy, rašeliniště 2 (",5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Sokolka,5456d,2010-11-05,2010-11-05
CZ0214012,Trichomanes speciosum,Sokolka (Tspe161),5456d,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Sokolka - SV strana skalního masivu,5456d,2010-11-05,2010-11-05
CZ0214012,Trichomanes speciosum,Sokolka - SZ a S strana skalního masivu,5456d,2010-11-05,2010-11-05
CZ0214012,Trichomanes speciosum,h0032cr_033401_418_L5.4,5456c,2001-11-12,2001-11-12
CZ0214012,Trichomanes speciosum,h0032cr_033402_55_L5.4,5456c,2001-11-12,2001-11-12
CZ0214012,Trichomanes speciosum,Černé louže 1 (Tspe162),5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Černé louže 3 (Tspe164),5456c,2002-09-05,2002-09-05
CZ0214012,Trichomanes speciosum,Černé lože 2 (Tspe163),5456c,2002-09-05,2002-09-05
CZ0214013,Abramis brama,CZ0214013,5553c,2003-04-10,2003-04-10
CZ0214013,Abramis brama,CZ0214013,5653a,2002-11-23,2024-11-09
CZ0214013,Ameiurus nebulosus,CZ0214013,"54,""5653c""",2004-01-01,2004-01-01
CZ0214013,Ameiurus nebulosus,CZ0214013,5552d,2010-09-07,2018-06-05
CZ0214013,Ameiurus nebulosus,CZ0214013,5653a,2022-08-30,2024-10-22
CZ0214013,Barbastella barbastellus,-,5553b,2003-02-28,2003-02-28
CZ0214013,Barbastella barbastellus,5553,"96,""5553a""",2010-01-01,2011-12-21
CZ0214013,Barbastella barbastellus,5553,"96,""5553b""",2010-01-01,2011-12-21
CZ0214013,Barbastella barbastellus,5553,"96,""5553c""",2010-01-01,2011-12-21
CZ0214013,Barbastella barbastellus,5553,"96,""5553d""",2010-01-01,2011-12-21
CZ0214013,Barbastella barbastellus,Dražejov u Dubé,5453c,2001-01-06,2017-06-19
CZ0214013,Barbastella barbastellus,Dubá,5453c,2017-06-19,2019-05-24
CZ0214013,Barbastella barbastellus,"Hlučov, skalní mlýn",5553b,2009-01-15,2010-01-07
CZ0214013,Barbastella barbastellus,Houska,5553b,2003-02-28,2003-02-28
CZ0214013,Barbastella barbastellus,"Houska, sklepy zámku Houska",5553b,2009-01-15,2009-01-15
CZ0214013,Barbastella barbastellus,Janova Ves,5553c,2018-07-24,2018-07-24
