kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0213621,Rhinolophus hipposideros,Mořina - Tichá štola - Velká Amerika,6051a,2026,CELKOVE_HODNOCENI,Letouni,Mořina - Tichá štola - Velká Amerika,15545588,7073126,2026-01-22,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213621,Rhinolophus hipposideros,Mořina - Tichá štola - Velká Amerika,6051a,2026,CELKOVE_SUM,Letouni,Mořina - Tichá štola - Velká Amerika,15545588,7073126,2026-01-22,0,NA,NA,NA,NA,NA,,,NA,1
CZ0213621,Rhinolophus hipposideros,Mořina - Tichá štola - Velká Amerika,6051a,2026,POP_PRESENCE,Letouni,Mořina - Tichá štola - Velká Amerika,15545588,7073126,2026-01-22,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213621,Rhinolophus hipposideros,Velká Amerika,6051a,2016,CELKOVE_HODNOCENI,Letouni,Velká Amerika,9778518,5902607,2016-09-24,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213621,Rhinolophus hipposideros,Velká Amerika,6051a,2016,CELKOVE_SUM,Letouni,Velká Amerika,9778518,5902607,2016-09-24,0,NA,NA,NA,NA,NA,,,NA,1
CZ0213621,Rhinolophus hipposideros,Velká Amerika,6051a,2016,POP_PRESENCE,Letouni,Velká Amerika,9778518,5902607,2016-09-24,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213621,Rhinolophus hipposideros,Zbytovského štola,6051a,2014,CELKOVE_HODNOCENI,Letouni,Zbytovského štola,9371423,5668100,2014-01-31,1,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213621,Rhinolophus hipposideros,Zbytovského štola,6051a,2014,CELKOVE_SUM,Letouni,Zbytovského štola,9371423,5668100,2014-01-31,1,NA,NA,NA,NA,NA,,,NA,1
CZ0213621,Rhinolophus hipposideros,Zbytovského štola,6051a,2014,POP_PRESENCE,Letouni,Zbytovského štola,9371423,5668100,2014-01-31,1,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213621,Rhinolophus hipposideros,vodní štola ve Velké Americe,6051a,2021,CELKOVE_HODNOCENI,Letouni,vodní štola ve Velké Americe,11299665,5517604,2021-02-05,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213621,Rhinolophus hipposideros,vodní štola ve Velké Americe,6051a,2021,CELKOVE_SUM,Letouni,vodní štola ve Velké Americe,11299665,5517604,2021-02-05,0,NA,NA,NA,NA,NA,,,NA,1
CZ0213621,Rhinolophus hipposideros,vodní štola ve Velké Americe,6051a,2021,POP_PRESENCE,Letouni,vodní štola ve Velké Americe,11299665,5517604,2021-02-05,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213621,Rhinolophus hipposideros,štola Feministka,6051a,2014,CELKOVE_HODNOCENI,Letouni,štola Feministka,9371359,5668078,2014-01-31,1,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213621,Rhinolophus hipposideros,štola Feministka,6051a,2014,CELKOVE_SUM,Letouni,štola Feministka,9371359,5668078,2014-01-31,1,NA,NA,NA,NA,NA,,,NA,1
CZ0213621,Rhinolophus hipposideros,štola Feministka,6051a,2014,POP_PRESENCE,Letouni,štola Feministka,9371359,5668078,2014-01-31,1,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213626,Rhinolophus hipposideros,DEL0170 - Suchomasty 1 - zámeček,6150a,2015,CELKOVE_HODNOCENI,Letouni,DEL0170 - Suchomasty 1 - zámeček,9475181,1172831,2015-07-17,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213626,Rhinolophus hipposideros,DEL0170 - Suchomasty 1 - zámeček,6150a,2015,CELKOVE_SUM,Letouni,DEL0170 - Suchomasty 1 - zámeček,9475181,1172831,2015-07-17,0,NA,NA,NA,NA,NA,,,NA,1
CZ0213626,Rhinolophus hipposideros,DEL0170 - Suchomasty 1 - zámeček,6150a,2015,POP_PRESENCE,Letouni,DEL0170 - Suchomasty 1 - zámeček,9475181,1172831,2015-07-17,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213792,Rhinolophus hipposideros,"Platanový můstek, Nové Dvory",6058a,2023,CELKOVE_HODNOCENI,Letouni,"Platanový můstek, Nové Dvory",14934299,12071872,2023-06-01,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0213792,Rhinolophus hipposideros,"Platanový můstek, Nové Dvory",6058a,2023,CELKOVE_SUM,Letouni,"Platanový můstek, Nové Dvory",14934299,12071872,2023-06-01,0,NA,NA,NA,NA,NA,,,NA,1
CZ0213792,Rhinolophus hipposideros,"Platanový můstek, Nové Dvory",6058a,2023,POP_PRESENCE,Letouni,"Platanový můstek, Nové Dvory",14934299,12071872,2023-06-01,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214002,Rhinolophus hipposideros,Karlické údolí,6051c,2018,CELKOVE_HODNOCENI,Letouni,Karlické údolí,10544182,4937894,2018-09-27,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0214002,Rhinolophus hipposideros,Karlické údolí,6051c,2018,CELKOVE_SUM,Letouni,Karlické údolí,10544182,4937894,2018-09-27,0,NA,NA,NA,NA,NA,,,NA,1
CZ0214002,Rhinolophus hipposideros,Karlické údolí,6051c,2018,POP_PRESENCE,Letouni,Karlické údolí,10544182,4937894,2018-09-27,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0214003,Rhinolophus hipposideros,Jeskyně Zlomená,6050c,2016,CELKOVE_HODNOCENI,Letouni,Jeskyně Zlomená,9807806,5062657,2016-02-02,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
