kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0214037,Lucanus cervus,6050c,2019-06-02
CZ0214037,Myotis emarginatus,6050c,2019-08-27
CZ0214037,Myotis myotis,6050c,2019-09-20
CZ0214037,Myotis sp.,6050c,2008-01-29
CZ0214037,Rhinolophus hipposideros,6050c,2012-05-20
CZ0214039,Austropotamobius torrentium,6049c,2024-11-03
CZ0214039,Austropotamobius torrentium,6049d,2025-10-14
CZ0214039,Austropotamobius torrentium,6149a,2024-11-03
CZ0214039,Austropotamobius torrentium,"67,""6149a""",2008-09-30
CZ0214039,Austropotamobius torrentium,"92,""6149a""",2007-01-01
CZ0214039,Cottus gobio,"29,""6049c""",2001-01-01
CZ0214039,Cottus gobio,6049c,2021-10-26
CZ0214039,Cottus gobio,6149a,2019-11-09
CZ0214039,Cottus gobio,6149b,2022-11-24
CZ0214039,Cottus gobio,"92,""6049c""",2004-01-01
CZ0214039,Lutra lutra,6149a,2000-12-22
CZ0214039,Rumex sp.,6049c,2016-07-07
CZ0214039,Salmo trutta,6049c,2015-08-06
CZ0214039,Salmo trutta,6049d,2020-09-02
CZ0214039,Salmo trutta,"92,""6049c""",2004-01-01
CZ0214040,Hipparchia semele,NA,1995-01-01
CZ0214040,Phengaris nausithous,6249d,2021-08-03
CZ0214040,Phengaris teleius,6249d,2021-08-03
CZ0214040,Sanguisorba officinalis,6249d,2010-05-29
CZ0214041,Austropotamobius torrentium,6348d,2016-09-14
CZ0214041,Cottus gobio,"13,""6349c""",2004-01-01
CZ0214041,Cottus gobio,"25,""6348d""",2000-01-01
CZ0214041,Cottus gobio,6348d,2018-10-05
CZ0214041,Cottus gobio,6349c,2001-01-01
CZ0214041,Cottus gobio,6448b,2008-09-13
CZ0214041,Lampetra planeri,"13,""6349c""",2004-01-01
CZ0214041,Lampetra planeri,"25,""6348d""",2000-01-01
CZ0214041,Lampetra planeri,6348d,2023-09-03
CZ0214041,Lampetra planeri,6349c,2001-01-01
CZ0214041,Lampetra planeri,6448b,2016-06-05
CZ0214041,Lutra lutra,6348d,2016-12-02
CZ0214041,Lutra lutra,6349c,2016-12-02
CZ0214041,Lutra lutra,6448b,2016-12-02
CZ0214041,Osmoderma barnabita,6448b,2020-07-24
CZ0214041,Rumex sp.,6348d,2011-08-22
CZ0214041,Rumex sp.,6448b,2011-06-16
CZ0214041,Rumex sp.,"76,""6348d""",2011-06-30
CZ0214041,Rumex sp.,"89,""6348d""",2011-06-30
CZ0214041,Salmo trutta,"13,""6349c""",2004-01-01
CZ0214041,Salmo trutta,6348d,2018-10-06
CZ0214041,Salmo trutta,6448b,2016-08-23
CZ0214041,Sanguisorba officinalis,"41,""6348d""",2011-06-30
CZ0214041,Sanguisorba officinalis,6348d,2017-06-08
CZ0214041,Sanguisorba officinalis,6448b,2015-05-12
CZ0214041,Sanguisorba officinalis,"76,""6348d""",2011-06-30
CZ0214041,Sanguisorba officinalis,"83,""6348d""",2011-10-11
CZ0214041,Sanguisorba officinalis,"89,""6348d""",2011-06-30
CZ0214041,Succisa pratensis,6348d,2023-06-12
CZ0214041,Succisa pratensis,6448b,2015-05-12
CZ0214042,Austropotamobius torrentium,6248d,2024-09-08
CZ0214042,Austropotamobius torrentium,6348b,2025-09-17
CZ0214042,Austropotamobius torrentium,6348d,2020-06-16
CZ0214042,Austropotamobius torrentium,"77,""6348b""",2003-01-01
CZ0214042,Barbastella barbastellus,6348d,2017-07-11
CZ0214042,Canis lupus,"1,""6348b""",2025-03-11
CZ0214042,Canis lupus,6348b,2021-10-25
CZ0214042,Canis lupus,6348c,2024-06-05
CZ0214042,Canis lupus,6348d,2024-09-28
CZ0214042,Castor fiber,6348b,2025-09-17
CZ0214042,Cottus gobio,"6,""6348b""",2000-01-01
CZ0214042,Cottus gobio,6248d,2020-06-17
CZ0214042,Cottus gobio,6348b,2019-11-20
CZ0214042,Cottus gobio,"77,""6348b""",2001-01-01
CZ0214042,Lampetra planeri,"58,""6348d""",2000-01-01
CZ0214042,Lutra lutra,"28,""6348b""",2017-01-01
CZ0214042,Lutra lutra,6248d,2020-06-17
CZ0214042,Lutra lutra,6348b,2023-11-08
CZ0214042,Lutra lutra,6348d,2016-12-29
CZ0214042,Lynx lynx,6348d,2011-02-20
CZ0214042,Myotis myotis,6348d,2016-09-10
CZ0214042,Myotis sp.,6348d,2017-09-15
CZ0214042,Phengaris teleius,6348b,2023-07-07
CZ0214042,Rhinolophus hipposideros,6348b,2021-01-08
CZ0214042,Salmo trutta,6248d,2019-11-22
CZ0214042,Salmo trutta,6348b,2016-07-06
CZ0214042,Salmo trutta,6348d,2016-07-07
CZ0214042,Sanguisorba officinalis,6348b,2019-05-02
CZ0214042,Scardinius erythrophthalmus,6348b,2016-07-06
CZ0214042,Succisa pratensis,6348b,2014-06-22
CZ0214042,Triturus cristatus,6348b,2025-07-22
CZ0214043,Euplagia quadripunctaria,5555a,2020-08-09
CZ0214043,Lemna trisulca,5555a,2020-04-16
CZ0214043,Ligularia sibirica,5555a,2024-07-31
CZ0214043,Salmo trutta,5555a,2023-09-22
CZ0214043,Sanguisorba officinalis,5555a,2020-04-16
CZ0214043,Succisa pratensis,5555a,2012-08-20
CZ0214043,Vertigo moulinsiana,5555a,2015-09-30
CZ0214044,Cucujus cinnaberinus,"54,""5855d""",2022-07-13
CZ0214044,Cucujus cinnaberinus,5855b,2021-05-24
CZ0214044,Euplagia quadripunctaria,"11,""5855d""",2021-08-06
CZ0214044,Lemna trisulca,5855d,2001-10-11
CZ0214044,Phengaris nausithous,5855d,2023-07-14
CZ0214044,Phengaris teleius,5855d,2023-07-14
CZ0214044,Sanguisorba officinalis,5855d,2021-06-14
CZ0214044,Succisa pratensis,5855d,2002-06-05
CZ0214045,Hamatocaulis vernicosus,5848d,2021-07-21
CZ0214045,Hamatocaulis vernicosus,6855b,2004-10-06
CZ0214045,Lampetra planeri,5849c,2004-01-01
CZ0214045,Lemna trisulca,5849c,2009-06-22
CZ0214045,Leuciscus aspius,5849c,2004-01-01
CZ0214045,Leucorrhinia pectoralis,5849c,2024-05-23
CZ0214045,Misgurnus fossilis,5849c,2015-03-21
CZ0214045,Rumex sp.,"05,""5848d""",2019-05-01
CZ0214045,Rumex sp.,"82,""5849c""",2019-05-01
CZ0214045,Salmo trutta,5849c,2015-03-21
CZ0214045,Scardinius erythrophthalmus,5848d,2024-03-08
CZ0214045,Scardinius erythrophthalmus,5849c,2004-01-01
CZ0214045,Triturus cristatus,5849c,2001-08-15
CZ0214045,Vertigo angustior,5848d,2019-05-08
CZ0214046,Coleanthus subtilis,6157c,2023-08-11
CZ0214047,Hipparchia semele,NA,1995-01-01
CZ0214049,Jurinea cyanoides,5753a,2025-11-28
CZ0214050,Abramis brama,"65,""5857d""",2018-10-17
CZ0214050,Adenophora liliifolia,5857b,2024-07-24
CZ0214050,Anisus vorticulus,5858a,2017-10-12
CZ0214050,Anodonta sp.,"49,""5857b""",2018-08-03
CZ0214050,Barbastella barbastellus,5857b,2023-06-29
CZ0214050,Barbastella barbastellus,5858c,2023-08-08
CZ0214050,Blicca bjoerkna,"65,""5857d""",2018-10-17
CZ0214050,Bombina bombina,"25,""5857b""",2021-07-16
CZ0214050,Bombina bombina,"49,""5857b""",2018-04-10
CZ0214050,Bombina bombina,5857b,2022-08-25
CZ0214050,Bombina bombina,5857d,2012-06-10
CZ0214050,Bombina bombina,5858a,2025-07-09
CZ0214050,Bombina bombina,5858c,2024-06-06
CZ0214050,Euphydryas maturna,NA,2007-06-09
CZ0214050,Hamatocaulis vernicosus,"57,""5857d""",2001-01-01
CZ0214050,Leuciscus aspius,"65,""5857d""",2018-10-17
CZ0214050,Leucorrhinia pectoralis,5858a,2003-06-03
CZ0214050,Lucanus cervus,"19,""5858a""",2011-08-17
CZ0214050,Lucanus cervus,"35,""5858a""",2004-01-01
CZ0214050,Lucanus cervus,5857b,2022-05-01
CZ0214050,Lucanus cervus,5857d,2011-06-19
CZ0214050,Lucanus cervus,5858a,2023-06-15
CZ0214050,Lucanus cervus,5858c,2023-06-21
CZ0214050,Lucanus cervus,"65,""5858c""",2023-06-21
CZ0214050,Lucanus cervus,"83,""5857b""",2013-08-23
CZ0214050,Lucanus cervus,"89,""5858a""",2023-06-21
CZ0214050,Lutra lutra,5857b,2024-04-28
CZ0214050,Lutra lutra,5857d,2007-03-14
CZ0214050,Lycaena dispar,5857b,2021-06-05
CZ0214050,Lycaena dispar,"75,""5857d""",2019-08-13
CZ0214050,Misgurnus fossilis,5857b,2020-08-08
CZ0214050,Misgurnus fossilis,5858c,2025-05-11
CZ0214050,Myotis bechsteinii,5857b,2012-07-28
CZ0214050,Myotis bechsteinii,5858a,2012-07-27
CZ0214050,Myotis myotis,"17,""5857b""",2023-06-29
CZ0214050,Myotis myotis,5857b,2023-08-08
CZ0214050,Myotis myotis,5858c,2023-08-08
CZ0214050,Myotis myotis,"68,""5857d""",2023-08-08
CZ0214050,Myotis myotis,"79,""5858c""",2023-08-08
CZ0214050,Phengaris nausithous,"01,""5857b""",2001-01-01
CZ0214050,Phengaris nausithous,"5,""5857b""",2022-07-21
CZ0214050,Phengaris nausithous,5857b,2022-07-21
CZ0214050,Phengaris teleius,"5,""5857b""",2022-07-21
CZ0214050,Phengaris teleius,5857b,2022-07-21
CZ0214050,Rhodeus amarus,5858c,2025-06-11
CZ0214050,Rhodeus amarus,"65,""5857d""",2018-10-17
CZ0214050,Rumex sp.,5858c,2022-07-25
CZ0214050,Sanguisorba officinalis,"01,""5857d""",2013-06-17
CZ0214050,Sanguisorba officinalis,"12,""5857b""",2013-07-04
CZ0214050,Sanguisorba officinalis,"18,""5857d""",2000-01-01
CZ0214050,Sanguisorba officinalis,"19,""5857b""",2013-07-04
CZ0214050,Sanguisorba officinalis,"24,""5857d""",2000-01-01
CZ0214050,Sanguisorba officinalis,"24,""5858c""",2013-08-08
CZ0214050,Sanguisorba officinalis,"34,""5857d""",2000-01-01
CZ0214050,Sanguisorba officinalis,"45,""5857b""",2013-06-17
CZ0214050,Sanguisorba officinalis,"54,""5857b""",2013-06-17
CZ0214050,Sanguisorba officinalis,"57,""5857d""",2005-01-01
CZ0214050,Sanguisorba officinalis,5857b,2021-05-11
CZ0214050,Sanguisorba officinalis,5857d,2021-10-04
CZ0214050,Sanguisorba officinalis,5858c,2022-07-25
CZ0214050,Sanguisorba officinalis,"6,""5857d""",2013-07-04
CZ0214050,Sanguisorba officinalis,"63,""5857d""",2013-07-14
CZ0214050,Sanguisorba officinalis,"66,""5857d""",2013-06-17
CZ0214050,Sanguisorba officinalis,"78,""5857d""",2013-06-17
CZ0214050,Sanguisorba officinalis,"79,""5857b""",2013-06-17
CZ0214050,Sanguisorba officinalis,"82,""5857b""",2013-07-04
CZ0214050,Sanguisorba officinalis,"84,""5858c""",2000-01-01
CZ0214050,Sanguisorba officinalis,"97,""5858c""",2000-01-01
CZ0214050,Scardinius erythrophthalmus,5857b,2013-10-02
CZ0214050,Scardinius erythrophthalmus,5858c,2023-08-19
CZ0214050,Scardinius erythrophthalmus,"65,""5857d""",2018-10-17
CZ0214050,Spermophilus citellus,5858c,2000-09-28
CZ0214050,Succisa pratensis,"18,""5857d""",2000-01-01
CZ0214050,Succisa pratensis,"24,""5857d""",2000-01-01
CZ0214050,Succisa pratensis,"34,""5857d""",2000-01-01
CZ0214050,Succisa pratensis,"57,""5857d""",2005-01-01
CZ0214050,Succisa pratensis,5857b,2022-06-17
CZ0214050,Succisa pratensis,5857d,2004-07-08
CZ0214050,Succisa pratensis,5858a,2022-06-17
CZ0214050,Succisa pratensis,"82,""5857b""",2000-01-01
CZ0214050,Succisa pratensis,"84,""5858c""",2000-01-01
CZ0214050,Succisa pratensis,"97,""5858c""",2000-01-01
CZ0214050,Triturus cristatus,5858a,2025-07-09
CZ0214050,Vertigo angustior,"5,""5858c""",2003-01-01
CZ0214050,Vertigo angustior,5857b,2025-08-03
CZ0214050,Vertigo angustior,5858a,2004-06-09
CZ0214050,Vertigo angustior,5858c,2015-10-01
CZ0310001,Dicranum viride,6955d,2024-09-28
CZ0310001,Ophiogomphus cecilia,6955d,2015-06-17
CZ0310001,Osmoderma barnabita,6955d,2019-01-01
CZ0310008,Leucorrhinia pectoralis,6956b,2019-05-24
CZ0310008,Triturus cristatus,6956b,2019-05-17
CZ0310009,Leucorrhinia pectoralis,7253c,2019-05-29
CZ0310009,Succisa pratensis,7253c,2019-06-14
CZ0310009,Triturus cristatus,"29,""7253c""",2019-08-20
CZ0310009,Triturus cristatus,"68,""7253c""",2019-05-11
CZ0310010,Bombina bombina,"01,""6751c""",2019-05-30
CZ0310010,Bombina bombina,6751c,2023-05-19
CZ0310010,Lemna trisulca,6751c,2025-05-05
CZ0310010,Misgurnus fossilis,6751c,2024-09-11
CZ0310010,Phengaris teleius,6751c,2025-07-07
CZ0310010,Sanguisorba officinalis,"01,""6751c""",2019-06-21
CZ0310010,Sanguisorba officinalis,6751c,2025-05-05
CZ0310010,Succisa pratensis,"01,""6751c""",2019-06-21
CZ0310010,Succisa pratensis,6751c,2012-05-09
CZ0310014,Barbastella barbastellus,7050a,2015-05-15
CZ0310014,Lynx lynx,"41,""7050a""",2000-01-01
CZ0310014,Myotis myotis,7050a,2015-05-15
CZ0310014,Phengaris nausithous,"96,""7050a""",1995-01-01
CZ0310017,Canis lupus,"37,""7251c""",2023-09-04
CZ0310017,Carabus menetriesi pacholei,"05,""7251c""",2005-06-10
CZ0310017,Carabus menetriesi pacholei,7251c,2019-08-30
CZ0310017,Castor fiber,7250d,2024-02-23
CZ0310017,Hamatocaulis vernicosus,7250d,2001-01-01
CZ0310017,Hamatocaulis vernicosus,7251c,2021-09-06
CZ0310017,Lutra lutra,7250d,2016-11-04
CZ0310017,Lutra lutra,7251c,2005-11-01
CZ0310017,Lynx lynx,7251c,2013-10-05
CZ0310017,Phengaris nausithous,7250d,2008-04-30
CZ0310017,Phengaris nausithous,7251c,2020-07-21
CZ0310017,Phengaris teleius,7251c,2016-07-17
CZ0310017,Salmo trutta,7250d,2023-09-26
CZ0310017,Salmo trutta,7251c,2015-08-26
CZ0310017,Succisa pratensis,"35,""7351a""",2003-07-12
CZ0310017,Succisa pratensis,7250d,2019-05-04
CZ0310017,Succisa pratensis,7251c,2019-05-04
CZ0310017,Succisa pratensis,7351a,2014-05-20
CZ0310017,Vertigo geyeri,7251c,2025-07-12
CZ0310019,Bombina bombina,6751c,2014-04-29
CZ0310019,Bombina bombina,6751d,2025-06-19
CZ0310019,Coleanthus subtilis,6751c,2012-05-30
CZ0310019,Coleanthus subtilis,6751d,2018-05-25
CZ0310019,Lutra lutra,6751d,2025-09-13
CZ0310019,Sanguisorba officinalis,6751d,2019-04-20
CZ0310019,Sanguisorba officinalis,"99,""6751d""",2008-01-01
CZ0310019,Succisa pratensis,6751d,2019-04-20
CZ0310019,Succisa pratensis,"99,""6751d""",2008-01-01
CZ0310019,Triturus cristatus,6751d,2019-06-01
CZ0310020,Barbastella barbastellus,6751d,2019-10-12
CZ0310020,Lutra lutra,"01,""6751d""",2004-01-01
CZ0310020,Lynx lynx,6751d,2016-12-05
CZ0310022,Myotis myotis,6651a,2015-05-17
CZ0310032,Barbastella barbastellus,7351d,2015-08-25
CZ0310032,Cottus gobio,"99,""7351d""",2004-01-01
CZ0310032,Lutra lutra,"4,""7351d""",2004-05-08
CZ0310032,Lutra lutra,"99,""7351d""",2004-01-01
CZ0310032,Lynx lynx,7351d,2006-01-01
CZ0310032,Salmo trutta,"99,""7351d""",2004-01-01
CZ0310033,Abramis brama,"26,""6653a""",2004-01-01
CZ0310033,Blicca bjoerkna,"26,""6653a""",2004-01-01
CZ0310033,Blicca bjoerkna,"49,""6553d""",2009-06-28
CZ0310033,Dicranum viride,6553d,2024-10-08
CZ0310033,Dicranum viride,"72,""6553d""",2012-10-24
CZ0310033,Dicranum viride,"99,""6553d""",2019-10-10
CZ0310033,Leuciscus aspius,"26,""6653a""",2004-01-01
CZ0310033,Salmo trutta,"49,""6553d""",2009-06-28
CZ0310033,Sanguisorba officinalis,6653a,2019-06-10
CZ0310035,Abramis brama,"5,""7152c""",2004-01-01
CZ0310035,Blicca bjoerkna,"5,""7152c""",2004-01-01
CZ0310035,Castor fiber,7251b,2019-03-28
CZ0310035,Castor fiber,7251d,2019-03-28
CZ0310035,Castor fiber,7252c,2019-03-28
CZ0310035,Castor fiber,7352a,2024-12-29
CZ0310035,Cottus gobio,7251b,2019-10-25
CZ0310035,Cottus gobio,7251d,2019-10-25
CZ0310035,Cottus gobio,7352a,2019-10-25
CZ0310035,Lampetra planeri,7251b,2019-10-25
CZ0310035,Lampetra planeri,7251d,2019-10-25
CZ0310035,Lampetra planeri,7352a,2019-10-25
CZ0310035,Lutra lutra,7251d,2022-05-05
CZ0310035,Lutra lutra,7252c,2014-09-21
CZ0310035,Lynx lynx,7352a,2025-12-06
CZ0310035,Ophiogomphus cecilia,7251d,2019-05-27
CZ0310035,Ophiogomphus cecilia,7252c,2019-05-27
CZ0310035,Ophiogomphus cecilia,7352a,2011-08-03
CZ0310035,Salmo trutta,"5,""7152c""",2004-01-01
CZ0310035,Sanguisorba officinalis,7252c,2012-07-17
CZ0310057,Canis lupus,7354c,2020-11-25
CZ0310057,Canis lupus,7454a,2025-04-15
CZ0310057,Carabus menetriesi pacholei,"18,""7454a""",2014-05-27
CZ0310057,Carabus menetriesi pacholei,7454a,2019-07-06
CZ0310057,Castor fiber,7354c,2025-10-22
CZ0310057,Hamatocaulis vernicosus,"18,""7454a""",2001-01-01
CZ0310057,Phengaris nausithous,"75,""7354c""",2024-07-09
CZ0310057,Salmo trutta,7354c,2023-09-02
CZ0310057,Sanguisorba officinalis,"18,""7454a""",2007-06-20
CZ0310057,Sanguisorba officinalis,"81,""7354c""",2019-04-01
CZ0310057,Succisa pratensis,"18,""7454a""",2007-06-20
CZ0310063,Sanguisorba officinalis,6749b,2025-06-09
CZ0310073,Leucorrhinia pectoralis,6855a,2001-05-22
CZ0310073,Lutra lutra,6855a,2017-07-20
CZ0310074,Abramis brama,6956d,2019-10-22
CZ0310074,Ameiurus nebulosus,6956d,2019-10-22
CZ0310074,Coleanthus subtilis,6956d,2023-06-06
CZ0310074,Lutra lutra,6956d,2014-03-29
CZ0310074,Scardinius erythrophthalmus,6956d,2019-10-22
CZ0310080,Bombina bombina,6953b,2019-05-10
CZ0310080,Hamatocaulis vernicosus,6953b,2001-01-01
CZ0310080,Sanguisorba officinalis,6953b,2019-04-30
CZ0310080,Scardinius erythrophthalmus,6953b,2025-08-25
CZ0310080,Succisa pratensis,6953b,2019-04-30
CZ0310080,Triturus cristatus,6953b,2019-05-10
CZ0310084,Bombina bombina,6450c,2023-05-09
CZ0310084,Triturus cristatus,6450c,2023-05-09
CZ0310163,Barbastella barbastellus,7354a,2015-06-27
CZ0310163,Canis lupus,"25,""7354c""",2025-03-08
CZ0310163,Canis lupus,7354a,2023-12-20
CZ0310163,Cottus gobio,7354a,2015-08-24
CZ0310163,Dicranum viride,7354a,2019-11-14
CZ0310163,Dicranum viride,"99,""7354a""",2019-11-19
CZ0310163,Lutra lutra,7354a,2017-02-18
CZ0310163,Lynx lynx,"25,""7354c""",2025-02-14
CZ0310163,Lynx lynx,7354a,2020-11-05
CZ0310163,Lynx lynx,"92,""7354a""",2020-10-10
CZ0310163,Myotis bechsteinii,7354a,2015-06-27
CZ0310163,Myotis myotis,7354a,2015-06-27
CZ0310163,Salmo trutta,7354a,2015-08-24
CZ0310605,Canis lupus,7155c,2018-02-14
CZ0310605,Leucorrhinia pectoralis,7155c,2013-10-01
CZ0310605,Lutra lutra,"75,""7155c""",2005-01-01
CZ0310605,Ophiogomphus cecilia,7155c,2013-10-01
CZ0310610,Barbastella barbastellus,7154b,2005-01-01
CZ0310610,Leucorrhinia pectoralis,"99,""7154b""",2000-01-01
CZ0310610,Lynx lynx,7154b,2006-01-08
CZ0310610,Myotis myotis,7154b,2005-01-01
CZ0310610,Ophiogomphus cecilia,7154b,2015-07-11
CZ0310611,Canis lupus,7055d,2019-04-12
CZ0310611,Leucorrhinia pectoralis,7055d,2019-05-01
CZ0310611,Ophiogomphus cecilia,7055d,2021-09-06
CZ0310618,Bombina bombina,"33,""7052a""",2020-05-06
CZ0310618,Bombina bombina,6952c,2020-06-03
CZ0310618,Bombina bombina,7052a,2025-07-18
CZ0310618,Bombina bombina,"89,""7052a""",2021-06-10
CZ0310618,Lemna trisulca,6952c,2019-07-21
CZ0310618,Lemna trisulca,7052a,2006-10-03
CZ0310629,Bombina bombina,6952a,2021-08-17
CZ0310629,Triturus cristatus,6952a,2021-08-17
CZ0310630,Bombina bombina,7153d,2012-06-07
CZ0310630,Leucorrhinia pectoralis,7153d,2019-05-29
CZ0310630,Triturus cristatus,7153d,2018-04-06
CZ0312030,Gentianella praecox subsp. bohemica,6848d,2024-09-04
CZ0312030,Sanguisorba officinalis,6848d,2013-05-05
CZ0312030,Succisa pratensis,6848d,2013-05-05
CZ0312032,Gentianella praecox subsp. bohemica,6848d,2025-08-18
CZ0312032,Succisa pratensis,6848d,2025-08-18
CZ0312033,Gentianella praecox subsp. bohemica,6655a,2024-04-13
CZ0312033,Succisa pratensis,6655a,2013-05-03
CZ0312034,Gentianella amarella,NA,2002-04-01
CZ0312034,Gentianella praecox subsp. bohemica,6848c,2024-09-05
CZ0312036,Gentianella praecox subsp. bohemica,6648c,2023-08-31
CZ0312038,Bombina bombina,6954a,2025-04-29
CZ0312038,Coleanthus subtilis,6954a,2023-07-04
CZ0312038,Leucorrhinia pectoralis,6954a,2015-06-25
CZ0312038,Lutra lutra,6954a,2015-08-29
CZ0312038,Myotis myotis,6954a,2015-08-29
CZ0312040,Bombina bombina,6854a,2025-06-13
CZ0312040,Coleanthus subtilis,6854a,2021-04-28
CZ0312045,Gentianella praecox subsp. bohemica,7250b,2025-10-13
CZ0312045,Gentianella praecox subsp. bohemica,NA,2005-01-01
CZ0312048,Bombina bombina,7054b,2019-06-12
CZ0312048,Coleanthus subtilis,7054b,2024-04-30
CZ0312048,Lutra lutra,7054b,2015-05-25
CZ0312048,Myotis myotis,7054b,2015-05-25
CZ0312048,Triturus cristatus,7054b,2019-06-12
CZ0312050,Gentianella praecox subsp. bohemica,6847d,2024-07-18
CZ0312050,Sanguisorba officinalis,6847d,2024-04-03
CZ0312050,Succisa pratensis,6847d,2024-07-18
CZ0312226,Gentianella praecox subsp. bohemica,7151c,2024-08-15
CZ0312226,Sanguisorba officinalis,7151c,2024-08-12
CZ0312226,Succisa pratensis,7151c,2024-08-07
CZ0313004,Dicranum viride,7254b,2016-10-21
CZ0313004,Lycaena dispar,7254b,2020-09-05
CZ0313004,Phengaris nausithous,7254b,2021-07-13
CZ0313004,Phengaris teleius,7254b,2021-07-13
CZ0313004,Sanguisorba officinalis,7254b,2012-07-10
CZ0313004,Succisa pratensis,7254b,2019-05-10
CZ0313092,Lampetra planeri,7254a,2023-10-22
CZ0313092,Lampetra planeri,7254c,2012-09-20
CZ0313092,Lutra lutra,"55,""7254c""",2011-07-02
CZ0313092,Phengaris nausithous,7254a,2012-07-17
CZ0313092,Salmo trutta,7254a,2022-06-11
CZ0313094,Abramis brama,"45,""6549c""",2004-01-01
CZ0313094,Abramis brama,6549c,2004-01-01
CZ0313094,Blicca bjoerkna,"45,""6549c""",2004-01-01
CZ0313094,Blicca bjoerkna,6549c,2004-01-01
CZ0313094,Lampetra planeri,"45,""6549c""",2004-01-01
CZ0313094,Leuciscus aspius,"45,""6549c""",2004-01-01
CZ0313094,Leuciscus aspius,6549c,2004-01-01
CZ0313094,Misgurnus fossilis,"45,""6549c""",2004-01-01
CZ0313094,Osmoderma barnabita,6549c,2025-08-10
CZ0313094,Salmo trutta,"45,""6549c""",2004-01-01
CZ0313094,Scardinius erythrophthalmus,"45,""6549c""",2004-01-01
CZ0313094,Scardinius erythrophthalmus,6549c,2004-01-01
CZ0313094,Unio crassus,6549c,2004-09-01
CZ0313094,Vertigo angustior,6549c,2006-09-15
CZ0313097,Graphoderus bilineatus,7055c,2022-06-07
CZ0313097,Leucorrhinia pectoralis,7055c,2013-04-25
CZ0313097,Luronium natans,7055c,2022-09-03
CZ0313097,Lutra lutra,7055c,2008-11-24
CZ0313097,Ophiogomphus cecilia,7055c,2021-07-11
CZ0313097,Sanguisorba officinalis,7054d,2016-08-29
CZ0313097,Triturus cristatus,7054d,2021-07-12
CZ0313097,Triturus cristatus,7055c,2025-06-05
CZ0313097,Triturus cristatus,"83,""7055c""",2020-06-16
CZ0313098,Barbastella barbastellus,6854c,2022-07-01
CZ0313098,Bombina bombina,6854c,2024-06-16
CZ0313098,Coleanthus subtilis,6854c,2006-05-25
CZ0313098,Lutra lutra,6854c,2005-06-06
CZ0313098,Osmoderma barnabita,6854c,2020-04-10
CZ0313098,Sanguisorba officinalis,6854c,2025-06-15
CZ0313098,Succisa pratensis,6854c,2025-06-15
CZ0313098,Triturus cristatus,6854c,2024-08-07
CZ0313099,Cerambyx cerdo,"44,""6952b""",2019-06-08
CZ0313099,Cerambyx cerdo,"48,""6952b""",2011-05-17
CZ0313099,Cerambyx cerdo,"56,""6952d""",2004-01-01
CZ0313099,Cerambyx cerdo,6952b,2019-01-01
CZ0313099,Cerambyx cerdo,6952c,2023-06-02
CZ0313099,Cerambyx cerdo,6952d,2023-06-02
CZ0313099,Dicranum viride,"65,""6952b""",2010-10-24
CZ0313099,Dicranum viride,6952b,2021-11-15
CZ0313099,Lemna trisulca,6952b,2015-05-21
CZ0313099,Lucanus cervus,"44,""6952b""",2019-06-08
CZ0313099,Lucanus cervus,"46,""6952d""",2002-01-01
CZ0313099,Lucanus cervus,"48,""6952b""",2011-05-17
CZ0313099,Lucanus cervus,"56,""6952d""",2004-01-01
CZ0313099,Lucanus cervus,6952b,2022-06-19
CZ0313099,Lucanus cervus,6952d,2022-06-05
CZ0313099,Lucanus cervus,"98,""6952b""",2002-01-01
CZ0313099,Osmoderma barnabita,"15,""6952d""",2002-08-01
CZ0313099,Osmoderma barnabita,"48,""6952b""",2011-05-17
CZ0313099,Osmoderma barnabita,"56,""6952d""",2004-01-01
CZ0313099,Osmoderma barnabita,6952b,2019-01-01
CZ0313099,Osmoderma barnabita,6952c,2021-08-04
CZ0313099,Osmoderma barnabita,6952d,2025-07-23
CZ0313099,Osmoderma barnabita,"98,""6952b""",2002-01-01
CZ0313099,Sanguisorba officinalis,6952b,2010-05-12
CZ0313101,Anodonta sp.,"53,""6856d""",2013-04-01
CZ0313101,Bombina bombina,"53,""6856d""",2013-04-01
CZ0313101,Bombina bombina,6856d,2025-08-06
CZ0313101,Cobitis elongatoides,6856d,2019-11-01
CZ0313101,Cobitis elongatoides,"83,""6856d""",2002-05-15
CZ0313101,Cobitis sp.,6856d,2023-08-11
CZ0313101,Leucorrhinia pectoralis,6856d,2019-07-10
CZ0313101,Lutra lutra,"14,""6856d""",2005-01-01
CZ0313101,Lutra lutra,"53,""6856d""",2013-04-01
CZ0313101,Lutra lutra,"56,""6856d""",2005-08-01
CZ0313101,Lutra lutra,6856d,2022-05-21
CZ0313101,Lutra lutra,6956b,2015-03-03
CZ0313101,Lutra lutra,"99,""6856d""",2005-01-01
CZ0313101,Lycaena dispar,6856d,2021-07-22
CZ0313101,Lycaena dispar,6956b,2021-08-21
CZ0313101,Lynx lynx,6856d,2005-12-10
CZ0313101,Myotis myotis,"72,""6856d""",2015-05-21
CZ0313101,Rhodeus amarus,6856d,2013-05-19
CZ0313101,Sanguisorba officinalis,"27,""6856d""",2014-03-18
CZ0313101,Sanguisorba officinalis,6856d,2020-08-19
CZ0313101,Sanguisorba officinalis,6956b,2014-03-18
