kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0210028,Myotis bechsteinii,6155a,2024-08-24
CZ0210028,Phengaris nausithous,"88,""6155a""",2002-01-01
CZ0210034,Sanguisorba officinalis,"11,""5753a""",2017-05-23
CZ0210034,Sanguisorba officinalis,5753a,2017-05-23
CZ0210034,Succisa pratensis,"01,""5753a""",2010-07-06
CZ0210034,Succisa pratensis,"11,""5753a""",2017-05-23
CZ0210034,Succisa pratensis,5753a,2017-05-23
CZ0210043,Cerambyx cerdo,6150d,2015-12-15
CZ0210043,Dicranum viride,6150d,2018-09-17
CZ0210043,Myotis myotis,"2,""6150d""",2015-05-14
CZ0210043,Myotis myotis,6150d,2019-07-08
CZ0210043,Osmoderma barnabita,6150d,2015-10-02
CZ0210047,Barbastella barbastellus,6448b,2018-09-08
CZ0210047,Lynx lynx,6448b,2021-11-08
CZ0210047,Myotis alcathoe/emarginatus,6448b,2017-07-06
CZ0210047,Myotis bechsteinii,6448b,2018-09-08
CZ0210047,Myotis myotis,6448b,2015-08-30
CZ0210053,Chazara briseis,NA,1995-01-01
CZ0210053,Euplagia quadripunctaria,6252c,2021-09-02
CZ0210053,Hipparchia semele,NA,1995-01-01
CZ0210053,Lucanus cervus,6252c,2023-06-11
CZ0210053,Myotis myotis,6252c,2014-08-15
CZ0210054,Canis lupus,6249c,2025-03-24
CZ0210054,Hipparchia semele,NA,1995-01-01
CZ0210056,Phengaris teleius,6348a,2023-07-13
CZ0210056,Sanguisorba officinalis,6348a,2023-06-12
CZ0210056,Succisa pratensis,6348a,2023-06-12
CZ0210058,Sanguisorba officinalis,6354c,2012-07-23
CZ0210058,Succisa pratensis,6354c,2012-07-24
CZ0210062,Phengaris nausithous,6348c,2021-07-26
CZ0210062,Phengaris teleius,6348c,2021-07-26
CZ0210062,Rumex sp.,6348d,2011-05-20
CZ0210062,Sanguisorba officinalis,"13,""6348d""",2004-06-12
CZ0210062,Sanguisorba officinalis,"15,""6348d""",2014-05-20
CZ0210062,Sanguisorba officinalis,6348c,2017-10-13
CZ0210062,Sanguisorba officinalis,6348d,2022-06-23
CZ0210062,Sanguisorba officinalis,"83,""6348d""",2014-05-20
CZ0210062,Succisa pratensis,6348d,2004-06-12
CZ0210066,Cypripedium calceolus,5553c,2021-06-03
CZ0210100,Bombina bombina,"05,""5749a""",2011-04-29
CZ0210100,Bombina bombina,5749c,2002-05-01
CZ0210100,Cypripedium calceolus,5749b,2011-06-09
CZ0210100,Rumex sp.,5749c,2019-05-01
CZ0210100,Triturus cristatus,"05,""5749a""",2011-04-29
CZ0210101,Ameiurus nebulosus,"01,""5757d""",2004-01-01
CZ0210101,Bombina bombina,"01,""5656d""",2003-01-01
CZ0210101,Bombina bombina,"06,""5757a""",2014-06-11
CZ0210101,Bombina bombina,"18,""5657c""",2001-05-01
CZ0210101,Bombina bombina,"51,""5757a""",2013-06-01
CZ0210101,Bombina bombina,5656b,2016-05-27
CZ0210101,Bombina bombina,5656d,2003-01-01
CZ0210101,Bombina bombina,5657c,2024-04-28
CZ0210101,Bombina bombina,5757a,2024-04-28
CZ0210101,Bombina bombina,5757c,2021-09-14
CZ0210101,Bombina bombina,5757d,2014-06-11
CZ0210101,Bombina bombina,"8,""5757c""",2014-06-11
CZ0210101,Cypripedium calceolus,5757a,2016-05-18
CZ0210101,Cypripedium calceolus,5757c,2016-05-18
CZ0210101,Lemna trisulca,5656d,2014-05-31
CZ0210101,Lemna trisulca,5657c,2021-06-18
CZ0210101,Lemna trisulca,5757a,2004-08-18
