typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;31;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;32;95.24;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;34;95.24;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;35;71.43;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;37;90.48;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;38;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;130;66.67;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;131;21;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;10;NA;NA;hodnocení dílčích parametrů;dobrý;setrvalý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;27;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;21;1;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;22;10;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;80;0;100;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;30;NA;100;% lokalit v dobrém stavu;neznámý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;31;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;32;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;33;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;34;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;36;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;37;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;38;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;130;0;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;131;1;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;10;NA;NA;hodnocení dílčích parametrů;špatný;zhoršující se;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;27;57.14;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;21;0;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;22;0;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;80;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;30;42.86;50;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;34;71.43;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;35;71.43;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;36;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;130;57.14;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;10;NA;NA;hodnocení dílčích parametrů;špatný;setrvalý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0813438;Cihelna Kunín;Triturus cristatus;1166;2022-04-08;2024-07-25;AOPK ČR - RP Moravskoslezské;131;7;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;27;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;21;23;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;22;110;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;80;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;30;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;34;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;35;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;36;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;130;83.33;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Jižní Morava;NA;19269
Druh;CZ0623345;Citonice - rybník Skalka;Triturus carnifex;1167;2022-05-18;2024-07-18;Krajský úřad Jihomoravského kraje;10;NA;NA;hodnocení dílčích parametrů;dobrý;zlepšující se;2025-07-28;RP Jižní Morava;NA;19269
