.target_id;SITECODE;HABITAT_CODE;status;elapsed_sec;error_message
369;CZ0610029;3130;ok;2,58755683898926e-03;
370;CZ0513506;2330;ok;2,53653526306152e-03;
371;CZ0513506;3140;ok;2,59900093078613e-03;
372;CZ0513506;3150;ok;2,48885154724121e-03;
373;CZ0513506;3260;ok;2,47859954833984e-03;
374;CZ0513506;6410;ok;2,49481201171875e-03;
375;CZ0513506;6430;ok;2,45809555053711e-03;
376;CZ0513506;7140;ok;2,45809555053711e-03;
377;CZ0513506;91D0;ok;4,71743369102478e+00;
378;CZ0513506;91E0;ok;7,14619445800781e+00;
379;CZ0724429;8310;ok;2,90656089782715e-03;
380;CZ0724429;9110;ok;6,63743948936462e+00;
381;CZ0724429;9130;ok;6,90991854667664e+00;
382;CZ0724429;9180;ok;3,87998986244202e+00;
383;CZ0210010;6210;ok;2,57062911987305e-03;
384;CZ0210010;9170;ok;4,34223365783691e+00;
385;CZ0210010;91I0;ok;9,42164182662964e-01;
386;CZ0622009;6210;ok;2,68197059631348e-03;
387;CZ0210172;3140;ok;2,49552726745605e-03;
388;CZ0210172;6210;ok;2,56323814392090e-03;
389;CZ0210172;6410;ok;2,55703926086426e-03;
390;CZ0210172;7210;ok;2,52628326416016e-03;
391;CZ0210172;7230;ok;2,49600410461426e-03;
392;CZ0210043;9110;ok;4,38052415847778e+00;
393;CZ0210043;9180;ok;1,75250983238220e+00;
394;CZ0520020;8220;ok;3,46827507019043e-03;
395;CZ0520020;9110;ok;3,91495990753174e+00;
396;CZ0520020;9130;ok;3,50922298431396e+00;
397;CZ0414127;3150;ok;2,64549255371094e-03;
398;CZ0414127;5130;ok;2,54297256469727e-03;
399;CZ0414127;6210;ok;2,52556800842285e-03;
400;CZ0414127;6230;ok;2,55155563354492e-03;
401;CZ0414127;6430;ok;2,52175331115723e-03;
402;CZ0414127;6510;ok;2,59804725646973e-03;
403;CZ0414127;8230;ok;2,52842903137207e-03;
404;CZ0414127;8310;ok;2,52461433410645e-03;
405;CZ0414127;9130;ok;6,90909101963043e+01;
406;CZ0414127;9180;ok;5,72622129917145e+01;
407;CZ0414127;40A0;ok;2,99215316772461e-03;
408;CZ0414127;91E0;ok;6,12916440963745e+01;
409;CZ0414127;91I0;ok;5,32234334945679e+01;
410;CZ0814093;91E0;ok;3,68665051460266e+00;
411;CZ0610145;91E0;ok;3,03969359397888e+00;
412;CZ0530020;8210;ok;2,73180007934570e-03;
413;CZ0530020;9130;ok;4,93493723869324e+00;
414;CZ0530020;9180;ok;2,69471192359924e+00;
415;CZ0534054;3140;ok;2,49910354614258e-03;
416;CZ0534054;6410;ok;2,49123573303223e-03;
417;CZ0534054;6430;ok;2,39586830139160e-03;
418;CZ0534054;7140;ok;2,43926048278809e-03;
419;CZ0534054;91E0;ok;3,18930315971375e+00;
420;CZ0714771;8310;ok;2,63237953186035e-03;
421;CZ0320140;9130;ok;3,57306838035583e+00;
422;CZ0320140;9180;ok;1,87455844879150e+00;
423;CZ0210109;6210;ok;2,54583358764648e-03;
424;CZ0210109;6410;ok;2,46620178222656e-03;
425;CZ0210109;9170;ok;4,90212774276733e+00;
426;CZ0320029;9170;ok;4,35324645042419e+00;
427;CZ0320029;9180;ok;1,86676239967346e+00;
428;CZ0710182;3150;ok;2,62999534606934e-03;
429;CZ0710182;6410;ok;2,56562232971191e-03;
430;CZ0710182;9170;ok;4,93989753723145e+00;
431;CZ0710182;91E0;ok;3,23437356948853e+00;
432;CZ0614136;7140;ok;2,54130363464355e-03;
433;CZ0533303;3260;ok;2,41804122924805e-03;
434;CZ0724091;6210;ok;2,39372253417969e-03;
435;CZ0724091;6410;ok;2,38299369812012e-03;
436;CZ0724091;6430;ok;2,35176086425781e-03;
437;CZ0724091;6510;ok;2,34031677246094e-03;
438;CZ0724091;7220;ok;2,34508514404297e-03;
439;CZ0724091;8220;ok;2,34031677246094e-03;
440;CZ0724091;8310;ok;2,34341621398926e-03;
441;CZ0724091;9130;ok;7,49357237815857e+01;
442;CZ0724091;9170;ok;6,60744781494141e+01;
443;CZ0724091;9180;ok;4,96376957893372e+01;
444;CZ0724091;6210p;ok;2,93993949890137e-03;
445;CZ0724091;91E0;ok;5,43649134635925e+01;
446;CZ0110040;6190;ok;3,12948226928711e-03;
447;CZ0110040;6210;ok;3,01456451416016e-03;
448;CZ0110040;9170;ok;4,89551830291748e+00;
449;CZ0110040;9180;ok;1,68434143066406e+00;
450;CZ0314634;8310;ok;2,65383720397949e-03;
451;CZ0720454;5130;ok;2,53129005432129e-03;
452;CZ0613321;6230;ok;2,56395339965820e-03;
453;CZ0620416;3130;ok;2,59304046630859e-03;
454;CZ0624066;6210;ok;2,58731842041016e-03;
455;CZ0624066;9170;ok;3,96034622192383e+00;
456;CZ0620162;6240;ok;2,66575813293457e-03;
457;CZ0620162;6250;ok;2,57396697998047e-03;
458;CZ0620162;40A0;ok;2,66361236572266e-03;
459;CZ0610179;6510;ok;2,63214111328125e-03;
460;CZ0610179;9170;ok;5,29373955726624e+00;
461;CZ0514042;2330;ok;2,60567665100098e-03;
462;CZ0514042;3140;ok;2,62832641601562e-03;
463;CZ0514042;3150;ok;2,65955924987793e-03;
464;CZ0514042;3160;ok;2,60877609252930e-03;
465;CZ0514042;4030;ok;2,70223617553711e-03;
466;CZ0514042;6410;ok;2,68411636352539e-03;
467;CZ0514042;6430;ok;2,68006324768066e-03;
468;CZ0514042;7140;ok;2,49385833740234e-03;
469;CZ0514042;7150;ok;2,43091583251953e-03;
470;CZ0514042;7230;ok;2,47979164123535e-03;
471;CZ0514042;8310;ok;2,45952606201172e-03;
472;CZ0514042;9110;ok;1,18678991794586e+01;
473;CZ0514042;9410;ok;8,39006066322327e+00;
474;CZ0514042;91D0;ok;7,55925416946411e+00;
475;CZ0514042;91T0;ok;7,45160675048828e+00;
476;CZ0623041;3260;ok;3,13997268676758e-03;
477;CZ0620078;3140;ok;2,88248062133789e-03;
478;CZ0620078;6410;ok;2,72369384765625e-03;
479;CZ0620078;7230;ok;2,60329246520996e-03;
480;CZ0410018;6210;ok;3,03196907043457e-03;
481;CZ0510509;9130;ok;3,26502585411072e+00;
482;CZ0510509;9180;ok;1,71980309486389e+00;
483;CZ0510412;4030;ok;2,47621536254883e-03;
484;CZ0510412;7110;ok;2,36153602600098e-03;
485;CZ0510412;7140;ok;2,33459472656250e-03;
486;CZ0510412;8220;ok;2,41160392761230e-03;
487;CZ0510412;9410;ok;2,38186001777649e+00;
488;CZ0510412;91D0;ok;1,49121546745300e+00;
489;CZ0510400;8220;ok;2,95162200927734e-03;
490;CZ0510400;9110;ok;1,48588848114014e+01;
491;CZ0510400;9130;ok;8,43757724761963e+00;
492;CZ0510400;9140;ok;6,23149967193604e+00;
493;CZ0510400;9180;ok;7,49051332473755e+00;
494;CZ0624236;6210;ok;3,43060493469238e-03;
495;CZ0624236;6240;ok;3,42106819152832e-03;
496;CZ0210732;6230;ok;3,49307060241699e-03;
497;CZ0210732;7140;ok;3,33666801452637e-03;
498;CZ0210105;7220;ok;3,27134132385254e-03;
499;CZ0210105;9130;ok;3,42006635665894e+00;
500;CZ0210105;9150;ok;7,94601440429688e-01;
501;CZ0210105;9180;ok;1,68525409698486e+00;
502;CZ0614132;3130;ok;2,56013870239258e-03;
503;CZ0620006;6210;ok;2,48432159423828e-03;
504;CZ0620006;6240;ok;2,52389907836914e-03;
505;CZ0520008;8210;ok;2,49385833740234e-03;
506;CZ0620007;6210;ok;2,47430801391602e-03;
507;CZ0610515;6230;ok;2,48050689697266e-03;
508;CZ0624115;6210;ok;2,49862670898438e-03;
509;CZ0624115;6240;ok;2,53701210021973e-03;
510;CZ0624115;6210p;ok;2,51507759094238e-03;
511;CZ0410413;3260;ok;2,47764587402344e-03;
512;CZ0410413;8220;ok;2,48408317565918e-03;
513;CZ0410413;9110;ok;6,01545190811157e+00;
514;CZ0410413;9130;ok;4,03186774253845e+00;
515;CZ0410413;9170;ok;5,43343710899353e+00;
516;CZ0410413;9180;ok;2,96586441993713e+00;
517;CZ0410413;91E0;ok;4,30682706832886e+00;
518;CZ0324025;8150;ok;2,45118141174316e-03;
519;CZ0324025;8220;ok;2,49266624450684e-03;
520;CZ0324025;9110;ok;4,60764169692993e+00;
521;CZ0324025;9170;ok;4,87331986427307e+00;
522;CZ0324025;9180;ok;2,39330601692200e+00;
523;CZ0110154;6190;ok;2,65312194824219e-03;
524;CZ0110154;6210;ok;2,58326530456543e-03;
525;CZ0110154;8220;ok;2,60472297668457e-03;
526;CZ0110154;8230;ok;2,62379646301270e-03;
527;CZ0110154;40A0;ok;2,60591506958008e-03;
528;CZ0620177;91G0;ok;2,12055873870850e+00;
529;CZ0620177;91I0;ok;1,23615169525146e+00;
530;CZ0214007;3150;ok;2,53653526306152e-03;
531;CZ0214007;6440;ok;2,46095657348633e-03;
532;CZ0214007;6510;ok;3,14092636108398e-03;
533;CZ0214007;7230;ok;2,44092941284180e-03;
534;CZ0214007;9170;ok;4,36614322662354e+00;
535;CZ0214007;91E0;ok;3,24072384834290e+00;
536;CZ0214007;91F0;ok;1,78387403488159e+00;
537;CZ0214002;6210;ok;2,77280807495117e-03;
538;CZ0214002;6510;ok;2,61569023132324e-03;
539;CZ0214002;7220;ok;2,64573097229004e-03;
540;CZ0214002;8160;ok;2,67744064331055e-03;
541;CZ0214002;8210;ok;2,67243385314941e-03;
542;CZ0214002;8230;ok;2,70557403564453e-03;
543;CZ0214002;8310;ok;2,76470184326172e-03;
544;CZ0214002;9130;ok;3,58607316017151e+00;
545;CZ0214002;9150;ok;8,82431507110596e-01;
546;CZ0214002;9170;ok;4,89679765701294e+00;
547;CZ0214002;9180;ok;2,41746640205383e+00;
548;CZ0214002;40A0;ok;2,95782089233398e-03;
549;CZ0214002;6210p;ok;2,92038917541504e-03;
550;CZ0214002;91H0;ok;1,13966941833496e+00;
551;CZ0214002;91I0;ok;1,21403646469116e+00;
552;CZ0214017;3260;ok;2,76780128479004e-03;
553;CZ0214017;3270;ok;2,78925895690918e-03;
554;CZ0214017;5130;ok;2,70390510559082e-03;
555;CZ0214017;6110;ok;2,73871421813965e-03;
556;CZ0214017;6190;ok;2,76994705200195e-03;
557;CZ0214017;6210;ok;2,74062156677246e-03;
558;CZ0214017;7220;ok;2,72202491760254e-03;
559;CZ0214017;8160;ok;2,80642509460449e-03;
560;CZ0214017;8210;ok;2,77161598205566e-03;
561;CZ0214017;8310;ok;2,76947021484375e-03;
562;CZ0214017;9150;ok;6,45028829574585e+00;
563;CZ0214017;9170;ok;1,26431319713593e+01;
564;CZ0214017;9180;ok;7,46451044082642e+00;
565;CZ0214017;40A0;ok;2,53486633300781e-03;
566;CZ0214017;6210p;ok;2,46572494506836e-03;
567;CZ0214017;91H0;ok;8,64054203033447e+00;
568;CZ0214017;91I0;ok;6,92583441734314e+00;
569;CZ0323151;6430;ok;2,43234634399414e-03;
570;CZ0714075;4060;ok;2,36606597900391e-03;
571;CZ0714075;6150;ok;2,34818458557129e-03;
572;CZ0714075;6430;ok;2,31599807739258e-03;
573;CZ0714075;7110;ok;2,33030319213867e-03;
574;CZ0714075;8220;ok;2,35962867736816e-03;
575;CZ0714075;9110;ok;5,79669809341431e+00;
576;CZ0714075;9410;ok;5,30584573745728e+00;
577;CZ0714075;91D0;ok;2,12694954872131e+00;
578;CZ0214044;6410;ok;2,44307518005371e-03;
579;CZ0214044;6510;ok;2,38656997680664e-03;
580;CZ0214044;9170;ok;4,24765300750732e+00;
581;CZ0214044;9190;ok;1,59609794616699e+00;
582;CZ0410414;7110;ok;2,74300575256348e-03;
583;CZ0410414;7140;ok;2,69126892089844e-03;
584;CZ0410414;9410;ok;5,53912377357483e+00;
585;CZ0410414;91D0;ok;3,13551783561707e+00;
586;CZ0422077;2330;ok;2,79736518859863e-03;
587;CZ0510508;4030;ok;2,92491912841797e-03;
588;CZ0510508;6510;ok;2,72846221923828e-03;
589;CZ0510508;8150;ok;2,74348258972168e-03;
590;CZ0510508;8220;ok;2,75635719299316e-03;
591;CZ0510508;9110;ok;4,58257961273193e+00;
592;CZ0620008;6210p;ok;2,82931327819824e-03;
593;CZ0420528;4030;ok;2,72178649902344e-03;
594;CZ0420528;6230;ok;2,90298461914062e-03;
595;CZ0420528;6430;ok;2,82955169677734e-03;
596;CZ0420528;6520;ok;2,81286239624023e-03;
597;CZ0420528;7110;ok;2,85077095031738e-03;
598;CZ0420528;7120;ok;2,84075736999512e-03;
599;CZ0420528;7140;ok;2,83288955688477e-03;
600;CZ0420528;9410;ok;3,03019356727600e+00;
601;CZ0420528;91D0;ok;1,64009785652161e+00;
602;CZ0310010;6410;ok;2,58946418762207e-03;
603;CZ0724120;3150;ok;2,59280204772949e-03;
604;CZ0724120;6510;ok;2,54034996032715e-03;
605;CZ0724120;91E0;ok;3,60461831092834e+00;
606;CZ0724120;91F0;ok;1,45266699790955e+00;
607;CZ0620417;6250;ok;2,63190269470215e-03;
608;CZ0314648;6410;ok;2,75444984436035e-03;
609;CZ0320053;8220;ok;2,79831886291504e-03;
