TYP_CHU;SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY;DATUM_VYPOCTU
EVL;CZ0210100;7220;;;;2026-09-24
EVL;CZ0210100;9150;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0210100;91E0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0623035;6250;;;;2026-09-24
EVL;CZ0510441;6510;;;;2026-09-24
EVL;CZ0510441;8220;;;;2026-09-24
EVL;CZ0510441;9170;2,34639874220668e+00;0,00000000000000;10;2026-09-24
EVL;CZ0510441;9180;4,34326688144526e+00;0,00000000000000;17;2026-09-24
EVL;CZ0510441;91E0;8,87895046288660e-02;0,00000000000000;2;2026-09-24
EVL;CZ0510441;91I0;1,73339504962597e+00;0,00000000000000;8;2026-09-24
EVL;CZ0310629;3140;;;;2026-09-24
EVL;CZ0310629;3160;;;;2026-09-24
EVL;CZ0314124;3260;;;;2026-09-24
EVL;CZ0314124;6190;;;;2026-09-24
EVL;CZ0314124;6210;;;;2026-09-24
EVL;CZ0314124;6410;;;;2026-09-24
EVL;CZ0314124;6510;;;;2026-09-24
EVL;CZ0314124;8220;;;;2026-09-24
EVL;CZ0314124;9110;9,18137904533880e+01;65,41437428233436;97;2026-09-24
EVL;CZ0314124;9130;6,82210611250058e+01;46,86967497717801;75;2026-09-24
EVL;CZ0314124;9170;5,21357013478408e+00;3,19884431914425;20;2026-09-24
EVL;CZ0314124;9180;2,44697975401300e+00;0,00000000000000;18;2026-09-24
EVL;CZ0314124;6210p;;;;2026-09-24
EVL;CZ0314124;91U0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0110142;6410;;;;2026-09-24
EVL;CZ0110142;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0110142;9190;5,00579266770603e-01;0,00000000000000;2;2026-09-24
EVL;CZ0410023;3150;;;;2026-09-24
EVL;CZ0410023;4030;;;;2026-09-24
EVL;CZ0410023;6410;;;;2026-09-24
EVL;CZ0410023;6430;;;;2026-09-24
EVL;CZ0410023;7140;;;;2026-09-24
EVL;CZ0623324;3260;;;;2026-09-24
EVL;CZ0530033;6210;;;;2026-09-24
EVL;CZ0530033;6510;;;;2026-09-24
EVL;CZ0530033;9110;1,88685745549084e+01;12,77369246240101;23;2026-09-24
EVL;CZ0530033;9130;1,25396990520253e+01;10,55341776232895;16;2026-09-24
EVL;CZ0420451;6210;;;;2026-09-24
EVL;CZ0420451;6410;;;;2026-09-24
EVL;CZ0420451;6510;;;;2026-09-24
EVL;CZ0420451;8220;;;;2026-09-24
EVL;CZ0420451;9170;9,14784530087002e-01;0,00000000000000;5;2026-09-24
EVL;CZ0420451;9180;3,96220984490274e-02;0,00000000000000;1;2026-09-24
EVL;CZ0420451;6210p;;;;2026-09-24
EVL;CZ0420451;91E0;1,38239920466449e+00;0,00000000000000;5;2026-09-24
EVL;CZ0314123;3150;;;;2026-09-24
EVL;CZ0314123;6230;;;;2026-09-24
EVL;CZ0314123;6410;;;;2026-09-24
EVL;CZ0314123;6430;;;;2026-09-24
EVL;CZ0314123;6510;;;;2026-09-24
EVL;CZ0314123;7120;;;;2026-09-24
EVL;CZ0314123;7140;;;;2026-09-24
EVL;CZ0314123;8220;;;;2026-09-24
EVL;CZ0314123;9110;1,67081968624920e+02;86,82898981219890;272;2026-09-24
EVL;CZ0314123;9130;4,67300821483623e+02;348,05059320346282;367;2026-09-24
EVL;CZ0314123;9180;2,02700362650963e+01;11,55968061965109;54;2026-09-24
EVL;CZ0314123;91E0;1,96089220040785e+01;13,14564974722492;45;2026-09-24
EVL;CZ0422075;6210;;;;2026-09-24
EVL;CZ0422075;6510;;;;2026-09-24
EVL;CZ0422075;8220;;;;2026-09-24
EVL;CZ0422075;40A0;;;;2026-09-24
EVL;CZ0314021;3160;;;;2026-09-24
EVL;CZ0314021;6410;;;;2026-09-24
EVL;CZ0314021;7140;;;;2026-09-24
EVL;CZ0314021;91D0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0314021;91T0;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0420026;6190;;;;2026-09-24
EVL;CZ0420026;8150;;;;2026-09-24
EVL;CZ0420026;8220;;;;2026-09-24
EVL;CZ0420026;9180;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0420026;40A0;;;;2026-09-24
EVL;CZ0624094;9170;0,00000000000000e+00;0,00000000000000;0;2026-09-24
EVL;CZ0533296;3140;;;;2026-09-24
EVL;CZ0623798;91E0;4,03693899161951e-02;0,00000000000000;1;2026-09-24
EVL;CZ0530501;8210;;;;2026-09-24
EVL;CZ0530501;9130;1,10499731503686e+00;0,00000000000000;4;2026-09-24
EVL;CZ0530501;9180;1,16032344966724e+00;0,00000000000000;5;2026-09-24
