SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0314024,7110,ROZLOHA,min,386.09,VMB2,445
CZ0314024,7120,ROZLOHA,min,166.92,VMB2,446
CZ0314024,7140,ROZLOHA,min,1422.82,VMB2,447
CZ0314024,8220,ROZLOHA,min,236.88,VMB2,448
CZ0314024,9110,ROZLOHA,min,27397.31,VMB2,449
CZ0314024,9130,ROZLOHA,min,3188.72,VMB2,450
CZ0314024,9180,ROZLOHA,min,346.81,VMB2,451
CZ0314024,91D0,ROZLOHA,min,3822.17,VMB2,452
CZ0314024,9.10E+01,ROZLOHA,min,1283.68,VMB2,453
CZ0314024,9410,ROZLOHA,min,21314.96,VMB2,454
CZ0314044,6110,ROZLOHA,min,0.74,VMB2,455
CZ0314044,6510,ROZLOHA,min,2,VMB2,456
CZ0314044,8210,ROZLOHA,min,0.09,VMB2,457
CZ0314044,8310,ROZLOHA,min,0.01,N/A,458
CZ0314044,91U0,ROZLOHA,min,5.8,VMB2,459
CZ0314109,3160,ROZLOHA,min,0.81,SDF,460
CZ0314109,7140,ROZLOHA,min,11.54,SDF,461
CZ0314109,7150,ROZLOHA,min,0.02,VMB2,462
CZ0314109,91D0,ROZLOHA,min,23.14,VMB2,463
CZ0314123,3150,ROZLOHA,min,117.52,VMB2,464
CZ0314123,6230,ROZLOHA,min,81.31,SDF,465
CZ0314123,6410,ROZLOHA,min,406.49,VMB2,466
CZ0314123,6430,ROZLOHA,min,237.88,VMB2,467
CZ0314123,6510,ROZLOHA,min,451.12,SDF,468
CZ0314123,7120,ROZLOHA,min,35.27,VMB2,469
CZ0314123,7140,ROZLOHA,min,239.18,VMB2,470
CZ0314123,8220,ROZLOHA,min,17.61,VMB2,471
CZ0314123,9110,ROZLOHA,min,1932.53,SDF,472
CZ0314123,9130,ROZLOHA,min,2582.92,VMB2,473
CZ0314123,9180,ROZLOHA,min,133.85,VMB2,474
CZ0314123,9.10E+01,ROZLOHA,min,222.37,VMB2,475
CZ0314124,3260,ROZLOHA,min,108.2,VMB2,476
CZ0314124,6190,ROZLOHA,min,1.68,VMB2,477
CZ0314124,6210,ROZLOHA,min,22.67,VMB2,478
CZ0314124,6210p,ROZLOHA,min,4.44,VMB2,479
CZ0314124,6410,ROZLOHA,min,72.88,SDF,480
CZ0314124,6510,ROZLOHA,min,425.09,VMB2,481
CZ0314124,8220,ROZLOHA,min,6.61,VMB2,482
CZ0314124,9110,ROZLOHA,min,1673.02,SDF,483
CZ0314124,9130,ROZLOHA,min,1447.29,VMB2,484
CZ0314124,9170,ROZLOHA,min,105.33,VMB2,485
CZ0314124,9180,ROZLOHA,min,128.93,VMB2,486
CZ0314124,91U0,ROZLOHA,min,22.41,VMB2,487
CZ0314634,8310,ROZLOHA,min,0.01,N/A,488
CZ0314635,3130,ROZLOHA,min,9.05,SDF,489
CZ0314636,6230,ROZLOHA,min,1.1,VMB2,490
CZ0314636,6510,ROZLOHA,min,15.67,SDF,491
CZ0314637,3140,ROZLOHA,min,1.26,N/A,492
CZ0314637,7140,ROZLOHA,min,1.61,VMB2,493
CZ0314638,3130,ROZLOHA,min,2.29,SDF,494
CZ0314639,3140,ROZLOHA,min,0.44,N/A,495
CZ0314639,3160,ROZLOHA,min,0.49,SDF,496
CZ0314640,3130,ROZLOHA,min,7.84,SDF,497
CZ0314641,6410,ROZLOHA,min,12.81,SDF,498
CZ0314641,6430,ROZLOHA,min,6.74,SDF,499
CZ0314641,6510,ROZLOHA,min,6.67,SDF,500
CZ0314641,7140,ROZLOHA,min,0.27,VMB2,501
CZ0314641,9.10E+01,ROZLOHA,min,31.7,VMB2,502
CZ0314642,6410,ROZLOHA,min,0.61,VMB2,503
CZ0314648,6410,ROZLOHA,min,1.2,VMB2,504
CZ0320005,6410,ROZLOHA,min,87.65,SDF,505
CZ0320013,6410,ROZLOHA,min,7.14,SDF,506
CZ0320013,6430,ROZLOHA,min,3.85,VMB2,507
CZ0320013,9.10E+01,ROZLOHA,min,16.18,VMB2,508
CZ0320022,9130,ROZLOHA,min,483.96,VMB2,509
CZ0320022,9170,ROZLOHA,min,20.75,VMB2,510
CZ0320022,9180,ROZLOHA,min,20.84,VMB2,511
CZ0320023,6110,ROZLOHA,min,0.7,SDF,512
CZ0320023,9150,ROZLOHA,min,91.35,VMB2,513
CZ0320023,91U0,ROZLOHA,min,8.57,VMB2,514
CZ0320029,9170,ROZLOHA,min,24.68,VMB2,515
CZ0320029,9180,ROZLOHA,min,38.53,VMB2,516
CZ0320030,9110,ROZLOHA,min,627.25,SDF,517
CZ0320030,9180,ROZLOHA,min,9.9,VMB2,518
CZ0320037,6230,ROZLOHA,min,9.55,VMB2,519
CZ0320037,7140,ROZLOHA,min,34.99,VMB2,520
CZ0320043,91D0,ROZLOHA,min,8,EXPERT,521
CZ0320053,8220,ROZLOHA,min,2.45,VMB2,522
CZ0320053,8230,ROZLOHA,min,0.14,VMB2,523
CZ0320053,9130,ROZLOHA,min,263.2,VMB2,524
CZ0320053,9170,ROZLOHA,min,208.2,VMB2,525
CZ0320053,9180,ROZLOHA,min,126.55,VMB2,526
CZ0320140,9130,ROZLOHA,min,130.3,SDF,527
CZ0320140,9180,ROZLOHA,min,15,EXPERT,528
CZ0320180,6410,ROZLOHA,min,2.49,VMB2,529
CZ0320180,7140,ROZLOHA,min,0.44,VMB2,530
CZ0320180,9110,ROZLOHA,min,1211.48,SDF,531
CZ0320180,9130,ROZLOHA,min,12.65,VMB2,532
CZ0320180,9180,ROZLOHA,min,13.09,VMB2,533
CZ0320180,9190,ROZLOHA,min,10.61,MINIMI,534
CZ0320180,91D0,ROZLOHA,min,33.54,MINIMI,535
CZ0320180,9410,ROZLOHA,min,11.81,VMB2,536
CZ0320437,6510,ROZLOHA,min,3,MINIMI,537
CZ0322058,6230,ROZLOHA,min,3,MINIMI,538
CZ0323142,3260,ROZLOHA,min,71.2,VMB2,539
CZ0323151,6430,ROZLOHA,min,4.48,VMB2,540
CZ0323159,3270,ROZLOHA,min,0.39,VMB2,541
CZ0323159,6510,ROZLOHA,min,7.61,VMB2,542
CZ0323159,9170,ROZLOHA,min,44.94,VMB2,543
CZ0323159,9180,ROZLOHA,min,8.41,VMB2,544
CZ0324025,8150,ROZLOHA,min,0.85,VMB2,545
CZ0324025,8220,ROZLOHA,min,6.21,VMB2,546
CZ0324025,9110,ROZLOHA,min,23.61,VMB2,547
CZ0324025,9170,ROZLOHA,min,85.92,VMB2,548
CZ0324025,9180,ROZLOHA,min,51,VMB2,549
CZ0324026,3260,ROZLOHA,min,2.5,VMB2,550
CZ0324026,6430,ROZLOHA,min,80.16,VMB2,551
CZ0324026,7140,ROZLOHA,min,5.45,VMB2,552
CZ0324026,9.10E+01,ROZLOHA,min,82.61,VMB2,553
CZ0324029,6210,ROZLOHA,min,2,MINIMI,554
CZ0324029,7140,ROZLOHA,min,2,MINIMI,555
CZ0324032,6230,ROZLOHA,min,3,MINIMI,556
CZ0324032,6410,ROZLOHA,min,3,MINIMI,557
CZ0410001,4030,ROZLOHA,min,9.97,SDF,558
CZ0410018,6210,ROZLOHA,min,6.5,EXPERT,559
CZ0410020,3150,ROZLOHA,min,4,EXPERT,560
CZ0410020,3260,ROZLOHA,min,56.61,VMB2,561
CZ0410020,3270,ROZLOHA,min,1.04,VMB2,562
CZ0410020,9.10E+01,ROZLOHA,min,69.37,VMB2,563
CZ0410021,3160,ROZLOHA,min,0.21,VMB2,564
CZ0410021,6510,ROZLOHA,min,16.48,SDF,565
CZ0410021,7140,ROZLOHA,min,6.63,SDF,566
CZ0410021,91D0,ROZLOHA,min,8,MINIMIAREAL,567
CZ0410021,9410,ROZLOHA,min,25,MINIMIAREAL,568
CZ0410023,3150,ROZLOHA,min,0.5,MINIMIAREAL,569
CZ0410023,4030,ROZLOHA,min,0.5,MINIMIAREAL,570
CZ0410023,6410,ROZLOHA,min,3,MINIMIAREAL,571
CZ0410023,6430,ROZLOHA,min,4.71,SDF,572
CZ0410023,7140,ROZLOHA,min,2,MINIMIAREAL,573
CZ0410038,7140,ROZLOHA,min,2,EXPERT,574
CZ0410038,7150,ROZLOHA,min,0.1,EXPERT,575
CZ0410040,4030,ROZLOHA,min,2.89,VMB2,576
CZ0410040,6520,ROZLOHA,min,8.46,VMB2,577
CZ0410040,7110,ROZLOHA,min,3.32,VMB2,578
CZ0410040,7120,ROZLOHA,min,30,VMB2,579
CZ0410040,7140,ROZLOHA,min,6.75,VMB2,580
CZ0410040,91D0,ROZLOHA,min,27.49,VMB2,581
CZ0410040,9410,ROZLOHA,min,6,EXPERT,582
CZ0410046,4030,ROZLOHA,min,3,SDF,583
CZ0410046,8220,ROZLOHA,min,0.82,VMB2,584
CZ0410047,3140,ROZLOHA,min,NA,N/A,585
CZ0410047,3150,ROZLOHA,min,0.5,EXPERT,586
CZ0410047,6430,ROZLOHA,min,2,MINIMIAREAL,587
CZ0410047,7140,ROZLOHA,min,0.5,EXPERT,588
CZ0410150,1340,ROZLOHA,min,8,EXPERT,589
CZ0410150,3140,ROZLOHA,min,NA,N/A,590
CZ0410150,3150,ROZLOHA,min,3.74,VMB2,591
CZ0410150,3160,ROZLOHA,min,0.1,EXPERT,592
CZ0410150,7140,ROZLOHA,min,19.5,VMB2,593
CZ0410150,7150,ROZLOHA,min,0.51,VMB2,594
CZ0410150,9190,ROZLOHA,min,33.97,SDF,595
CZ0410150,91D0,ROZLOHA,min,65.65,VMB2,596
CZ0410150,9.10E+01,ROZLOHA,min,23.19,VMB2,597
CZ0410151,6210,ROZLOHA,min,12.08,VMB2,598
CZ0410151,6210p,ROZLOHA,min,19.14,VMB2,599
CZ0410151,9170,ROZLOHA,min,30,MINIMIAREAL,600
CZ0410151,9180,ROZLOHA,min,23.03,VMB2,601
CZ0410155,6430,ROZLOHA,min,4.34,VMB2,602
CZ0410155,6520,ROZLOHA,min,137.78,VMB2,603
CZ0410155,7140,ROZLOHA,min,26.24,VMB2,604
CZ0410155,9410,ROZLOHA,min,40,EXPERT,605
CZ0410168,6230,ROZLOHA,min,2,EXPERT,606
CZ0410168,6520,ROZLOHA,min,40,EXPERT,607
CZ0410168,7140,ROZLOHA,min,5.44,VMB2,608
CZ0410168,91D0,ROZLOHA,min,7,EXPERT,609
CZ0410168,9410,ROZLOHA,min,47.08,VMB2,610
CZ0410176,4030,ROZLOHA,min,1.97,VMB2,611
CZ0410176,8220,ROZLOHA,min,0.49,VMB2,612
CZ0410401,7110,ROZLOHA,min,5.15,VMB2,613
CZ0410401,7120,ROZLOHA,min,53.2,SDF,614
CZ0410401,7140,ROZLOHA,min,6.06,VMB2,615
CZ0410401,91D0,ROZLOHA,min,39.84,SDF,616
CZ0410401,9410,ROZLOHA,min,9.07,VMB2,617
CZ0410404,3150,ROZLOHA,min,2.35,VMB2,618
CZ0410404,3160,ROZLOHA,min,0.72,SDF,619
CZ0410404,7140,ROZLOHA,min,2.33,SDF,620
CZ0410404,9410,ROZLOHA,min,23.4,VMB2,621
CZ0410413,3260,ROZLOHA,min,26.4,VMB2,622
CZ0410413,8220,ROZLOHA,min,23.46,VMB2,623
CZ0410413,9110,ROZLOHA,min,73.37,VMB2,624
CZ0410413,9130,ROZLOHA,min,40,MINIMIAREAL,625
CZ0410413,9170,ROZLOHA,min,30,MINIMIAREAL,626
CZ0410413,9180,ROZLOHA,min,14.2,VMB2,627
CZ0410413,9.10E+01,ROZLOHA,min,34.93,VMB2,628
CZ0410414,7110,ROZLOHA,min,11.56,VMB2,629
CZ0410414,7140,ROZLOHA,min,46.11,SDF,630
CZ0410414,91D0,ROZLOHA,min,417.3,VMB2,631
CZ0410414,9410,ROZLOHA,min,846.01,VMB2,632
CZ0410438,3140,ROZLOHA,min,0.08,N/A,633
CZ0410439,3140,ROZLOHA,min,NA,N/A,634
CZ0413177,3160,ROZLOHA,min,0.26,VMB2,635
CZ0413177,6430,ROZLOHA,min,5.86,VMB2,636
CZ0413184,3140,ROZLOHA,min,NA,NA,637
CZ0413190,3140,ROZLOHA,min,NA,N/A,638
CZ0414026,4030,ROZLOHA,min,3.41,VMB2,639
CZ0414026,6230,ROZLOHA,min,21.61,SDF,640
CZ0414026,6410,ROZLOHA,min,47.51,SDF,641
CZ0414026,6430,ROZLOHA,min,17.78,SDF,642
CZ0414026,7140,ROZLOHA,min,24.49,SDF,643
CZ0414026,8220,ROZLOHA,min,15.35,VMB2,644
CZ0414026,9410,ROZLOHA,min,44.46,VMB2,645
CZ0414027,3130,ROZLOHA,min,1.2,EXPERT,646
CZ0414027,3160,ROZLOHA,min,0.2,MINIMIAREAL,647
CZ0414027,4030,ROZLOHA,min,0.5,MINIMIAREAL,648
CZ0414027,6230,ROZLOHA,min,1.98,EXPERT,649
CZ0414027,6410,ROZLOHA,min,4.88,VMB2,650
CZ0414027,7140,ROZLOHA,min,2.48,VMB2,651
CZ0414027,9.10E+01,ROZLOHA,min,7.3,EXPERT,652
CZ0414110,4030,ROZLOHA,min,194.62,VMB2,653
CZ0414110,6230,ROZLOHA,min,306.5,VMB2,654
CZ0414110,6520,ROZLOHA,min,753.39,VMB2,655
CZ0414110,7110,ROZLOHA,min,104.76,VMB2,656
CZ0414110,7140,ROZLOHA,min,500,EXPERT,657
CZ0414110,8220,ROZLOHA,min,9.74,VMB2,658
CZ0414110,9140,ROZLOHA,min,4.98,VMB2,659
CZ0414110,91D0,ROZLOHA,min,1387.46,VMB2,660
CZ0414110,9410,ROZLOHA,min,6573.5,VMB2,661
CZ0414127,3150,ROZLOHA,min,29.39,VMB2,662
CZ0414127,40A0,ROZLOHA,min,0.4,SDF,663
CZ0414127,5130,ROZLOHA,min,9.61,SDF,664
CZ0414127,6210,ROZLOHA,min,2151.98,SDF,665
CZ0414127,6230,ROZLOHA,min,9.02,SDF,666
CZ0414127,6430,ROZLOHA,min,530.96,SDF,667
CZ0414127,6510,ROZLOHA,min,6988.37,VMB2,668
CZ0414127,8230,ROZLOHA,min,24.81,SDF,669
CZ0414127,8310,ROZLOHA,min,NA,N/A,670
CZ0414127,9130,ROZLOHA,min,5102.29,VMB2,671
CZ0414127,9180,ROZLOHA,min,453.72,VMB2,672
CZ0414127,9.10E+01,ROZLOHA,min,1453.62,VMB2,673
CZ0414127,91I0,ROZLOHA,min,349.5,VMB2,674
CZ0420004,6210,ROZLOHA,min,2.23,VMB2,675
CZ0420004,9170,ROZLOHA,min,7.55,SDF,676
CZ0420007,6210,ROZLOHA,min,10.02,VMB2,677
CZ0420007,9170,ROZLOHA,min,10.51,VMB2,678
CZ0420007,91H0,ROZLOHA,min,2.62,VMB2,679
CZ0420008,91U0,ROZLOHA,min,5.79,VMB2,680
CZ0420012,3260,ROZLOHA,min,48.76,VMB2,681
CZ0420012,3270,ROZLOHA,min,3.78,VMB2,682
CZ0420012,4030,ROZLOHA,min,10.71,SDF,683
CZ0420012,40A0,ROZLOHA,min,3.77,SDF,684
CZ0420012,5130,ROZLOHA,min,0.14,SDF,685
CZ0420012,6190,ROZLOHA,min,7.95,SDF,686
CZ0420012,6210,ROZLOHA,min,11.39,SDF,687
CZ0420012,8220,ROZLOHA,min,2.23,VMB2,688
CZ0420012,8230,ROZLOHA,min,0.55,VMB2,689
CZ0420012,9.10E+01,ROZLOHA,min,6.43,VMB2,690
CZ0420013,40A0,ROZLOHA,min,0.25,VMB2,691
CZ0420013,6190,ROZLOHA,min,0.18,SDF,692
CZ0420013,8160,ROZLOHA,min,0.14,SDF,693
CZ0420013,9170,ROZLOHA,min,7.28,VMB2,694
CZ0420013,9180,ROZLOHA,min,8.52,VMB2,695
CZ0420014,40A0,ROZLOHA,min,0.56,SDF,696
CZ0420014,6110,ROZLOHA,min,0.04,SDF,697
CZ0420014,6190,ROZLOHA,min,2.21,VMB2,698
CZ0420014,6210,ROZLOHA,min,6.17,VMB2,699
CZ0420014,8220,ROZLOHA,min,0.27,VMB2,700
CZ0420014,9180,ROZLOHA,min,33.4,VMB2,701
CZ0420015,7220,ROZLOHA,min,0.18,VMB2,702
CZ0420015,9170,ROZLOHA,min,21.19,VMB2,703
CZ0420015,91F0,ROZLOHA,min,23.18,VMB2,704
CZ0420021,8220,ROZLOHA,min,5.79,VMB2,705
CZ0420021,9110,ROZLOHA,min,21.17,VMB2,706
CZ0420021,9130,ROZLOHA,min,27.74,VMB2,707
CZ0420021,9180,ROZLOHA,min,12.29,VMB2,708
CZ0420026,40A0,ROZLOHA,min,1.7,VMB2,709
CZ0420026,6190,ROZLOHA,min,5.11,VMB2,710
CZ0420026,8150,ROZLOHA,min,5.11,VMB2,711
CZ0420026,8220,ROZLOHA,min,5.11,VMB2,712
CZ0420026,9180,ROZLOHA,min,12.9,VMB2,713
CZ0420035,4030,ROZLOHA,min,14.68,VMB2,714
CZ0420035,6230,ROZLOHA,min,64.78,VMB2,715
CZ0420035,6430,ROZLOHA,min,10.51,VMB2,716
CZ0420035,6520,ROZLOHA,min,220.56,SDF,717
CZ0420035,7120,ROZLOHA,min,17.04,VMB2,718
CZ0420035,7140,ROZLOHA,min,46.85,VMB2,719
CZ0420035,91D0,ROZLOHA,min,58.53,SDF,720
CZ0420035,9410,ROZLOHA,min,220.79,VMB2,721
CZ0420041,9170,ROZLOHA,min,51.28,MINIMI,722
CZ0420041,91H0,ROZLOHA,min,6.41,VMB2,723
CZ0420041,91I0,ROZLOHA,min,6.41,VMB2,724
CZ0420044,6210,ROZLOHA,min,5.23,VMB2,725
CZ0420053,7110,ROZLOHA,min,0.5,VMB2,726
CZ0420053,91D0,ROZLOHA,min,25.43,VMB2,727
CZ0420053,9410,ROZLOHA,min,23.07,MINIMI,728
CZ0420059,6210,ROZLOHA,min,1.9,SDF,729
CZ0420061,1340,ROZLOHA,min,0.39,SDF,730
CZ0420061,6210,ROZLOHA,min,6.27,VMB2,731
CZ0420063,6210,ROZLOHA,min,16.82,VMB2,732
CZ0420069,91I0,ROZLOHA,min,37.54,VMB2,733
CZ0420073,6210,ROZLOHA,min,13.08,VMB2,734
CZ0420073,9170,ROZLOHA,min,23.43,VMB2,735
CZ0420073,9180,ROZLOHA,min,4,EXPERT,736
CZ0420073,91H0,ROZLOHA,min,13.21,VMB2,737
CZ0420073,91I0,ROZLOHA,min,16.93,VMB2,738
CZ0420074,7110,ROZLOHA,min,5.62,VMB2,739
CZ0420074,7140,ROZLOHA,min,21.35,VMB2,740
CZ0420074,91D0,ROZLOHA,min,58.1,VMB2,741
CZ0420076,6210,ROZLOHA,min,13.33,VMB2,742
CZ0420082,8220,ROZLOHA,min,14.56,VMB2,743
CZ0420082,9110,ROZLOHA,min,289.27,VMB2,744
CZ0420082,9130,ROZLOHA,min,236.96,VMB2,745
CZ0420082,9180,ROZLOHA,min,38.86,VMB2,746
CZ0420083,6510,ROZLOHA,min,13.22,SDF,747
CZ0420083,9.10E+01,ROZLOHA,min,16.6,VMB2,748
CZ0420085,6430,ROZLOHA,min,1.9,VMB2,749
CZ0420144,7110,ROZLOHA,min,10.86,VMB2,750
CZ0420144,7120,ROZLOHA,min,79.65,VMB2,751
CZ0420144,7140,ROZLOHA,min,29.11,VMB2,752
CZ0420144,91D0,ROZLOHA,min,1109.77,VMB2,753
CZ0420144,9410,ROZLOHA,min,725.37,VMB2,754
CZ0420160,6210p,ROZLOHA,min,1.65,SDF,755
CZ0420160,6430,ROZLOHA,min,9.55,SDF,756
CZ0420160,9.10E+01,ROZLOHA,min,35.85,SDF,757
CZ0420165,6210,ROZLOHA,min,24.51,VMB2,758
CZ0420165,91I0,ROZLOHA,min,4,EXPERT,759
CZ0420166,6230,ROZLOHA,min,11.63,SDF,760
CZ0420166,6410,ROZLOHA,min,2.62,VMB2,761
CZ0420166,6430,ROZLOHA,min,4.3,VMB2,762
CZ0420166,7140,ROZLOHA,min,2.71,VMB2,763
CZ0420171,6430,ROZLOHA,min,1.63,SDF,764
CZ0420171,9.10E+01,ROZLOHA,min,23.26,VMB2,765
CZ0420406,40A0,ROZLOHA,min,0.2,MINIMI,766
CZ0420406,6110,ROZLOHA,min,0.1,VMB2,767
CZ0420406,6210,ROZLOHA,min,10.28,VMB2,768
CZ0420406,6210p,ROZLOHA,min,2,MINIMI,769
CZ0420416,40A0,ROZLOHA,min,0.3,VMB2,770
CZ0420416,6190,ROZLOHA,min,0.4,VMB2,771
CZ0420416,8220,ROZLOHA,min,0.84,VMB2,772
CZ0420416,8230,ROZLOHA,min,0.02,VMB2,773
CZ0420416,9130,ROZLOHA,min,4.4,VMB2,774
CZ0420416,9180,ROZLOHA,min,28.65,VMB2,775
CZ0420416,9.10E+01,ROZLOHA,min,15.23,VMB2,776
CZ0420449,9180,ROZLOHA,min,46.91,VMB2,777
CZ0420451,6210,ROZLOHA,min,2.25,VMB2,778
CZ0420451,6210p,ROZLOHA,min,2.27,VMB2,779
CZ0420451,6410,ROZLOHA,min,8.27,VMB2,780
CZ0420451,6510,ROZLOHA,min,29.13,VMB2,781
CZ0420451,8220,ROZLOHA,min,4.97,VMB2,782
CZ0420451,9170,ROZLOHA,min,125.37,VMB2,783
CZ0420451,9180,ROZLOHA,min,32.78,VMB2,784
CZ0420451,9.10E+01,ROZLOHA,min,45.77,VMB2,785
CZ0420454,8150,ROZLOHA,min,2.5,VMB2,786
CZ0420454,8220,ROZLOHA,min,2.2,VMB2,787
CZ0420454,9180,ROZLOHA,min,10.06,VMB2,788
CZ0420455,9180,ROZLOHA,min,24.51,VMB2,789
CZ0420455,91I0,ROZLOHA,min,25.04,VMB2,790
CZ0420456,8220,ROZLOHA,min,1.5,VMB2,791
CZ0420456,9170,ROZLOHA,min,34.86,VMB2,792
CZ0420456,91I0,ROZLOHA,min,26.49,MINIMI,793
CZ0420459,40A0,ROZLOHA,min,0.46,VMB2,794
CZ0420459,6210,ROZLOHA,min,7.9,VMB2,795
CZ0420459,6210p,ROZLOHA,min,4.43,MINIMI,796
CZ0420459,6510,ROZLOHA,min,8.69,VMB2,797
CZ0420459,8220,ROZLOHA,min,2.2,VMB2,798
CZ0420459,9170,ROZLOHA,min,238.17,VMB2,799
CZ0420459,9180,ROZLOHA,min,8.93,VMB2,800
CZ0420459,91H0,ROZLOHA,min,22.7,VMB2,801
CZ0420459,91I0,ROZLOHA,min,27.34,VMB2,802
CZ0420460,6210,ROZLOHA,min,6.27,VMB2,803
CZ0420462,8220,ROZLOHA,min,0.82,VMB2,804
CZ0420462,8230,ROZLOHA,min,0.54,SDF,805
CZ0420500,6230,ROZLOHA,min,7.68,VMB2,806
CZ0420500,6510,ROZLOHA,min,34.45,VMB2,807
CZ0420500,8220,ROZLOHA,min,33.56,VMB2,808
CZ0420500,9110,ROZLOHA,min,73.81,VMB2,809
CZ0420500,9180,ROZLOHA,min,11.85,VMB2,810
CZ0420501,6410,ROZLOHA,min,17.51,VMB2,811
CZ0420501,6520,ROZLOHA,min,36.88,VMB2,812
CZ0420501,7140,ROZLOHA,min,20.96,VMB2,813
CZ0420501,91D0,ROZLOHA,min,13.4,VMB2,814
CZ0420501,9.10E+01,ROZLOHA,min,20.6,VMB2,815
CZ0420507,3150,ROZLOHA,min,1.33,VMB2,816
CZ0420507,7140,ROZLOHA,min,0.89,VMB2,817
CZ0420507,8220,ROZLOHA,min,6.87,VMB2,818
CZ0420507,8310,ROZLOHA,min,0.01,N/A,819
CZ0420507,9110,ROZLOHA,min,205.35,VMB2,820
CZ0420507,9130,ROZLOHA,min,14.28,VMB2,821
CZ0420507,9.10E+01,ROZLOHA,min,5.83,VMB2,822
CZ0420520,8220,ROZLOHA,min,0.26,VMB2,823
CZ0420520,9110,ROZLOHA,min,300.04,VMB2,824
CZ0420520,9130,ROZLOHA,min,188.22,VMB2,825
CZ0420520,9180,ROZLOHA,min,3.69,SDF,826
CZ0420525,1340,ROZLOHA,min,0.55,VMB2,827
CZ0420525,6210,ROZLOHA,min,2.4,VMB2,828
CZ0420528,4030,ROZLOHA,min,23.34,SDF,829
CZ0420528,6230,ROZLOHA,min,8.4,VMB2,830
CZ0420528,6430,ROZLOHA,min,2,MINIMIAREAL,831
CZ0420528,6520,ROZLOHA,min,106.43,SDF,832
CZ0420528,7110,ROZLOHA,min,1.5,MINIMIAREAL,833
CZ0420528,7120,ROZLOHA,min,70.84,VMB2,834
CZ0420528,7140,ROZLOHA,min,17.92,VMB2,835
CZ0420528,91D0,ROZLOHA,min,115.8,VMB2,836
CZ0420528,9410,ROZLOHA,min,540.77,VMB2,837
CZ0422075,40A0,ROZLOHA,min,0.12,VMB2,838
CZ0422075,6210,ROZLOHA,min,2.56,VMB2,839
CZ0422075,6510,ROZLOHA,min,3.02,VMB2,840
CZ0422075,8220,ROZLOHA,min,0.65,VMB2,841
CZ0422077,2330,ROZLOHA,min,0.66,VMB2,842
CZ0422084,2330,ROZLOHA,min,2.88,VMB2,843
CZ0423216,3140,ROZLOHA,min,NA,NA,844
CZ0423225,6210,ROZLOHA,min,4.93,VMB2,845
CZ0423225,8220,ROZLOHA,min,1.73,VMB2,846
CZ0423507,3260,ROZLOHA,min,1.08,VMB2,847
CZ0423507,6430,ROZLOHA,min,8.5,VMB2,848
CZ0423510,3260,ROZLOHA,min,147.51,VMB2,849
CZ0423510,6430,ROZLOHA,min,1.13,VMB2,850
CZ0424030,8220,ROZLOHA,min,8.18,VMB2,851
CZ0424030,9110,ROZLOHA,min,565.58,VMB2,852
CZ0424030,9130,ROZLOHA,min,74.33,VMB2,853
CZ0424030,9180,ROZLOHA,min,33.72,VMB2,854
CZ0424030,9.10E+01,ROZLOHA,min,29.97,VMB2,855
CZ0424031,3260,ROZLOHA,min,18.89,SDF,856
CZ0424031,4030,ROZLOHA,min,103.67,SDF,857
CZ0424031,6230,ROZLOHA,min,89.99,SDF,858
CZ0424031,6510,ROZLOHA,min,144.37,SDF,859
CZ0424031,8160,ROZLOHA,min,3.11,SDF,860
CZ0424031,8220,ROZLOHA,min,582.22,SDF,861
CZ0424031,8310,ROZLOHA,min,0.01,SDF,862
CZ0424031,9110,ROZLOHA,min,1646.83,SDF,863
CZ0424031,9130,ROZLOHA,min,134.25,SDF,864
CZ0424031,9180,ROZLOHA,min,45.5,SDF,865
CZ0424031,9410,ROZLOHA,min,275.47,SDF,866
CZ0424033,40A0,ROZLOHA,min,0.06,VMB2,867
CZ0424033,6210,ROZLOHA,min,98.85,VMB2,868
CZ0424033,8150,ROZLOHA,min,0.35,VMB2,869
CZ0424034,6410,ROZLOHA,min,4.67,VMB2,870
CZ0424034,6430,ROZLOHA,min,7.1,VMB2,871
CZ0424034,6510,ROZLOHA,min,12.29,VMB2,872
CZ0424036,6210,ROZLOHA,min,6.23,SDF,873
CZ0424036,91H0,ROZLOHA,min,8.6,VMB2,874
CZ0424037,6210,ROZLOHA,min,2.21,VMB2,875
CZ0424037,8220,ROZLOHA,min,2.33,VMB2,876
CZ0424037,9110,ROZLOHA,min,40,MINIMI,877
CZ0424037,9170,ROZLOHA,min,142.63,VMB2,878
CZ0424037,9180,ROZLOHA,min,39.35,VMB2,879
CZ0424038,40A0,ROZLOHA,min,0.19,VMB2,880
CZ0424038,6190,ROZLOHA,min,0.68,VMB2,881
CZ0424038,6210,ROZLOHA,min,9.33,VMB2,882
CZ0424038,6510,ROZLOHA,min,44.02,VMB2,883
CZ0424038,8220,ROZLOHA,min,0.56,VMB2,884
CZ0424038,8230,ROZLOHA,min,0.1,VMB2,885
CZ0424039,6110,ROZLOHA,min,0.24,VMB2,886
CZ0424039,6210,ROZLOHA,min,93.89,VMB2,887
CZ0424039,6510,ROZLOHA,min,63.65,VMB2,888
CZ0424039,8160,ROZLOHA,min,0.67,VMB2,889
CZ0424111,3260,ROZLOHA,min,65.77,VMB2,890
CZ0424111,3270,ROZLOHA,min,3.47,VMB2,891
