SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0210113,7230,ROZLOHA,min,2.7,VMB2,102
CZ0210114,2330,ROZLOHA,min,4.68,VMB2,103
CZ0210114,4030,ROZLOHA,min,2.8,VMB2,104
CZ0210114,6210,ROZLOHA,min,17.3,VMB2,105
CZ0210114,8210,ROZLOHA,min,0.37,VMB2,106
CZ0210118,3140,ROZLOHA,min,NA,NA,107
CZ0210118,6430,ROZLOHA,min,2,MINIMI,108
CZ0210118,7230,ROZLOHA,min,0.79,VMB2,109
CZ0210150,7220,ROZLOHA,min,0.68,VMB2,110
CZ0210150,9170,ROZLOHA,min,50.32,VMB2,111
CZ0210152,2330,ROZLOHA,min,0.5,MINIMI,112
CZ0210152,3150,ROZLOHA,min,30.63,SDF,113
CZ0210152,6410,ROZLOHA,min,4.9,SDF,114
CZ0210152,6430,ROZLOHA,min,2.92,VMB2,115
CZ0210152,6440,ROZLOHA,min,26.62,SDF,116
CZ0210152,6510,ROZLOHA,min,48.26,SDF,117
CZ0210152,7210,ROZLOHA,min,0.73,SDF,118
CZ0210152,7230,ROZLOHA,min,0.23,SDF,119
CZ0210152,9.10E+01,ROZLOHA,min,8,MINIMI,120
CZ0210152,91F0,ROZLOHA,min,117.23,VMB2,121
CZ0210153,40A0,ROZLOHA,min,0.27,VMB2,122
CZ0210153,6190,ROZLOHA,min,2.56,VMB2,123
CZ0210153,8220,ROZLOHA,min,1.95,VMB2,124
CZ0210153,9170,ROZLOHA,min,13.24,VMB2,125
CZ0210153,9180,ROZLOHA,min,11.1,VMB2,126
CZ0210172,3140,ROZLOHA,min,NA,NA,127
CZ0210172,6210,ROZLOHA,min,2.89,SDF,128
CZ0210172,6410,ROZLOHA,min,5.4,SDF,129
CZ0210172,7210,ROZLOHA,min,0.5,MINIMI,130
CZ0210172,7230,ROZLOHA,min,8.16,SDF,131
CZ0210173,1340,ROZLOHA,min,0.72,VMB2,132
CZ0210175,9170,ROZLOHA,min,480.7,VMB2,133
CZ0210175,9190,ROZLOHA,min,200.89,SDF,134
CZ0210175,91I0,ROZLOHA,min,16.23,SDF,135
CZ0210186,3150,ROZLOHA,min,13.36,VMB2,136
CZ0210186,6430,ROZLOHA,min,1.6,VMB2,137
CZ0210186,6440,ROZLOHA,min,48.91,VMB2,138
CZ0210186,6510,ROZLOHA,min,41.16,VMB2,139
CZ0210186,9.10E+01,ROZLOHA,min,17.62,VMB2,140
CZ0210186,91F0,ROZLOHA,min,484.4,VMB2,141
CZ0210409,6190,ROZLOHA,min,0.5,MINIMI,142
CZ0210409,8160,ROZLOHA,min,0.2,MINIMI,143
CZ0210409,9170,ROZLOHA,min,10.79,SDF,144
CZ0210409,9180,ROZLOHA,min,8,MINIMI,145
CZ0210409,91H0,ROZLOHA,min,7.47,VMB2,146
CZ0210421,9170,ROZLOHA,min,104.04,VMB2,147
CZ0210421,91H0,ROZLOHA,min,5.89,VMB2,148
CZ0210704,40A0,ROZLOHA,min,0.21,VMB2,149
CZ0210704,6190,ROZLOHA,min,1.07,VMB2,150
CZ0210708,40A0,ROZLOHA,min,0.19,VMB2,151
CZ0210708,6190,ROZLOHA,min,1.52,VMB2,152
CZ0210708,8160,ROZLOHA,min,0.18,VMB2,153
CZ0210708,9130,ROZLOHA,min,27.79,VMB2,154
CZ0210708,9170,ROZLOHA,min,20.71,VMB2,155
CZ0210708,9180,ROZLOHA,min,29.86,VMB2,156
CZ0210713,6210,ROZLOHA,min,7.48,VMB2,157
CZ0210713,6510,ROZLOHA,min,4.19,VMB2,158
CZ0210714,3150,ROZLOHA,min,9.85,VMB2,159
CZ0210714,9.10E+01,ROZLOHA,min,8,MINIMI,160
CZ0210714,91F0,ROZLOHA,min,21.73,VMB2,161
CZ0210719,7220,ROZLOHA,min,0.38,VMB2,162
CZ0210720,3140,ROZLOHA,min,NA,NA,163
CZ0210720,7230,ROZLOHA,min,0.66,VMB2,164
CZ0210721,7220,ROZLOHA,min,0.34,VMB2,165
CZ0210726,91U0,ROZLOHA,min,3.13,VMB2,166
CZ0210729,4030,ROZLOHA,min,1.09,VMB2,167
CZ0210729,6110,ROZLOHA,min,0.47,VMB2,168
CZ0210729,6190,ROZLOHA,min,4.21,VMB2,169
CZ0210729,6210,ROZLOHA,min,1.29,VMB2,170
CZ0210729,8220,ROZLOHA,min,0.95,VMB2,171
CZ0210729,8230,ROZLOHA,min,0.95,VMB2,172
CZ0210730,2330,ROZLOHA,min,0.12,VMB2,173
CZ0210731,7140,ROZLOHA,min,2,MINIMI,174
CZ0210732,6230,ROZLOHA,min,1.66,VMB2,175
CZ0210732,7140,ROZLOHA,min,0.59,VMB2,176
CZ0210733,2330,ROZLOHA,min,0.5,MINIMI,177
CZ0210733,4030,ROZLOHA,min,0.89,VMB2,178
CZ0210734,5130,ROZLOHA,min,1.05,VMB2,179
CZ0212001,3130,ROZLOHA,min,1.18,SDF,180
CZ0212019,7220,ROZLOHA,min,2.76,VMB2,181
CZ0212019,7230,ROZLOHA,min,0.84,VMB2,182
CZ0212019,9150,ROZLOHA,min,14.18,SDF,183
CZ0212019,9190,ROZLOHA,min,17.23,VMB2,184
CZ0212019,9.10E+01,ROZLOHA,min,5.3,SDF,185
CZ0212020,7140,ROZLOHA,min,2,MINIMI,186
CZ0212020,7230,ROZLOHA,min,0.27,VMB2,187
CZ0212021,6410,ROZLOHA,min,4.96,VMB2,188
CZ0212023,2330,ROZLOHA,min,0.32,VMB2,189
CZ0213009,3260,ROZLOHA,min,9.33,SDF,190
CZ0213039,3150,ROZLOHA,min,3.32,SDF,191
CZ0213047,3140,ROZLOHA,min,1.25,SDF,192
CZ0213065,40A0,ROZLOHA,min,0.39,VMB2,193
CZ0213065,6190,ROZLOHA,min,0.67,VMB2,194
CZ0213065,6210,ROZLOHA,min,2,MINIMI,195
CZ0213802,40A0,ROZLOHA,min,0.61,SDF,196
CZ0213802,6190,ROZLOHA,min,1.14,SDF,197
CZ0213802,8220,ROZLOHA,min,0.45,VMB2,198
CZ0213802,9170,ROZLOHA,min,40.04,SDF,199
CZ0213802,9180,ROZLOHA,min,8.08,SDF,200
CZ0214002,40A0,ROZLOHA,min,0.06,MINIMI,201
CZ0214002,6210,ROZLOHA,min,3.37,SDF,202
CZ0214002,6210p,ROZLOHA,min,0.67,VMB2,203
CZ0214002,6510,ROZLOHA,min,6.43,SDF,204
CZ0214002,7220,ROZLOHA,min,0.27,VMB2,205
CZ0214002,8160,ROZLOHA,min,0.02,MINIMI,206
CZ0214002,8210,ROZLOHA,min,0.4,VMB2,207
CZ0214002,8230,ROZLOHA,min,2.8,VMB2,208
CZ0214002,8310,ROZLOHA,min,0.01,N/A,209
CZ0214002,9130,ROZLOHA,min,24.6,VMB2,210
CZ0214002,9150,ROZLOHA,min,8.91,MINIMI,211
CZ0214002,9170,ROZLOHA,min,214.8,VMB2,212
CZ0214002,9180,ROZLOHA,min,15.97,VMB2,213
CZ0214002,91H0,ROZLOHA,min,31.67,VMB2,214
CZ0214002,91I0,ROZLOHA,min,14.16,SDF,215
CZ0214003,5130,ROZLOHA,min,2.6,VMB2,216
CZ0214003,6110,ROZLOHA,min,0.08,VMB2,217
CZ0214003,6210,ROZLOHA,min,14.62,VMB2,218
CZ0214003,8310,ROZLOHA,min,0.01,N/A,219
CZ0214003,9170,ROZLOHA,min,48.14,VMB2,220
CZ0214004,2330,ROZLOHA,min,0.59,SDF,221
CZ0214004,6510,ROZLOHA,min,38.1,VMB2,222
CZ0214004,9170,ROZLOHA,min,79.54,SDF,223
CZ0214004,9190,ROZLOHA,min,7.83,SDF,224
CZ0214005,6410,ROZLOHA,min,9.61,VMB2,225
CZ0214005,6430,ROZLOHA,min,5.97,SDF,226
CZ0214005,6510,ROZLOHA,min,6.7,VMB2,227
CZ0214005,9170,ROZLOHA,min,41.38,VMB2,228
CZ0214005,9180,ROZLOHA,min,5.46,VMB2,229
CZ0214005,9.10E+01,ROZLOHA,min,12.83,VMB2,230
CZ0214006,2330,ROZLOHA,min,1.5,EXPERT,231
CZ0214006,4030,ROZLOHA,min,16.87,SDF,232
CZ0214006,6210,ROZLOHA,min,377.51,VMB2,233
CZ0214006,6510,ROZLOHA,min,3,MINIMI,234
CZ0214006,9170,ROZLOHA,min,66.58,SDF,235
CZ0214006,9190,ROZLOHA,min,27.89,VMB3,236
CZ0214007,3150,ROZLOHA,min,10.58,VMB2,237
CZ0214007,6440,ROZLOHA,min,6.37,SDF,238
CZ0214007,6510,ROZLOHA,min,32.45,VMB2,239
CZ0214007,7230,ROZLOHA,min,0.27,MINIMI,240
CZ0214007,9170,ROZLOHA,min,71.03,VMB2,241
CZ0214007,9.10E+01,ROZLOHA,min,7.87,VMB2,242
CZ0214007,91F0,ROZLOHA,min,110.89,VMB2,243
CZ0214008,3150,ROZLOHA,min,11.22,SDF,244
CZ0214008,8150,ROZLOHA,min,4.41,SDF,245
CZ0214008,8230,ROZLOHA,min,4.25,VMB2,246
CZ0214008,9110,ROZLOHA,min,168.12,VMB2,247
CZ0214008,9130,ROZLOHA,min,547.08,SDF,248
CZ0214008,9170,ROZLOHA,min,459.75,VMB2,249
CZ0214008,9180,ROZLOHA,min,271.12,VMB2,250
CZ0214008,9190,ROZLOHA,min,80.23,VMB2,251
CZ0214009,3150,ROZLOHA,min,24.6,VMB2,252
CZ0214009,6430,ROZLOHA,min,2,MINIMI,253
CZ0214009,6440,ROZLOHA,min,31.6,SDF,254
