SITECODE,NAZEV,HABITAT_CODE,ROZLOHA,KVALITA,TYPICKE_DRUHY,REPRE,REPRE_SDF,CONSERVATION,DEGREE_OF_CONSERVATION,MRTVE_DREVO,KALAMITA_POLOM,RELATIVE_AREA_PERC,EVL_AREA_PERC,GOOD_DOC_AREA_HA,W_AREA_HA,W_AREA_PERC,PASEKY_AREA_HA,PASEKY_AREA_PERC,DEGRAD_AREA_HA,DEGRAD_AREA_PERC,PERC_0,PERC_1,PERC_2,DATE_MIN,DATE_MAX,DATE_MEAN,DATE_MEDIAN
CZ0310163,Žofínský prales - Pivonické skály,9410,53.57513200736237,1.8285006047692134,1.691866070218088,1.7566272348938332,1.8516942153092528,1.713282631580703,91.64553799849978,0.6995961742079385,0.5024557136797998,6.957220187021775e-10,11.837697382513541,49.09921796155369,1.7028211806735927,3.1783798133051517,2.77309286513508,5.176082188195071,4.475914045808673,8.354462001500224,0,0,94.82391781180493,2016-09-13,2016-09-20,2016-09-16,2016-09-14
CZ0310163,Žofínský prales - Pivonické skály,9410,53.57513200736237,1.8285006047692134,1.691866070218088,1.7566272348938332,1.8516942153092528,1.713282631580703,91.64553799849978,0.6995961742079385,0.5024557136797998,6.957220187021775e-10,11.837697382513541,49.09921796155369,1.7028211806735927,3.1783798133051517,2.77309286513508,5.176082188195071,4.475914045808673,8.354462001500224,0,0,94.82391781180493,2016-09-13,2016-09-20,2016-09-16,2016-09-14
CZ0520519,Adršpašsko-teplické skály,7140,1.6567385297395383,1.9228304181189921,2.0526050982613535,1.9999999999999998,2.0526050982613535,1.922830418118992,97.15873121085599,NA,NA,3.0799810317241377e-10,0.09656135286757803,1.6096661349763255,0,0,NA,NA,0,0,0,0,100,2018-07-12,2018-09-19,2018-07-27,2018-07-21
CZ0520519,Adršpašsko-teplické skály,8220,187.24949367299362,1.9909631505041312,2.764185976684958,1.9996269196852245,2.7643725168423456,1.9670237030834525,97.73288803915496,NA,NA,2.74493665921872e-8,10.913649986564776,183.0043380053114,0.03492955002052523,0.018654015738768858,NA,NA,0.03492955002052523,0.018654015738768858,0,0,100,2018-06-11,2018-09-22,2018-08-14,2018-07-28
CZ0520519,Adršpašsko-teplické skály,8310,0.010068036071792812,1,3,2,1,1,100,NA,NA,5.591152283418967e-9,5.86805441148719e-4,0.010068036071792812,0,0,NA,NA,0,0,0,0,100,2018-08-25,2018-08-25,2018-08-25,2018-08-25
CZ0520519,Adršpašsko-teplické skály,9110,101.09279576796936,2.7463688791738505,2.1351879250116257,1.7822297338158772,2.2709689111809146,2.6032051139890724,35.77737876837483,0.20061027649888444,0,7.370579337844568e-10,5.892092777039207,36.168352449446004,5.969570912573755,5.905040875786302,0.684144563725417,0.6767490784364913,6.653715476299173,6.581789954222793,0,0,99.32325092156353,2018-07-09,2018-09-22,2018-08-09,2018-07-26
CZ0520519,Adršpašsko-teplické skály,9410,76.9985143936742,1.8468714471503378,1.9626266732109372,1.8941989568959,2.022230899481419,1.8037289586724135,92.15978303396393,0.7210327428200932,0,9.99896031309341e-10,4.487781617426231,70.96166380458563,2.692811456528754,3.4972252097762313,0.86427480937652,1.1224564735855793,3.557086265905274,4.619681683361811,0,0,98.87754352641441,2018-07-11,2018-09-21,2018-08-14,2018-07-28
CZ0520519,Adršpašsko-teplické skály,91D0,30.54036394316246,2.188429186662277,1.9486976141507815,1.8353006162694143,2.03201488595722,2.103082057066003,79.76985173360816,0.6477449977952091,0,2.1363671798683257e-9,1.7800146531774044,24.362003036365024,1.8078543211145375,5.919557227540144,0.573412686618594,1.8775568218039285,2.3812670077331317,7.7971140493440725,0,0,98.12244317819608,2018-07-09,2018-09-22,2018-08-09,2018-07-27
CZ0214005,Andělské schody,6410,7.982588079230522,1.6938408850102236,2.0312474922249755,1.0720742017287574,2.9279257982712426,1.6038347424026913,96.31937956245496,NA,NA,1.0258787769183733e-9,4.272553665740399,7.68877931094133,0,0,NA,NA,0,0,0,0,100,2019-07-10,2023-09-18,2022-12-07,2023-05-27
CZ0214005,Andělské schody,6430,4.03880292901498,2.883139085885704,2.1447690043521184,1.2065888793483228,2.8181721065046244,2.1356741428384898,74.33044973562782,NA,NA,4.3486228635439217e-10,2.1617052124314795,3.0020603810725444,0.4846887366197363,12.000801849917114,NA,NA,0.4846887366197363,12.000801849917114,0,0,100,2023-06-07,2023-12-28,2023-08-25,2023-09-06
CZ0214005,Andělské schody,6510,4.290202654135545,2.3691947706162457,1.8232763237526453,1.2525413254836462,2.5603251658651,2.063335355429887,73.1384296678413,NA,NA,2.456759618933638e-11,2.2962629281082654,3.1377868508027857,0.044660290608314605,1.0409832403899213,NA,NA,0.044660290608314605,1.0409832403899213,0,0,100,2023-05-16,2023-09-12,2023-08-13,2023-09-06
CZ0214005,Andělské schody,9170,54.60024895907408,2.448315430451271,2.690928065047435,1.3489429959159709,2.917046927786491,2.140108370007382,84.91030835565947,1.0557505272318612,0,3.298983154074544e-10,29.223917296621615,46.36123975410755,2.6635417845308083,4.878259413299161,0,0,2.6635417845308083,4.878259413299161,0,0,100,2019-07-10,2024-04-05,2023-09-09,2023-10-16
CZ0214005,Andělské schody,9180,4.6442335971569255,2.462734765219373,2.511638535197604,0.37859933168562415,3,2,100,1.1586659030950028,0,2.632172725635144e-10,2.4857523754376505,4.6442335971569255,0,0,0,0,0,0,0,0,100,2023-08-23,2023-12-28,2023-10-19,2023-10-16
CZ0214005,Andělské schody,91E0,20.883346568492335,3.07306884269347,2.346746581768236,1.4106949318544755,2.588154626322528,2.3500262015935416,64.99737984064582,0.6724792478202896,0,2.3446235104088346e-10,11.177480041377748,13.573628092561439,4.973534094610882,23.815790626750797,0,0,4.973534094610882,23.815790626750797,0,0,100,2019-07-10,2024-05-14,2023-05-31,2023-09-11
CZ0534051,Anenské údolí,6210,3.1019475598217805,2.6466887650907025,2.4668672084903474,1.0656092307697367,3.119236875617692,2.365651646308769,63.43483536912309,NA,NA,2.2784720051159413e-10,7.873482943722072,1.9677153278094774,0.8717624048249621,28.103711878193337,NA,NA,0.8717624048249621,28.103711878193337,0,0,100,2022-07-13,2022-07-15,2022-07-13,2022-07-13
CZ0534051,Anenské údolí,6510,6.831218414379978,2.636403440790435,2.3182017203952174,0.7090202011767737,3.2909797988232263,2.3182017203952174,68.17982796047825,NA,NA,3.9118575278459045e-11,17.339262071068376,4.65751296252878,2.1737054518511982,31.820172039521744,NA,NA,2.1737054518511982,31.820172039521744,0,0,100,2022-07-13,2022-07-15,2022-07-13,2022-07-13
CZ0534051,Anenské údolí,91E0,5.017458560063672,2.146315845570186,2.073157922785093,1.8536841544298144,2.146315845570186,2.073157922785093,92.68420772149072,0.875713218374738,0,5.6332213152925926e-11,12.735506849046589,4.650391714149132,0.36706684591454103,7.31579227850928,0,0,0.36706684591454103,7.31579227850928,0,0,100,2022-07-15,2022-07-15,2022-07-15,2022-07-15
CZ0610175,Baba a Belfrídský potok,9110,29.52001374889654,2.749236106599583,2.339799701311329,1.9731721995098632,2.353213601556398,2.3746180532997916,62.538194670020836,0,0,2.1522760522905947e-10,34.06038252665957,18.461283664901835,0.39597851966074665,1.3413900245068426,0,0,0.39597851966074665,1.3413900245068426,0,100,0,2011-09-04,2011-09-04,2011-09-04,2011-09-04
