"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"INVASIVE_LIST";"Bufo bufo, Carex disticha, Ciconia nigra, Coenagrion hastulatum, Cygnus olor, Grus grus, Haliaeetus albicilla, Lestes dryas, Lissotriton vulgaris, Pelophylax esculentus, Pelophylax esculentus s. l., Pelophylax lessonae, Potamogeton acutifolius, Potamogeton lucens, Rana temporaria, Sympetrum flaveolum, Tachybaptus ruficollis, Carex cespitosa, Comarum palustre, Rana dalmatina, Triturus cristatus, Trollius altissimus, Potamogeton alpinus, Ricciocarpos natans, Carex elata, Ichthyosaura alpestris, Scrophularia umbrosa, Ardea cinerea, Circus aeruginosus, Cybister lateralimarginalis, Delichon urbicum, Gallinula chloropus, Graphoderus zonatus, Hirundo rustica, Hydaticus aruspex, Hyla arborea, Procyon lotor, Ranunculus aquatilis, Sigara semistriata, Sympetrum meridionale, Tringa ochropus, Tinca tinca, Erebia medusa, Lutra lutra, Natrix natrix, Pelobates fuscus, Pseudorasbora parva, Anodonta cygnea, Bombina bombina, Carassius carassius, Rana arvalis, Cotoneaster integerrimus, Sorbus aria, Callophrys rubi, Cyaniris semiargus, Eumedonia eumedon, Glaucopsyche alexis, Melitaea athalia, Polyommatus amandus, Myotis myotis, Nyctalus leisleri, Carex appropinquata, Potamogeton trichoides, Charadrius dubius, Lanius collurio, Mareca strepera, Hottonia palustris, Lysimachia thyrsiflora, Butomus umbellatus, Podiceps cristatus, Sympecma paedisca, Carex riparia, Larus cachinnans, Alcedo atthis, Carpodacus erythrinus, Eleocharis ovata, Erebia ligea, Gallinago gallinago, Iris sibirica, Lyrurus tetrix, Nucifraga caryocatactes, Pernis apivorus, Scolopax rusticola, Acanthis cabaret, Accipiter nisus, Acrocephalus arundinaceus, Anas crecca, Coenagrion lunulatum, Coturnix coturnix, Luscinia svecica, Milvus milvus, Ondatra zibethicus, Pelophylax ridibundus, Rallus aquaticus, Spatula clypeata, Spatula querquedula, Carex flava, Dactylorhiza majalis subsp. majalis, Leucorrhinia pectoralis, Motacilla flava, Potamogeton obtusifolius, Brachytron pratense, Chrysosplenium oppositifolium, Schoenoplectus tabernaemontani, Hydrochus ignicollis, Lanius excubitor";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"EXPANSIVE_LIST";"Carex acutiformis, Alnus glutinosa, Phalaris arundinacea, Fraxinus excelsior, Carex rostrata, Typha latifolia, Glyceria maxima";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MINIMIAREAL";"100";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MINIMIAREAL_JADRA";"74";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MINIMIAREAL_HODNOTA";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MOZAIKA_VNEJSI";"86.028";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MOZAIKA_VNITRNI";"98.446";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MOZAIKA_FIN";"86.028";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"VYPLNENOST_MOZAIKA";"1";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PERC_SPAT";"100";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"ROZLOHA_HOLINY";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"POCET_SEGMENTU_PASEKY";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"SITECODE_TARGET";"CZ0414127";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"HABITAT_CODE_TARGET";"3150";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;".target_id";"2";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"ROZLOHA";"6.356";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"KVALITA";"2.925";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"TYPICKE_DRUHY";"2";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"REPRE";"1.994";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"REPRE_SDF";"2";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"CONSERVATION";"1.981";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"DEGREE_OF_CONSERVATION";"99.695";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"MRTVE_DREVO";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"KALAMITA_POLOM";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"RELATIVE_AREA_PERC";"12.751";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"SITE_AREA_PERC";"0.019";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"GOOD_DOC_AREA_HA";"6.336";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"W_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"W_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PASEKY_AREA_HA";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PASEKY_AREA_PERC";NA;2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"DEGRAD_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"DEGRAD_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PERC_0";"0";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PERC_1";"0.312";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"PERC_2";"99.688";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"RED_LIST";"2.893";2026
"CZ0414127";"Hradištì";"40A0";2001-09-08;2022-06-28;"INVASIVE";"99.977";2026
